Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;0.63;73.08;-2.48;0.61;104.56;-5.27;0.64;135.16;-6.62;2.24;149.90;-8.28;-15.84;122.64;0.80;-23.54;96.54;3.63;-22.21;73.37;10.13;-21.27;68.58;9.60;17.70;123.18;-5.93;23.41;95.00;-5.71;23.75;71.80;0.75;21.07;64.89;1.94;-5.53;73.26;3.58;-8.63;40.32;0.59;-8.50;8.45;-3.10;-4.95;0.00;3.46;7.33;73.17;0.02;9.30;39.84;-1.07;9.11;10.24;-3.55;4.34;2.60;3.19
0,029;0.64;73.09;-2.49;0.61;104.56;-5.28;0.63;135.16;-6.62;2.22;149.91;-8.28;-15.87;122.65;0.78;-23.55;96.54;3.63;-22.21;73.37;10.11;-21.27;68.58;9.57;17.70;123.20;-5.95;23.41;95.00;-5.71;23.75;71.80;0.74;21.07;64.92;1.93;-5.52;73.27;3.56;-8.64;40.32;0.58;-8.51;8.45;-3.10;-4.93;0.01;3.46;7.34;73.19;0.01;9.29;39.83;-1.07;9.12;10.22;-3.56;4.32;2.60;3.19
0,061;0.65;73.10;-2.50;0.61;104.57;-5.28;0.62;135.16;-6.62;2.20;149.92;-8.28;-15.88;122.66;0.77;-23.55;96.54;3.63;-22.21;73.36;10.10;-21.28;68.59;9.56;17.69;123.21;-5.96;23.40;95.00;-5.71;23.75;71.80;0.73;21.08;64.93;1.94;-5.51;73.27;3.55;-8.64;40.32;0.58;-8.53;8.46;-3.09;-4.92;0.02;3.46;7.35;73.21;0.01;9.29;39.83;-1.07;9.11;10.20;-3.56;4.30;2.59;3.19
0,097;0.68;73.11;-2.52;0.61;104.57;-5.29;0.61;135.16;-6.63;2.18;149.93;-8.28;-15.89;122.66;0.76;-23.55;96.53;3.62;-22.21;73.35;10.08;-21.27;68.58;9.56;17.69;123.20;-5.97;23.40;94.99;-5.71;23.75;71.79;0.73;21.07;64.94;1.95;-5.49;73.27;3.53;-8.64;40.31;0.57;-8.54;8.47;-3.09;-4.91;0.04;3.46;7.38;73.22;-0.02;9.29;39.82;-1.08;9.11;10.19;-3.56;4.29;2.58;3.19
0,127;0.70;73.11;-2.53;0.61;104.57;-5.30;0.60;135.15;-6.64;2.16;149.94;-8.29;-15.89;122.67;0.76;-23.55;96.52;3.62;-22.21;73.34;10.07;-21.26;68.59;9.58;17.69;123.19;-5.98;23.40;94.98;-5.71;23.76;71.78;0.73;21.08;64.98;1.91;-5.47;73.27;3.51;-8.64;40.31;0.57;-8.54;8.47;-3.09;-4.91;0.05;3.47;7.40;73.23;-0.03;9.28;39.82;-1.08;9.08;10.17;-3.58;4.28;2.56;3.20
0,162;0.70;73.11;-2.55;0.61;104.57;-5.31;0.59;135.15;-6.65;2.15;149.94;-8.30;-15.90;122.67;0.75;-23.55;96.52;3.62;-22.21;73.34;10.07;-21.25;68.60;9.55;17.69;123.18;-5.99;23.39;94.97;-5.71;23.76;71.77;0.72;21.07;65.00;1.89;-5.46;73.27;3.49;-8.64;40.31;0.56;-8.54;8.47;-3.09;-4.92;0.05;3.49;7.40;73.23;-0.05;9.28;39.81;-1.09;9.04;10.16;-3.59;4.28;2.54;3.22
0,196;0.71;73.11;-2.57;0.61;104.56;-5.32;0.59;135.14;-6.66;2.14;149.94;-8.30;-15.91;122.68;0.74;-23.55;96.52;3.62;-22.21;73.33;10.06;-21.23;68.62;9.58;17.69;123.16;-5.99;23.39;94.97;-5.71;23.76;71.76;0.71;21.08;64.99;1.83;-5.46;73.26;3.48;-8.64;40.31;0.56;-8.54;8.47;-3.10;-4.93;0.05;3.50;7.41;73.23;-0.08;9.28;39.81;-1.09;9.02;10.14;-3.60;4.29;2.51;3.25
0,230;0.71;73.10;-2.58;0.61;104.56;-5.33;0.58;135.14;-6.67;2.13;149.94;-8.30;-15.91;122.67;0.73;-23.55;96.51;3.62;-22.21;73.33;10.05;-21.22;68.64;9.57;17.69;123.13;-5.98;23.39;94.96;-5.72;23.77;71.75;0.70;21.08;65.01;1.80;-5.46;73.26;3.47;-8.64;40.32;0.56;-8.53;8.48;-3.11;-4.97;0.05;3.51;7.40;73.22;-0.09;9.29;39.81;-1.10;8.99;10.13;-3.61;4.32;2.49;3.28
0,261;0.70;73.09;-2.59;0.60;104.56;-5.34;0.57;135.13;-6.68;2.13;149.93;-8.31;-15.91;122.68;0.73;-23.55;96.50;3.62;-22.22;73.31;10.05;-21.20;68.64;9.58;17.68;123.10;-5.97;23.39;94.95;-5.72;23.78;71.74;0.69;21.07;64.98;1.78;-5.47;73.25;3.47;-8.65;40.32;0.55;-8.54;8.48;-3.11;-5.00;0.05;3.52;7.39;73.21;-0.10;9.29;39.81;-1.10;8.95;10.13;-3.62;4.35;2.46;3.30
0,294;0.68;73.08;-2.59;0.60;104.55;-5.35;0.57;135.13;-6.69;2.12;149.93;-8.31;-15.92;122.68;0.72;-23.55;96.49;3.61;-22.21;73.30;10.05;-21.17;68.63;9.61;17.68;123.06;-5.96;23.38;94.94;-5.73;23.78;71.73;0.68;21.09;64.97;1.75;-5.48;73.24;3.46;-8.65;40.33;0.55;-8.54;8.48;-3.11;-5.02;0.04;3.52;7.37;73.19;-0.11;9.29;39.81;-1.10;8.90;10.14;-3.63;4.38;2.43;3.32
