Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;-0.47;11.37;-10.55;0.38;32.56;-4.03;1.62;53.84;3.15;-2.85;60.65;1.74;-4.89;39.29;4.99;-0.51;30.01;13.48;-15.85;37.26;13.21;-34.39;48.39;15.32;5.40;48.12;-2.98;8.56;44.41;14.58;1.77;29.73;15.78;-0.97;27.09;15.12;-3.80;10.78;-7.52;0.28;26.71;13.49;-1.84;4.81;-1.91;-6.52;7.45;5.59;4.67;12.82;-9.74;13.36;22.19;9.81;1.54;3.38;-4.96;6.82;0.00;1.29
0,032;-0.52;11.32;-10.40;0.25;32.23;-3.86;1.38;53.12;3.30;-2.75;60.25;1.78;-4.89;39.29;4.99;-0.13;30.99;14.16;-15.72;37.63;13.76;-29.82;46.47;16.12;5.41;48.14;-2.91;8.52;44.59;14.70;1.77;29.51;15.51;-0.89;26.69;15.20;-3.85;10.75;-7.38;0.23;25.78;13.54;-2.01;4.10;-2.11;-6.95;6.41;5.13;4.62;12.74;-9.57;13.80;22.21;9.74;1.75;3.41;-4.91;7.00;0.03;1.36
0,065;-0.57;11.20;-10.19;0.12;31.78;-3.63;1.19;52.24;3.50;-2.63;59.65;1.87;-4.89;39.30;4.99;-0.09;31.33;14.48;-15.85;37.59;14.06;-29.75;45.64;16.15;5.42;48.18;-2.82;8.49;44.76;14.82;1.78;29.25;15.28;-0.80;26.26;15.35;-3.87;10.65;-7.17;0.19;24.91;13.64;-2.20;3.43;-2.25;-7.46;5.39;4.61;4.55;12.61;-9.33;14.32;22.71;9.34;2.00;3.70;-4.84;7.24;0.32;1.44
0,097;-0.62;11.08;-9.95;0.04;31.40;-3.38;1.13;51.71;3.76;-2.51;59.41;1.99;-4.88;39.31;5.01;-2.58;33.13;13.93;-18.55;38.66;13.86;-29.08;44.58;15.75;5.43;48.23;-2.72;8.35;45.10;14.99;1.76;29.36;15.81;-0.97;26.06;15.62;-3.89;10.54;-6.94;0.17;24.07;13.75;-2.29;2.77;-2.36;-7.88;4.35;4.09;4.48;12.46;-9.09;14.66;23.17;9.03;2.17;3.94;-4.76;7.39;0.55;1.54
0,128;-0.68;10.90;-9.71;-0.08;30.92;-3.10;0.94;50.86;4.07;-2.39;58.85;2.11;-4.86;39.32;5.03;-5.03;34.93;13.36;-21.20;39.75;13.59;-30.59;44.72;15.20;5.44;48.26;-2.62;8.27;45.30;15.14;1.69;29.55;15.84;-1.10;26.12;15.51;-3.93;10.38;-6.69;0.14;23.24;13.87;-2.27;2.12;-2.46;-7.39;3.42;4.31;4.38;12.27;-8.84;14.78;23.42;8.85;2.14;4.08;-4.64;7.35;0.67;1.65
0,163;-0.74;10.74;-9.47;-0.17;30.52;-2.82;0.86;50.33;4.37;-2.29;58.61;2.24;-4.84;39.34;5.06;-7.52;36.46;12.57;-23.86;40.68;13.15;-33.76;45.32;14.79;5.43;48.37;-2.46;8.16;45.58;15.34;1.45;29.89;15.84;-1.32;26.44;15.40;-3.94;10.24;-6.43;0.15;22.47;14.03;-2.24;1.51;-2.50;-6.94;2.61;4.52;4.27;12.09;-8.61;14.56;23.52;8.93;1.93;4.13;-4.49;7.12;0.71;1.81
0,195;-0.81;10.59;-9.21;-0.23;30.26;-2.53;0.84;50.06;4.67;-2.22;58.53;2.38;-4.82;39.36;5.10;-10.09;37.72;11.57;-26.53;41.45;12.54;-36.86;45.52;14.05;5.41;48.53;-2.30;8.03;45.99;15.56;1.17;30.41;15.72;-1.62;26.95;15.08;-3.97;10.10;-6.15;0.18;21.74;14.24;-2.18;0.95;-2.50;-6.50;1.93;4.73;4.17;11.93;-8.37;14.04;23.81;9.05;1.71;4.29;-4.45;6.90;0.86;1.85
0,228;-0.89;10.44;-8.96;-0.28;30.04;-2.25;0.84;49.83;4.93;-2.16;58.45;2.50;-4.80;39.39;5.15;-12.66;38.97;10.58;-29.18;42.31;11.98;-40.26;46.01;13.26;5.39;48.70;-2.16;7.94;46.34;15.74;0.94;30.86;15.55;-1.86;27.45;14.62;-4.00;9.96;-5.89;0.23;21.04;14.46;-2.12;0.40;-2.48;-5.88;1.43;5.14;4.05;11.79;-8.14;13.48;24.29;9.07;1.50;4.56;-4.43;6.69;1.13;1.86
0,263;-0.92;10.36;-8.77;-0.23;30.08;-2.05;1.00;50.07;5.13;-2.15;58.59;2.61;-4.78;39.41;5.20;-15.23;40.22;9.61;-31.80;43.25;11.50;-44.00;46.55;12.39;5.37;48.89;-2.03;7.90;46.39;15.84;0.92;30.90;15.68;-1.87;27.44;14.69;-4.02;9.86;-5.66;0.26;20.73;14.63;-2.05;0.16;-2.39;-5.11;1.30;5.79;4.00;11.72;-7.98;12.91;24.70;9.16;1.26;4.79;-4.37;6.45;1.35;1.92
0,296;-0.91;10.37;-8.65;-0.09;30.41;-1.94;1.28;50.84;5.26;-2.16;59.16;2.70;-4.76;39.43;5.24;-17.70;41.67;8.77;-34.34;44.32;11.14;-45.49;46.57;11.89;5.33;49.08;-1.87;7.84;46.46;15.98;0.88;30.97;15.85;-1.91;27.45;14.78;-4.01;9.84;-5.48;0.25;21.41;14.68;-1.97;0.68;-2.17;-4.31;1.59;6.65;4.03;11.76;-7.92;13.04;24.61;9.25;1.23;4.78;-4.25;6.43;1.34;2.04
