Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;6.12;64.10;-6.31;7.38;91.23;-0.60;8.50;118.04;6.09;8.35;129.81;9.81;-6.68;107.92;4.60;-10.83;88.67;4.71;0.12;80.52;15.89;3.98;79.52;14.67;23.87;109.81;6.64;35.01;91.67;5.42;35.04;76.25;16.66;35.21;73.81;20.30;-1.02;64.41;-3.66;-3.86;37.37;-3.37;-8.90;10.13;2.35;-9.52;6.49;12.74;12.73;63.86;-2.32;11.06;37.17;-4.68;8.97;6.01;-10.44;9.44;0.00;-4.66
0,022;6.13;64.12;-6.31;7.39;91.29;-0.63;8.51;118.14;6.04;8.42;129.94;9.67;-6.68;107.92;4.61;-10.85;88.68;4.69;0.02;80.52;15.92;3.85;79.57;14.76;23.88;109.83;6.63;35.01;91.68;5.41;35.01;76.53;16.40;35.17;73.92;20.06;-1.01;64.44;-3.66;-3.86;37.36;-3.38;-8.88;10.08;2.38;-9.50;6.45;12.76;12.74;63.89;-2.33;11.14;37.14;-4.69;8.99;5.98;-10.45;9.41;-0.02;-4.64
0,047;6.14;64.15;-6.31;7.40;91.35;-0.65;8.54;118.23;6.00;8.52;130.08;9.51;-6.66;107.93;4.62;-10.86;88.68;4.69;-0.05;80.54;15.99;3.81;79.58;14.84;23.88;109.85;6.63;35.02;91.68;5.40;35.00;76.82;16.14;35.09;74.07;19.83;-1.00;64.46;-3.66;-3.86;37.35;-3.39;-8.88;10.04;2.37;-9.46;5.92;12.53;12.75;63.91;-2.33;11.22;37.11;-4.69;8.99;5.98;-10.46;9.37;-0.06;-4.72
0,080;6.16;64.17;-6.31;7.44;91.43;-0.67;8.60;118.36;5.95;8.64;130.22;9.32;-6.64;107.95;4.62;-10.87;88.69;4.69;-0.09;80.59;16.05;3.75;79.63;14.97;23.88;109.86;6.62;35.02;91.67;5.40;35.01;76.84;16.11;35.08;74.10;19.78;-0.98;64.50;-3.65;-3.86;37.35;-3.40;-8.87;10.01;2.35;-9.42;5.40;12.28;12.76;63.93;-2.33;11.26;37.09;-4.69;9.00;6.01;-10.45;9.35;-0.10;-4.85
0,113;6.17;64.21;-6.30;7.48;91.51;-0.69;8.67;118.50;5.91;8.79;130.35;9.14;-6.62;107.98;4.61;-10.88;88.68;4.71;-0.13;80.63;16.12;3.71;79.71;15.01;23.89;109.87;6.62;35.03;91.62;5.40;35.01;76.30;16.59;35.17;73.82;20.06;-0.96;64.54;-3.64;-3.85;37.35;-3.41;-8.86;10.01;2.34;-9.41;5.40;12.27;12.77;63.96;-2.33;11.05;37.03;-4.71;9.00;6.06;-10.43;9.35;-0.08;-4.90
0,147;6.19;64.24;-6.29;7.52;91.60;-0.71;8.75;118.65;5.86;8.97;130.49;8.92;-6.61;108.01;4.64;-10.89;88.67;4.73;-0.17;80.66;16.21;3.67;79.83;15.06;23.89;109.88;6.63;35.05;91.55;5.42;35.04;76.31;16.55;35.17;73.77;20.06;-0.94;64.59;-3.62;-3.85;37.34;-3.42;-8.84;10.02;2.33;-9.39;5.42;12.26;12.78;63.98;-2.32;10.94;36.97;-4.72;9.00;6.11;-10.40;9.37;-0.05;-4.94
0,179;6.21;64.28;-6.28;7.57;91.73;-0.76;8.83;118.88;5.74;9.15;130.63;8.67;-6.63;108.03;4.67;-10.89;88.65;4.74;-0.20;80.67;16.29;3.58;79.86;15.03;23.91;109.88;6.62;35.06;91.49;5.42;35.07;76.32;16.47;35.20;73.79;19.90;-0.91;64.63;-3.61;-3.83;37.34;-3.44;-8.83;10.02;2.31;-9.38;5.43;12.25;12.80;64.01;-2.32;10.70;36.90;-4.76;8.99;6.10;-10.45;9.36;-0.08;-5.03
0,211;6.23;64.31;-6.28;7.61;91.85;-0.81;8.91;119.11;5.64;9.34;130.74;8.40;-6.64;108.06;4.71;-10.89;88.63;4.76;-0.24;80.68;16.38;3.51;79.88;15.10;23.92;109.89;6.61;35.07;91.43;5.43;35.09;76.32;16.40;35.20;73.87;19.76;-0.89;64.67;-3.60;-3.82;37.34;-3.46;-8.84;10.02;2.30;-9.38;5.43;12.25;12.81;64.04;-2.32;10.55;36.88;-4.79;8.97;6.11;-10.47;9.34;-0.09;-5.14
0,249;6.25;64.34;-6.27;7.66;91.96;-0.85;8.99;119.31;5.55;9.51;130.82;8.14;-6.64;108.08;4.74;-10.89;88.66;4.80;0.04;80.27;16.85;3.40;79.67;15.58;23.95;109.89;6.60;35.08;91.38;5.44;35.12;76.32;16.35;35.17;73.92;19.72;-0.87;64.70;-3.58;-3.82;37.35;-3.46;-8.85;10.05;2.28;-9.38;5.47;12.23;12.83;64.07;-2.32;10.42;36.86;-4.80;8.95;6.11;-10.50;9.25;-0.12;-5.24
0,279;6.27;64.37;-6.26;7.70;92.05;-0.88;9.06;119.48;5.48;9.65;130.89;7.91;-6.64;108.10;4.79;-10.90;88.69;4.82;0.03;80.16;17.02;3.31;79.66;15.70;23.97;109.90;6.60;35.07;91.37;5.45;35.15;76.32;16.30;35.14;74.02;19.81;-0.85;64.73;-3.57;-3.81;37.36;-3.47;-8.85;10.09;2.26;-9.38;5.76;12.33;12.84;64.08;-2.31;10.33;36.85;-4.80;8.96;6.12;-10.52;9.16;-0.13;-5.33
