Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;7.88;80.95;1.98;8.92;113.72;0.99;9.91;145.66;1.25;10.05;160.47;2.89;-9.64;133.83;2.92;-15.80;105.11;4.71;-14.80;80.83;10.14;-14.06;73.31;11.02;28.99;133.82;3.86;36.03;107.48;-1.35;34.49;81.57;4.06;33.23;76.19;5.02;-0.96;81.07;5.54;-7.66;44.12;3.31;-10.61;8.94;-1.73;-15.10;0.00;4.56;16.56;80.68;6.57;14.64;44.19;-0.44;12.11;10.10;-5.44;13.60;0.77;2.61
0,023;7.88;80.95;1.98;8.92;113.72;0.98;9.92;145.66;1.24;10.05;160.47;2.89;-9.64;133.83;2.91;-15.80;105.11;4.69;-14.80;80.85;10.13;-14.07;73.31;11.01;28.99;133.82;3.86;36.03;107.48;-1.35;34.49;81.57;4.07;33.24;76.19;5.02;-0.96;81.06;5.53;-7.66;44.12;3.31;-10.60;8.93;-1.73;-15.09;-0.02;4.53;16.56;80.68;6.57;14.64;44.19;-0.44;12.12;10.11;-5.43;13.55;0.76;2.59
0,050;7.88;80.95;1.98;8.92;113.72;0.98;9.93;145.66;1.24;10.06;160.47;2.89;-9.64;133.84;2.90;-15.80;105.10;4.68;-14.80;80.86;10.12;-14.11;73.30;11.01;28.98;133.81;3.86;36.03;107.47;-1.34;34.50;81.57;4.08;33.24;76.20;5.06;-0.96;81.06;5.53;-7.66;44.12;3.31;-10.61;8.92;-1.74;-15.08;-0.04;4.52;16.55;80.67;6.57;14.64;44.19;-0.44;12.14;10.11;-5.43;13.50;0.75;2.58
0,085;7.87;80.95;1.98;8.92;113.72;0.98;9.94;145.66;1.25;10.06;160.47;2.89;-9.63;133.84;2.89;-15.80;105.10;4.67;-14.79;80.86;10.12;-14.13;73.30;11.01;28.98;133.80;3.86;36.04;107.47;-1.33;34.50;81.58;4.10;33.24;76.22;5.08;-0.96;81.06;5.52;-7.67;44.12;3.31;-10.62;8.91;-1.74;-15.08;-0.06;4.50;16.54;80.67;6.57;14.64;44.19;-0.43;12.15;10.12;-5.42;13.43;0.73;2.55
0,117;7.87;80.95;1.96;8.93;113.72;0.97;9.95;145.66;1.25;10.07;160.48;2.88;-9.63;133.85;2.86;-15.80;105.11;4.65;-14.79;80.87;10.10;-14.15;73.28;10.96;28.98;133.80;3.85;36.05;107.45;-1.33;34.50;81.58;4.10;33.25;76.23;5.04;-0.96;81.07;5.50;-7.67;44.12;3.30;-10.64;8.91;-1.75;-15.07;-0.08;4.49;16.54;80.67;6.56;14.64;44.17;-0.46;12.15;10.13;-5.44;13.30;0.71;2.50
0,152;7.86;80.95;1.94;8.93;113.72;0.96;9.95;145.65;1.25;10.07;160.48;2.87;-9.63;133.86;2.83;-15.79;105.11;4.63;-14.79;80.86;10.09;-14.16;73.28;10.93;28.99;133.80;3.85;36.06;107.44;-1.33;34.51;81.58;4.10;33.25;76.24;5.05;-0.96;81.07;5.48;-7.68;44.12;3.30;-10.65;8.90;-1.76;-15.07;-0.10;4.47;16.53;80.67;6.55;14.63;44.15;-0.48;12.16;10.15;-5.45;13.19;0.72;2.49
0,184;7.86;80.96;1.93;8.93;113.72;0.96;9.96;145.64;1.26;10.07;160.48;2.85;-9.63;133.87;2.80;-15.78;105.11;4.63;-14.78;80.87;10.08;-14.16;73.30;10.92;29.00;133.81;3.85;36.08;107.42;-1.33;34.52;81.58;4.10;33.24;76.24;5.04;-0.96;81.08;5.46;-7.68;44.13;3.30;-10.66;8.89;-1.77;-15.06;-0.12;4.44;16.52;80.67;6.54;14.63;44.14;-0.49;12.15;10.17;-5.44;13.14;0.74;2.51
0,217;7.86;80.96;1.92;8.94;113.71;0.95;9.96;145.63;1.27;10.08;160.49;2.84;-9.62;133.88;2.78;-15.77;105.11;4.62;-14.78;80.87;10.08;-14.15;73.31;10.93;29.01;133.81;3.85;36.08;107.40;-1.34;34.52;81.58;4.10;33.26;76.24;5.02;-0.96;81.08;5.44;-7.68;44.12;3.29;-10.67;8.88;-1.78;-15.04;-0.14;4.42;16.52;80.67;6.52;14.63;44.13;-0.51;12.13;10.19;-5.44;13.09;0.75;2.52
0,251;7.87;80.96;1.90;8.94;113.71;0.95;9.97;145.62;1.28;10.08;160.49;2.83;-9.62;133.89;2.76;-15.76;105.10;4.62;-14.78;80.87;10.08;-14.15;73.33;10.95;29.02;133.81;3.85;36.09;107.39;-1.34;34.53;81.58;4.10;33.26;76.25;4.97;-0.95;81.08;5.42;-7.68;44.12;3.29;-10.68;8.88;-1.78;-15.02;-0.16;4.40;16.52;80.67;6.51;14.63;44.11;-0.53;12.13;10.21;-5.43;13.04;0.78;2.54
0,284;7.88;80.95;1.88;8.95;113.70;0.94;9.99;145.60;1.29;10.08;160.50;2.83;-9.61;133.89;2.74;-15.74;105.09;4.62;-14.77;80.87;10.08;-14.13;73.35;10.97;29.03;133.81;3.84;36.10;107.38;-1.35;34.53;81.58;4.10;33.27;76.26;4.97;-0.93;81.08;5.40;-7.68;44.11;3.29;-10.68;8.90;-1.78;-15.01;-0.15;4.39;16.53;80.67;6.50;14.62;44.10;-0.55;12.12;10.23;-5.42;13.05;0.81;2.56
