Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;1.49;69.67;-4.99;3.89;99.55;-5.42;6.29;128.83;-4.76;8.46;142.02;-2.29;-10.00;118.69;-6.07;-16.67;92.76;-2.53;-8.25;81.21;12.19;-4.04;81.02;8.82;23.40;116.44;-9.31;32.64;96.40;-10.02;35.86;79.04;9.81;36.69;73.78;10.92;-5.97;70.41;-1.25;-9.23;39.28;0.91;-8.71;4.68;-4.05;-6.89;0.00;6.56;9.08;69.08;-2.06;9.78;38.56;-1.09;7.27;5.56;-7.95;8.33;1.49;5.44
0,034;1.49;69.67;-4.99;3.89;99.55;-5.43;6.30;128.84;-4.78;8.47;142.02;-2.32;-10.00;118.66;-6.03;-16.61;92.73;-2.43;-8.22;81.15;12.26;-3.98;80.94;8.77;23.40;116.41;-9.33;32.63;96.39;-10.03;35.84;79.05;9.77;36.71;73.51;11.00;-5.97;70.41;-1.24;-9.23;39.31;0.92;-8.64;4.68;-4.06;-7.22;0.41;8.41;9.08;69.08;-2.06;9.78;38.57;-1.09;7.27;5.58;-7.95;8.35;1.51;5.44
0,067;1.49;69.66;-4.99;3.90;99.55;-5.43;6.33;128.85;-4.79;8.49;142.00;-2.35;-9.97;118.61;-6.03;-16.35;92.66;-2.09;-8.07;80.91;12.51;-3.79;80.79;8.80;23.39;116.37;-9.30;32.63;96.36;-10.05;35.83;79.03;9.74;36.74;73.13;11.11;-5.97;70.40;-1.24;-9.23;39.34;0.92;-8.60;4.68;-4.05;-7.38;0.62;9.33;9.08;69.07;-2.06;9.78;38.57;-1.08;7.26;5.58;-7.96;8.34;1.51;5.44
0,099;1.49;69.65;-4.99;3.91;99.54;-5.44;6.35;128.86;-4.82;8.50;141.99;-2.37;-9.94;118.57;-6.02;-16.14;92.61;-1.85;-7.97;80.72;12.67;-3.67;80.67;8.81;23.38;116.33;-9.29;32.63;96.34;-10.06;35.83;79.04;9.74;36.78;73.07;11.14;-5.97;70.39;-1.22;-9.23;39.15;0.90;-8.61;4.66;-4.06;-7.39;0.61;9.33;9.08;69.06;-2.06;9.78;38.57;-1.08;7.26;5.57;-7.96;8.33;1.50;5.43
0,133;1.49;69.64;-4.99;3.92;99.54;-5.44;6.38;128.88;-4.83;8.52;141.98;-2.39;-9.90;118.51;-6.04;-16.04;92.53;-1.71;-7.88;80.59;12.80;-3.63;80.54;8.85;23.37;116.29;-9.25;32.63;96.31;-10.06;35.81;79.06;9.68;36.82;73.40;11.09;-5.97;70.39;-1.20;-9.23;39.03;0.89;-8.64;4.66;-4.04;-7.43;0.61;9.35;9.08;69.05;-2.07;9.78;38.58;-1.08;7.25;5.56;-7.97;8.31;1.50;5.42
0,167;1.49;69.63;-4.98;3.93;99.54;-5.44;6.42;128.89;-4.84;8.54;141.97;-2.39;-9.87;118.46;-6.04;-16.09;92.47;-1.69;-7.87;80.58;12.81;-3.59;80.53;8.85;23.36;116.24;-9.22;32.63;96.28;-10.06;35.80;79.08;9.63;36.86;73.75;11.07;-5.97;70.38;-1.19;-9.23;38.75;0.90;-8.75;4.63;-4.05;-7.55;0.58;9.34;9.08;69.03;-2.07;9.78;38.58;-1.08;7.24;5.54;-7.98;8.29;1.48;5.42
0,200;1.49;69.62;-4.98;3.94;99.54;-5.45;6.45;128.90;-4.85;8.56;141.97;-2.39;-9.81;118.40;-6.03;-16.14;92.48;-1.72;-7.88;80.60;12.77;-3.55;80.49;8.84;23.35;116.20;-9.20;32.64;96.26;-10.06;35.82;79.13;9.61;36.89;74.14;11.07;-5.97;70.37;-1.17;-9.23;38.64;0.91;-8.85;4.59;-4.06;-7.65;0.55;9.33;9.08;69.02;-2.08;9.77;38.58;-1.08;7.23;5.53;-8.00;8.28;1.46;5.40
0,233;1.48;69.62;-4.98;3.95;99.54;-5.45;6.47;128.91;-4.86;8.59;141.95;-2.39;-9.75;118.35;-6.00;-16.14;92.49;-1.69;-7.86;80.59;12.77;-3.57;80.44;8.87;23.36;116.17;-9.21;32.66;96.21;-10.04;35.86;79.19;9.61;36.94;74.54;11.10;-5.97;70.36;-1.15;-9.22;38.57;0.93;-8.85;4.56;-4.09;-7.64;0.51;9.30;9.08;69.00;-2.09;9.77;38.58;-1.08;7.21;5.52;-8.01;8.28;1.45;5.39
0,267;1.48;69.61;-4.97;3.96;99.54;-5.45;6.50;128.90;-4.86;8.62;141.93;-2.38;-9.69;118.31;-5.97;-16.27;92.50;-1.83;-7.92;80.70;12.67;-3.61;80.39;8.87;23.38;116.14;-9.24;32.69;96.16;-10.02;35.92;79.23;9.62;36.95;74.95;11.05;-5.97;70.36;-1.13;-9.22;38.52;0.94;-8.89;4.53;-4.10;-7.66;0.48;9.28;9.08;68.99;-2.09;9.78;38.58;-1.08;7.19;5.51;-8.02;8.27;1.44;5.38
0,301;1.48;69.60;-4.97;3.97;99.54;-5.45;6.52;128.91;-4.86;8.64;141.92;-2.37;-9.65;118.29;-5.94;-16.43;92.50;-1.97;-8.00;80.82;12.58;-3.69;80.35;8.87;23.40;116.11;-9.27;32.71;96.15;-10.03;35.97;79.28;9.63;37.01;75.42;10.96;-5.98;70.36;-1.11;-9.22;38.40;0.96;-8.96;4.54;-4.08;-7.71;0.49;9.30;9.08;68.98;-2.10;9.78;38.58;-1.08;7.17;5.50;-8.02;8.28;1.44;5.37
