Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;1.57;59.35;-3.72;0.91;89.99;-6.36;0.20;120.01;-7.78;1.23;134.28;-9.67;-14.97;106.33;-2.88;-20.59;86.67;-1.20;-5.35;78.79;14.05;-0.30;75.51;13.16;16.01;108.18;-8.79;21.03;88.48;-11.23;18.21;73.05;6.53;12.55;67.13;9.71;-5.46;59.27;1.00;-9.03;26.52;-6.49;-9.63;5.27;-5.87;-7.66;1.32;8.16;8.70;59.78;-0.94;9.56;25.61;-4.36;7.74;3.93;-8.16;9.54;0.00;5.87
0,023;1.55;59.35;-3.71;0.90;89.99;-6.36;0.20;119.99;-7.79;1.20;134.28;-9.67;-15.00;106.32;-2.88;-20.16;86.49;-0.68;-5.25;78.81;14.11;-0.37;75.51;13.18;15.99;108.16;-8.81;21.04;88.49;-11.23;18.20;73.05;6.52;12.54;67.10;9.72;-5.48;59.26;1.00;-9.03;26.51;-6.48;-9.62;5.27;-5.87;-7.65;1.33;8.16;8.68;59.78;-0.92;9.55;25.62;-4.34;7.72;3.89;-8.15;9.52;-0.04;5.88
0,050;1.53;59.35;-3.70;0.88;89.98;-6.36;0.19;119.99;-7.79;1.18;134.29;-9.68;-15.03;106.31;-2.89;-19.72;86.18;-0.16;-5.15;78.81;14.18;-0.39;75.57;13.17;15.99;108.15;-8.83;21.04;88.50;-11.23;18.20;73.06;6.52;12.47;67.23;9.75;-5.50;59.24;1.00;-9.03;26.48;-6.47;-9.61;5.26;-5.87;-7.63;1.31;8.16;8.65;59.78;-0.90;9.54;25.62;-4.32;7.72;3.86;-8.13;9.52;-0.07;5.89
0,082;1.50;59.34;-3.71;0.86;89.97;-6.36;0.17;119.98;-7.78;1.14;134.29;-9.69;-15.05;106.30;-2.89;-19.82;86.35;-0.21;-5.12;78.84;14.18;-0.34;75.55;13.15;15.98;108.13;-8.85;21.03;88.52;-11.22;18.18;73.06;6.52;12.47;67.26;9.71;-5.52;59.22;0.98;-9.02;26.44;-6.46;-9.60;5.25;-5.87;-7.62;1.31;8.16;8.62;59.78;-0.90;9.54;25.61;-4.29;7.72;3.82;-8.14;9.53;-0.11;5.89
0,115;1.48;59.33;-3.71;0.83;89.97;-6.37;0.14;119.97;-7.78;1.10;134.29;-9.71;-15.06;106.30;-2.91;-19.90;86.50;-0.25;-5.10;78.88;14.17;-0.31;75.54;13.11;15.97;108.12;-8.88;21.02;88.53;-11.21;18.18;73.06;6.50;12.47;67.25;9.68;-5.55;59.20;0.96;-9.01;26.40;-6.45;-9.61;5.25;-5.86;-7.62;1.31;8.16;8.59;59.78;-0.90;9.54;25.61;-4.27;7.72;3.81;-8.14;9.54;-0.13;5.88
0,152;1.45;59.32;-3.71;0.80;89.96;-6.37;0.11;119.95;-7.79;1.07;134.30;-9.74;-15.07;106.29;-2.92;-19.93;86.56;-0.28;-5.17;78.92;14.20;-0.38;75.59;13.15;15.96;108.11;-8.89;21.01;88.54;-11.19;18.17;73.06;6.48;12.49;67.22;9.59;-5.57;59.18;0.95;-9.00;26.37;-6.44;-9.62;5.26;-5.85;-7.63;1.31;8.17;8.56;59.79;-0.88;9.54;25.61;-4.24;7.73;3.79;-8.15;9.55;-0.14;5.87
0,183;1.42;59.31;-3.72;0.76;89.95;-6.38;0.08;119.93;-7.80;1.03;134.31;-9.77;-15.08;106.29;-2.94;-20.06;86.80;-0.47;-5.26;78.99;14.22;-0.39;75.64;13.16;15.93;108.12;-8.90;21.00;88.54;-11.16;18.17;73.06;6.46;12.50;67.21;9.57;-5.60;59.15;0.93;-8.98;26.33;-6.43;-9.64;5.26;-5.85;-7.66;1.31;8.18;8.54;59.79;-0.87;9.55;25.61;-4.21;7.75;3.80;-8.16;9.56;-0.13;5.86
0,216;1.39;59.30;-3.72;0.73;89.94;-6.39;0.04;119.92;-7.81;1.00;134.32;-9.79;-15.09;106.28;-2.95;-20.21;86.84;-0.65;-5.31;79.07;14.23;-0.39;75.68;13.16;15.91;108.11;-8.90;20.98;88.54;-11.13;18.16;73.08;6.45;12.50;67.17;9.57;-5.63;59.13;0.91;-8.96;26.29;-6.43;-9.66;5.25;-5.84;-7.68;1.31;8.18;8.50;59.79;-0.86;9.54;25.61;-4.19;7.76;3.79;-8.16;9.56;-0.14;5.86
0,248;1.36;59.29;-3.72;0.70;89.93;-6.39;0.00;119.90;-7.82;0.97;134.32;-9.81;-15.10;106.27;-2.96;-20.51;86.92;-0.95;-5.35;79.10;14.22;-0.32;75.69;13.17;15.90;108.11;-8.89;20.97;88.52;-11.10;18.15;73.09;6.45;12.51;67.16;9.58;-5.66;59.11;0.90;-8.94;26.26;-6.41;-9.68;5.25;-5.83;-7.70;1.30;8.19;8.47;59.79;-0.85;9.52;25.60;-4.17;7.76;3.79;-8.15;9.57;-0.15;5.88
0,282;1.34;59.28;-3.73;0.67;89.93;-6.40;-0.03;119.89;-7.82;0.94;134.33;-9.85;-15.11;106.27;-2.97;-21.02;87.24;-1.49;-5.43;79.12;14.18;-0.23;75.64;13.16;15.89;108.11;-8.89;20.97;88.51;-11.08;18.15;73.11;6.46;12.49;67.23;9.57;-5.68;59.10;0.89;-8.92;26.24;-6.41;-9.70;5.23;-5.83;-7.73;1.28;8.20;8.45;59.79;-0.85;9.49;25.60;-4.14;7.76;3.77;-8.14;9.56;-0.16;5.89
