Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;1.35;59.63;-2.28;1.07;88.59;-4.69;0.80;117.09;-6.22;1.28;127.98;-7.97;-15.14;104.38;-3.40;-18.01;82.67;0.40;-7.03;71.30;13.90;-2.42;68.43;13.23;16.27;105.75;-6.77;21.28;80.70;-9.24;21.59;61.40;-5.12;21.49;56.54;-4.48;-2.97;59.40;1.25;-7.86;31.90;-2.64;-8.18;3.73;-5.57;-7.31;1.04;4.41;5.87;60.15;-0.17;9.12;31.02;-0.33;7.37;2.68;-4.41;8.13;0.00;5.57
0,030;1.32;59.63;-2.29;1.05;88.59;-4.71;0.79;117.10;-6.25;1.26;127.98;-8.00;-15.16;104.39;-3.43;-18.06;82.72;0.36;-7.30;71.21;13.92;-2.66;68.45;13.18;16.26;105.74;-6.82;21.23;80.71;-9.23;21.60;61.41;-5.15;21.47;56.54;-4.51;-3.00;59.40;1.24;-7.88;31.90;-2.66;-8.19;3.75;-5.58;-7.32;1.06;4.40;5.85;60.16;-0.18;9.11;31.03;-0.33;7.36;2.70;-4.41;8.12;0.02;5.57
0,061;1.30;59.64;-2.28;1.04;88.60;-4.72;0.78;117.10;-6.28;1.24;127.99;-8.01;-15.17;104.39;-3.44;-18.11;82.77;0.32;-6.97;71.20;14.14;-2.30;68.34;13.26;16.24;105.73;-6.86;21.19;80.72;-9.21;21.60;61.41;-5.16;21.45;56.55;-4.43;-3.02;59.40;1.24;-7.88;31.90;-2.65;-8.20;3.76;-5.57;-7.32;1.07;4.41;5.83;60.16;-0.17;9.10;31.00;-0.31;7.35;2.71;-4.39;8.12;0.03;5.60
0,092;1.29;59.64;-2.27;1.02;88.60;-4.73;0.77;117.11;-6.31;1.22;128.00;-8.03;-15.18;104.39;-3.44;-18.17;82.82;0.29;-6.98;71.25;14.07;-2.36;68.36;13.22;16.22;105.72;-6.89;21.15;80.74;-9.19;21.60;61.42;-5.19;21.43;56.57;-4.42;-3.04;59.40;1.25;-7.89;31.90;-2.64;-8.21;3.77;-5.55;-7.31;1.08;4.43;5.82;60.16;-0.15;9.10;30.96;-0.29;7.35;2.72;-4.36;8.12;0.04;5.62
0,128;1.27;59.64;-2.26;1.00;88.61;-4.74;0.75;117.12;-6.34;1.20;128.01;-8.04;-15.20;104.40;-3.44;-18.22;82.88;0.25;-7.15;71.31;13.87;-2.59;68.43;13.17;16.19;105.72;-6.92;21.12;80.76;-9.17;21.60;61.43;-5.21;21.40;56.57;-4.42;-3.06;59.40;1.26;-7.90;31.90;-2.63;-8.21;3.77;-5.55;-7.31;1.08;4.43;5.80;60.17;-0.14;9.09;30.93;-0.27;7.35;2.71;-4.34;8.13;0.04;5.64
0,160;1.24;59.65;-2.26;0.97;88.62;-4.78;0.72;117.15;-6.41;1.17;128.03;-8.11;-15.22;104.42;-3.50;-18.27;82.94;0.20;-7.27;71.25;13.63;-2.71;68.37;13.00;16.16;105.73;-6.99;21.10;80.78;-9.17;21.60;61.45;-5.24;21.36;56.65;-4.48;-3.09;59.41;1.25;-7.91;31.90;-2.64;-8.21;3.75;-5.55;-7.30;1.07;4.43;5.78;60.18;-0.14;9.09;30.93;-0.24;7.35;2.72;-4.33;8.13;0.04;5.66
0,193;1.21;59.66;-2.27;0.94;88.64;-4.81;0.70;117.16;-6.47;1.15;128.04;-8.16;-15.25;104.44;-3.55;-18.33;83.00;0.16;-7.62;71.28;13.56;-3.11;68.45;12.99;16.14;105.74;-7.06;21.08;80.80;-9.17;21.59;61.46;-5.26;21.33;56.65;-4.46;-3.12;59.41;1.25;-7.92;31.90;-2.64;-8.20;3.74;-5.54;-7.29;1.06;4.44;5.75;60.19;-0.14;9.08;30.94;-0.22;7.35;2.72;-4.31;8.14;0.05;5.68
0,227;1.18;59.66;-2.27;0.90;88.65;-4.84;0.65;117.19;-6.53;1.12;128.06;-8.21;-15.27;104.46;-3.60;-18.37;83.01;0.16;-7.17;71.46;13.70;-2.58;68.59;13.08;16.11;105.75;-7.13;21.05;80.82;-9.16;21.59;61.48;-5.29;21.33;56.62;-4.39;-3.15;59.42;1.25;-7.93;31.89;-2.64;-8.20;3.71;-5.53;-7.29;1.03;4.45;5.72;60.20;-0.15;9.07;30.92;-0.20;7.35;2.73;-4.29;8.14;0.06;5.69
0,260;1.15;59.67;-2.27;0.87;88.66;-4.87;0.61;117.21;-6.58;1.10;128.08;-8.25;-15.29;104.47;-3.64;-18.39;83.00;0.17;-6.72;71.61;13.84;-2.03;68.63;13.21;16.09;105.76;-7.18;21.02;80.84;-9.14;21.58;61.50;-5.30;21.32;56.69;-4.30;-3.18;59.42;1.24;-7.93;31.89;-2.65;-8.21;3.68;-5.53;-7.29;1.00;4.45;5.70;60.20;-0.15;9.06;30.91;-0.17;7.35;2.74;-4.28;8.14;0.07;5.70
0,293;1.13;59.68;-2.28;0.84;88.68;-4.90;0.57;117.23;-6.64;1.07;128.10;-8.30;-15.31;104.49;-3.69;-18.39;82.99;0.17;-6.77;71.69;13.67;-2.10;68.73;13.18;16.07;105.78;-7.23;20.99;80.86;-9.14;21.57;61.52;-5.31;21.29;56.78;-4.39;-3.20;59.43;1.24;-7.94;31.88;-2.66;-8.22;3.67;-5.54;-7.30;0.99;4.44;5.67;60.21;-0.15;9.04;30.89;-0.16;7.34;2.76;-4.28;8.14;0.09;5.70
