Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;1.22;76.48;-5.74;1.96;109.72;-7.39;2.68;142.21;-7.79;3.44;156.96;-8.31;-16.20;130.25;-5.60;-22.53;102.47;-3.82;-22.59;79.27;1.71;-20.29;72.89;2.33;19.96;127.68;-6.52;23.91;100.88;-5.12;24.11;76.36;0.54;21.22;69.11;1.54;-7.04;76.82;-1.18;-7.05;42.06;-2.11;-6.74;6.73;-4.88;-3.72;0.00;4.07;9.64;76.21;-2.26;7.82;41.54;-5.17;5.02;7.06;-7.33;5.44;2.65;8.14
0,024;1.24;76.48;-5.77;1.98;109.72;-7.44;2.70;142.20;-7.88;3.41;156.96;-8.39;-16.20;130.25;-5.69;-22.51;102.46;-3.86;-22.57;79.27;1.68;-20.24;72.92;2.31;19.96;127.68;-6.58;23.93;100.85;-5.16;24.12;76.38;0.51;21.25;69.12;1.50;-7.02;76.82;-1.21;-7.04;42.09;-2.11;-6.69;6.81;-4.88;-3.98;0.38;4.84;9.67;76.22;-2.28;7.85;41.55;-5.17;5.00;7.08;-7.34;5.42;2.67;8.13
0,053;1.27;76.48;-5.79;1.99;109.72;-7.50;2.69;142.19;-7.97;3.39;156.96;-8.48;-16.20;130.25;-5.78;-22.49;102.45;-3.91;-22.55;79.26;1.65;-20.22;72.92;2.31;19.97;127.67;-6.65;23.96;100.83;-5.21;24.13;76.39;0.49;21.27;69.10;1.50;-7.00;76.82;-1.23;-7.04;42.08;-2.11;-6.66;6.89;-4.88;-4.52;1.07;6.41;9.71;76.22;-2.30;7.88;41.54;-5.18;5.00;7.08;-7.34;5.41;2.68;8.13
0,088;1.30;76.48;-5.82;2.00;109.72;-7.55;2.69;142.19;-8.05;3.37;156.96;-8.58;-16.19;130.25;-5.87;-22.47;102.45;-3.94;-22.53;79.26;1.63;-20.19;72.89;2.33;19.99;127.66;-6.72;23.98;100.81;-5.25;24.14;76.40;0.47;21.29;69.10;1.49;-6.97;76.82;-1.26;-7.03;42.01;-2.11;-6.65;6.94;-4.89;-4.80;1.42;7.18;9.73;76.22;-2.33;7.91;41.53;-5.19;5.03;7.06;-7.34;5.44;2.66;8.13
0,120;1.32;76.48;-5.84;2.01;109.72;-7.60;2.68;142.19;-8.13;3.36;156.95;-8.69;-16.18;130.26;-5.97;-22.44;102.44;-3.98;-22.50;79.26;1.60;-20.17;72.89;2.34;20.01;127.64;-6.78;24.00;100.79;-5.30;24.16;76.41;0.44;21.29;69.09;1.47;-6.95;76.82;-1.28;-7.03;41.98;-2.11;-6.64;6.97;-4.89;-4.80;1.46;7.18;9.76;76.21;-2.35;7.94;41.51;-5.20;5.05;7.04;-7.34;5.44;2.64;8.13
0,152;1.36;76.48;-5.85;2.03;109.72;-7.64;2.68;142.20;-8.21;3.35;156.95;-8.79;-16.17;130.27;-6.05;-22.42;102.44;-4.00;-22.47;79.25;1.58;-20.16;72.89;2.35;20.02;127.63;-6.84;24.03;100.78;-5.33;24.17;76.41;0.42;21.31;69.09;1.46;-6.91;76.82;-1.29;-7.01;42.02;-2.09;-6.64;7.07;-4.86;-4.49;1.27;6.37;9.80;76.21;-2.37;7.96;41.50;-5.21;5.06;7.02;-7.33;5.45;2.62;8.14
0,186;1.40;76.48;-5.86;2.04;109.72;-7.67;2.68;142.22;-8.26;3.35;156.96;-8.90;-16.17;130.26;-6.11;-22.39;102.43;-4.02;-22.43;79.25;1.57;-20.14;72.90;2.36;20.04;127.62;-6.89;24.05;100.78;-5.37;24.19;76.42;0.40;21.31;69.07;1.49;-6.88;76.82;-1.30;-7.00;42.06;-2.06;-6.68;7.07;-4.82;-4.42;1.35;6.38;9.84;76.21;-2.38;7.99;41.49;-5.22;5.07;7.01;-7.32;5.46;2.61;8.16
0,220;1.43;76.47;-5.88;2.06;109.73;-7.70;2.68;142.24;-8.32;3.36;156.96;-9.00;-16.16;130.26;-6.16;-22.36;102.43;-4.04;-22.40;79.25;1.56;-20.13;72.93;2.36;20.07;127.61;-6.94;24.07;100.78;-5.40;24.21;76.42;0.37;21.32;69.07;1.44;-6.85;76.82;-1.31;-6.98;42.09;-2.04;-6.73;7.05;-4.78;-4.05;1.10;5.58;9.87;76.21;-2.40;8.02;41.46;-5.24;5.06;6.97;-7.30;5.44;2.58;8.18
0,251;1.46;76.47;-5.89;2.08;109.74;-7.75;2.68;142.27;-8.39;3.38;156.96;-9.09;-16.15;130.26;-6.22;-22.33;102.41;-4.05;-22.35;79.23;1.55;-20.09;72.96;2.35;20.10;127.60;-6.99;24.09;100.78;-5.43;24.23;76.42;0.34;21.33;69.10;1.41;-6.82;76.82;-1.32;-6.97;42.12;-2.03;-6.78;7.01;-4.75;-3.37;0.54;3.96;9.90;76.21;-2.41;8.04;41.42;-5.27;5.07;6.91;-7.28;5.45;2.52;8.20
0,286;1.50;76.47;-5.92;2.10;109.76;-7.80;2.69;142.30;-8.47;3.40;156.97;-9.19;-16.13;130.25;-6.27;-22.29;102.40;-4.07;-22.31;79.22;1.54;-20.08;73.02;2.30;20.13;127.60;-7.05;24.11;100.80;-5.48;24.26;76.42;0.30;21.36;69.10;1.34;-6.79;76.82;-1.34;-6.96;42.16;-2.02;-6.81;6.99;-4.74;-2.71;-0.03;2.33;9.94;76.21;-2.44;8.07;41.39;-5.29;5.08;6.86;-7.27;5.47;2.47;8.21
