Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;-6.86;90.45;-2.50;-8.40;125.06;0.36;-9.89;158.75;4.51;-9.56;172.99;5.34;-29.76;149.82;3.17;-37.26;124.64;-1.03;-37.44;104.65;4.51;-37.57;96.61;10.14;7.94;146.27;9.17;15.07;121.28;10.67;9.16;102.12;14.81;3.90;95.72;13.12;-15.39;89.97;0.44;-13.57;50.63;-6.21;-13.33;8.21;-11.29;-17.17;0.85;2.96;1.75;90.53;2.62;9.83;48.74;2.19;16.30;9.93;-2.43;14.20;0.00;10.76
0,018;-6.87;90.45;-2.52;-8.40;125.05;0.36;-9.88;158.74;4.51;-9.57;172.99;5.35;-29.76;149.83;3.17;-37.26;124.65;-1.04;-37.45;104.69;4.48;-37.59;96.62;10.16;7.94;146.28;9.16;15.06;121.28;10.65;9.11;102.08;14.79;3.79;95.62;13.11;-15.40;89.97;0.42;-13.61;50.64;-6.25;-13.31;8.28;-11.30;-17.38;1.12;3.16;1.73;90.53;2.60;9.83;48.75;2.19;16.30;9.98;-2.46;14.71;-0.04;10.81
0,049;-6.89;90.45;-2.53;-8.40;125.05;0.36;-9.87;158.73;4.52;-9.57;172.99;5.36;-29.77;149.83;3.16;-37.26;124.66;-1.04;-37.47;104.74;4.45;-37.62;96.70;10.10;7.95;146.28;9.15;15.04;121.26;10.64;9.04;102.00;14.76;3.74;95.43;13.05;-15.42;89.97;0.41;-13.65;50.40;-6.42;-13.29;8.31;-11.33;-17.57;1.35;3.34;1.71;90.53;2.59;9.82;48.76;2.18;16.23;9.94;-2.62;14.75;-0.17;10.59
0,084;-6.90;90.44;-2.54;-8.40;125.05;0.35;-9.86;158.72;4.51;-9.58;172.98;5.37;-29.77;149.83;3.15;-37.27;124.66;-1.05;-37.47;104.80;4.39;-37.61;96.71;10.09;7.95;146.30;9.14;15.03;121.25;10.63;9.06;101.98;14.78;3.81;95.63;13.07;-15.43;89.97;0.39;-13.67;50.04;-6.67;-13.33;8.24;-11.32;-16.21;0.92;2.31;1.70;90.53;2.59;9.82;48.77;2.17;16.19;9.90;-2.73;14.78;-0.23;10.48
0,116;-6.91;90.44;-2.56;-8.40;125.04;0.35;-9.85;158.71;4.51;-9.59;172.98;5.39;-29.78;149.83;3.15;-37.28;124.66;-1.03;-37.46;104.72;4.43;-37.62;96.65;10.10;7.96;146.31;9.13;15.01;121.23;10.63;9.12;101.96;14.81;3.94;95.85;13.07;-15.44;89.97;0.37;-13.62;49.70;-6.91;-13.21;8.42;-11.54;-16.03;1.03;2.07;1.68;90.52;2.57;9.82;48.78;2.16;16.13;9.88;-2.84;14.72;-0.27;10.37
0,149;-6.92;90.44;-2.57;-8.40;125.04;0.34;-9.85;158.71;4.51;-9.59;172.98;5.40;-29.78;149.83;3.14;-37.29;124.65;-1.02;-37.46;104.59;4.48;-37.59;96.57;10.17;7.97;146.32;9.12;15.01;121.21;10.63;9.20;101.94;14.82;4.11;95.97;13.06;-15.45;89.97;0.35;-13.66;49.86;-6.84;-13.16;8.49;-11.64;-16.03;1.05;1.92;1.67;90.52;2.57;9.82;48.81;2.16;16.09;9.85;-2.94;13.83;-0.37;9.76
0,185;-6.93;90.44;-2.58;-8.40;125.04;0.34;-9.85;158.71;4.51;-9.61;172.97;5.41;-29.79;149.82;3.14;-37.29;124.64;-1.00;-37.45;104.48;4.52;-37.61;96.50;10.26;7.97;146.33;9.12;15.00;121.20;10.63;9.27;101.93;14.85;4.00;95.96;13.12;-15.46;89.97;0.35;-13.64;49.76;-6.99;-13.09;8.56;-11.76;-15.29;0.90;1.34;1.66;90.52;2.56;9.82;48.83;2.16;16.05;9.89;-3.06;13.75;-0.42;9.54
0,217;-6.93;90.44;-2.58;-8.41;125.04;0.34;-9.87;158.71;4.50;-9.62;172.96;5.43;-29.80;149.82;3.13;-37.29;124.62;-1.00;-37.44;104.40;4.57;-37.60;96.44;10.33;7.97;146.34;9.12;14.99;121.19;10.62;9.34;101.93;14.86;4.00;95.96;13.14;-15.46;89.97;0.34;-13.62;50.02;-6.83;-12.97;8.69;-11.92;-14.84;1.04;0.75;1.66;90.52;2.56;9.82;48.85;2.15;16.01;9.91;-3.16;13.78;-0.45;9.38
0,249;-6.93;90.44;-2.59;-8.41;125.03;0.33;-9.88;158.70;4.49;-9.63;172.96;5.43;-29.81;149.81;3.12;-37.29;124.61;-1.00;-37.43;104.43;4.55;-37.62;96.42;10.32;7.97;146.33;9.12;14.99;121.19;10.62;9.41;101.94;14.87;4.04;95.97;13.12;-15.45;89.96;0.32;-13.61;49.81;-6.96;-12.87;8.80;-12.08;-14.93;1.06;0.55;1.66;90.52;2.55;9.83;48.85;2.15;15.99;9.93;-3.25;13.79;-0.46;9.29
0,284;-6.93;90.43;-2.60;-8.41;125.03;0.32;-9.89;158.69;4.49;-9.65;172.96;5.43;-29.83;149.81;3.11;-37.28;124.61;-1.01;-37.43;104.44;4.55;-37.58;96.41;10.34;7.97;146.32;9.13;14.98;121.19;10.61;9.48;101.96;14.87;4.01;96.01;13.14;-15.44;89.95;0.31;-13.60;49.81;-6.94;-12.93;8.71;-12.03;-15.09;0.80;0.45;1.65;90.52;2.55;9.83;48.86;2.14;16.01;9.98;-3.25;13.62;-0.23;9.47
