Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;2.13;65.17;-3.36;1.95;93.91;-4.83;1.77;122.09;-5.11;2.62;136.71;-4.36;-13.75;108.59;-3.28;-16.87;86.00;-1.23;-14.70;64.60;6.84;-12.73;60.99;6.52;16.91;108.24;-2.25;20.01;85.81;-3.11;20.13;63.60;2.01;18.31;59.15;3.50;-5.80;65.17;-0.25;-8.85;35.86;-3.23;-8.66;6.97;-4.78;-8.95;4.07;6.36;9.77;65.25;0.47;9.51;36.15;-2.55;9.32;6.66;-4.67;8.29;0.00;3.09
0,025;2.12;65.17;-3.36;1.95;93.91;-4.82;1.78;122.09;-5.10;2.63;136.70;-4.34;-13.74;108.60;-3.27;-16.86;86.01;-1.23;-14.76;64.60;6.82;-12.72;61.02;6.55;16.93;108.24;-2.21;20.01;85.81;-3.09;20.13;63.60;2.03;18.31;59.14;3.55;-5.81;65.17;-0.26;-8.85;35.88;-3.21;-8.66;6.99;-4.79;-8.96;4.09;6.34;9.77;65.25;0.49;9.51;36.16;-2.55;9.31;6.66;-4.66;8.30;-0.07;3.09
0,050;2.13;65.17;-3.34;1.96;93.91;-4.80;1.78;122.09;-5.08;2.63;136.69;-4.32;-13.73;108.61;-3.26;-16.86;86.02;-1.22;-14.81;64.60;6.82;-12.74;61.08;6.66;16.93;108.24;-2.16;20.01;85.81;-3.06;20.13;63.61;2.10;18.30;59.17;3.63;-5.81;65.18;-0.26;-8.84;35.90;-3.19;-8.66;6.99;-4.78;-8.97;4.09;6.36;9.77;65.26;0.53;9.50;36.16;-2.54;9.31;6.63;-4.64;8.31;-0.16;3.11
0,084;2.14;65.18;-3.32;1.97;93.91;-4.79;1.79;122.09;-5.07;2.63;136.68;-4.30;-13.72;108.61;-3.25;-16.86;86.03;-1.21;-14.81;64.63;6.88;-12.79;61.12;6.73;16.91;108.24;-2.11;20.01;85.82;-3.04;20.13;63.62;2.15;18.31;59.22;3.62;-5.80;65.18;-0.26;-8.84;35.93;-3.18;-8.66;6.99;-4.76;-8.97;4.09;6.38;9.79;65.26;0.56;9.50;36.16;-2.52;9.30;6.59;-4.62;8.34;-0.24;3.13
0,117;2.14;65.18;-3.30;1.97;93.91;-4.77;1.79;122.09;-5.06;2.63;136.67;-4.27;-13.71;108.61;-3.22;-16.86;86.03;-1.21;-14.92;64.62;6.89;-12.85;61.22;6.78;16.90;108.25;-2.06;20.01;85.83;-3.01;20.14;63.63;2.20;18.32;59.28;3.63;-5.80;65.18;-0.25;-8.83;35.94;-3.16;-8.66;7.02;-4.76;-8.98;4.12;6.37;9.80;65.27;0.60;9.49;36.16;-2.51;9.29;6.55;-4.60;8.36;-0.29;3.14
0,150;2.16;65.18;-3.29;1.98;93.91;-4.76;1.79;122.09;-5.04;2.63;136.66;-4.25;-13.70;108.61;-3.19;-16.87;86.02;-1.20;-15.03;64.58;6.82;-12.82;61.46;6.79;16.89;108.25;-2.02;20.01;85.84;-2.99;20.13;63.64;2.26;18.32;59.26;3.69;-5.79;65.18;-0.25;-8.83;35.95;-3.15;-8.66;7.04;-4.77;-8.99;4.15;6.37;9.81;65.28;0.63;9.48;36.16;-2.49;9.29;6.52;-4.58;8.34;-0.64;2.82
0,184;2.17;65.18;-3.28;1.98;93.91;-4.74;1.79;122.08;-5.02;2.62;136.65;-4.22;-13.69;108.61;-3.16;-16.89;86.03;-1.18;-15.04;64.59;6.85;-12.81;61.54;6.79;16.88;108.23;-1.97;20.01;85.83;-2.97;20.14;63.62;2.31;18.34;59.18;3.68;-5.77;65.18;-0.25;-8.83;35.95;-3.14;-8.67;7.07;-4.76;-9.00;4.17;6.38;9.83;65.28;0.65;9.48;36.16;-2.48;9.28;6.49;-4.56;8.27;-1.33;2.21
0,217;2.19;65.18;-3.27;1.99;93.90;-4.73;1.79;122.08;-5.00;2.62;136.64;-4.20;-13.68;108.62;-3.14;-16.91;86.05;-1.18;-15.05;64.61;6.85;-12.83;61.55;6.80;16.88;108.21;-1.91;20.01;85.81;-2.95;20.13;63.60;2.36;18.32;59.14;3.72;-5.76;65.17;-0.25;-8.82;35.95;-3.13;-8.67;7.09;-4.76;-9.01;4.19;6.38;9.85;65.28;0.68;9.48;36.16;-2.47;9.28;6.46;-4.55;8.24;-1.67;1.90
0,250;2.20;65.18;-3.25;2.00;93.90;-4.72;1.79;122.07;-4.98;2.61;136.64;-4.18;-13.67;108.63;-3.11;-16.93;86.06;-1.16;-15.02;64.63;6.89;-12.85;61.50;6.81;16.88;108.21;-1.87;20.02;85.81;-2.92;20.13;63.60;2.39;18.29;59.17;3.70;-5.75;65.17;-0.25;-8.82;35.96;-3.12;-8.67;7.07;-4.75;-9.01;4.17;6.39;9.86;65.28;0.70;9.48;36.15;-2.46;9.28;6.47;-4.54;8.25;-1.62;1.91
0,285;2.21;65.18;-3.25;2.00;93.90;-4.71;1.79;122.07;-4.97;2.61;136.63;-4.16;-13.67;108.64;-3.10;-16.93;86.07;-1.13;-15.01;64.64;6.90;-12.84;61.42;6.76;16.88;108.22;-1.85;20.02;85.82;-2.91;20.13;63.61;2.39;18.28;59.20;3.67;-5.74;65.17;-0.26;-8.81;35.96;-3.11;-8.67;7.03;-4.76;-9.01;4.13;6.38;9.87;65.29;0.71;9.48;36.15;-2.46;9.29;6.49;-4.53;8.27;-1.56;1.91
0,318;2.21;65.18;-3.28;2.00;93.91;-4.73;1.78;122.08;-4.97;2.61;136.64;-4.15;-13.67;108.64;-3.10;-16.93;86.07;-1.16;-15.03;64.63;6.86;-12.85;61.41;6.60;16.89;108.22;-1.84;20.02;85.83;-2.93;20.15;63.61;2.34;18.30;59.28;3.52;-5.74;65.17;-0.30;-8.81;35.99;-3.14;-8.66;7.21;-4.93;-9.01;4.30;6.21;9.87;65.29;0.69;9.49;36.15;-2.50;9.29;6.50;-4.56;8.28;-1.51;1.89
0,350;2.21;65.18;-3.31;1.99;93.91;-4.74;1.77;122.09;-4.97;2.60;136.64;-4.15;-13.67;108.65;-3.11;-16.93;86.08;-1.19;-15.05;64.63;6.81;-12.81;61.39;6.59;16.90;108.22;-1.84;20.03;85.83;-2.95;20.17;63.60;2.30;18.30;59.24;3.52;-5.74;65.17;-0.34;-8.80;36.01;-3.16;-8.65;7.31;-5.04;-9.09;3.64;5.50;9.86;65.30;0.67;9.50;36.14;-2.54;9.30;6.52;-4.57;8.28;-1.47;1.88
0,384;2.21;65.18;-3.34;1.99;93.92;-4.76;1.77;122.10;-4.97;2.60;136.66;-4.13;-13.68;108.67;-3.12;-16.92;86.10;-1.22;-15.02;64.67;6.83;-12.81;61.28;6.59;16.91;108.23;-1.84;20.03;85.83;-2.95;20.18;63.60;2.27;18.33;59.22;3.48;-5.74;65.17;-0.38;-8.79;36.02;-3.19;-8.63;7.33;-5.10;-9.08;3.66;5.43;9.86;65.30;0.64;9.50;36.14;-2.57;9.30;6.54;-4.59;8.28;-1.48;1.89
0,416;2.20;65.19;-3.37;1.99;93.92;-4.76;1.77;122.10;-4.96;2.60;136.66;-4.11;-13.69;108.69;-3.13;-16.90;86.11;-1.25;-14.99;64.71;6.91;-12.88;61.18;6.64;16.92;108.24;-1.84;20.03;85.85;-2.95;20.19;64.06;2.14;18.34;59.32;3.46;-5.74;65.17;-0.41;-8.78;36.03;-3.22;-8.61;7.33;-5.15;-9.06;3.66;5.39;9.86;65.31;0.63;9.51;36.14;-2.61;9.31;6.56;-4.61;8.27;-1.51;1.92
0,449;2.20;65.19;-3.39;1.99;93.92;-4.77;1.77;122.10;-4.94;2.60;136.66;-4.09;-13.70;108.71;-3.14;-16.88;86.13;-1.27;-14.98;64.74;6.90;-12.89;61.18;6.65;16.92;108.27;-1.84;20.02;85.87;-2.95;20.20;64.24;2.07;18.34;59.33;3.43;-5.74;65.17;-0.43;-8.77;36.03;-3.25;-8.59;7.33;-5.18;-9.05;3.65;5.35;9.85;65.31;0.60;9.52;36.14;-2.64;9.31;6.59;-4.62;8.27;-1.53;1.95
0,483;2.19;65.20;-3.41;1.98;93.92;-4.77;1.76;122.09;-4.92;2.60;136.66;-4.07;-13.71;108.74;-3.16;-16.87;86.15;-1.30;-14.99;64.76;6.89;-12.91;61.17;6.66;16.93;108.30;-1.84;20.02;85.90;-2.95;20.20;64.26;2.05;18.37;59.36;3.41;-5.74;65.18;-0.45;-8.76;36.03;-3.27;-8.57;7.35;-5.22;-9.03;3.67;5.32;9.84;65.32;0.59;9.52;36.14;-2.66;9.31;6.62;-4.65;8.26;-1.51;1.95
0,515;2.19;65.20;-3.42;1.98;93.92;-4.77;1.76;122.09;-4.89;2.60;136.67;-4.05;-13.73;108.76;-3.17;-16.87;86.17;-1.32;-14.93;64.80;6.90;-12.93;61.15;6.66;16.93;108.32;-1.84;20.02;85.92;-2.96;20.20;64.27;2.02;18.39;59.36;3.37;-5.75;65.18;-0.47;-8.75;36.04;-3.30;-8.56;7.39;-5.25;-9.02;3.72;5.29;9.83;65.33;0.57;9.52;36.15;-2.68;9.32;6.66;-4.67;8.25;-1.48;1.96
0,551;2.18;65.21;-3.43;1.98;93.93;-4.76;1.76;122.09;-4.86;2.60;136.66;-4.02;-13.73;108.78;-3.16;-16.87;86.19;-1.32;-14.85;64.83;6.92;-12.90;61.17;6.69;16.94;108.34;-1.83;20.01;85.94;-2.93;20.20;64.29;2.02;18.38;59.35;3.42;-5.75;65.18;-0.47;-8.75;36.02;-3.31;-8.55;7.34;-5.21;-9.02;3.66;5.32;9.83;65.34;0.57;9.52;36.15;-2.69;9.31;6.64;-4.67;8.24;-1.48;1.93
0,584;2.19;65.21;-3.42;1.98;93.93;-4.74;1.77;122.10;-4.81;2.59;136.65;-3.98;-13.73;108.80;-3.15;-16.87;86.21;-1.29;-14.77;64.86;6.94;-12.89;61.16;6.73;16.95;108.37;-1.81;20.01;85.96;-2.90;20.18;64.31;2.05;18.37;59.33;3.49;-5.74;65.19;-0.45;-8.75;35.99;-3.30;-8.55;7.17;-5.11;-8.97;3.88;5.73;9.83;65.34;0.56;9.52;36.15;-2.68;9.30;6.61;-4.66;8.24;-1.46;1.91
0,616;2.19;65.22;-3.41;1.99;93.93;-4.72;1.77;122.10;-4.77;2.60;136.64;-3.95;-13.73;108.83;-3.13;-16.86;86.24;-1.26;-14.66;64.89;6.97;-12.87;61.10;6.68;16.96;108.39;-1.79;20.01;85.98;-2.87;20.18;64.33;2.06;18.38;59.34;3.48;-5.74;65.19;-0.44;-8.75;35.98;-3.30;-8.55;7.06;-5.05;-8.92;4.14;6.09;9.84;65.35;0.56;9.52;36.15;-2.67;9.30;6.58;-4.64;8.23;-1.49;1.93
0,649;2.19;65.22;-3.40;1.99;93.94;-4.70;1.77;122.12;-4.75;2.59;136.64;-3.92;-13.73;108.84;-3.11;-16.84;86.25;-1.21;-14.65;64.88;6.95;-12.83;61.08;6.66;16.96;108.39;-1.75;20.01;85.98;-2.85;20.17;64.10;2.13;18.36;59.31;3.53;-5.74;65.19;-0.42;-8.75;35.97;-3.30;-8.55;6.98;-5.01;-8.92;4.07;6.13;9.84;65.35;0.57;9.52;36.16;-2.66;9.29;6.56;-4.63;8.23;-1.49;1.94
0,685;2.18;65.22;-3.39;1.99;93.95;-4.69;1.77;122.13;-4.72;2.59;136.64;-3.88;-13.72;108.85;-3.09;-16.82;86.26;-1.17;-14.67;64.86;6.91;-12.78;61.05;6.64;16.95;108.39;-1.71;20.01;85.98;-2.82;20.17;63.79;2.22;18.37;59.30;3.52;-5.74;65.19;-0.40;-8.75;35.96;-3.29;-8.56;6.99;-5.01;-8.94;4.08;6.13;9.83;65.35;0.57;9.52;36.16;-2.65;9.30;6.54;-4.62;8.23;-1.49;1.95
0,717;2.18;65.22;-3.38;1.99;93.95;-4.67;1.78;122.15;-4.70;2.60;136.64;-3.85;-13.73;108.86;-3.07;-16.80;86.26;-1.13;-14.61;64.86;6.94;-12.76;61.04;6.65;16.93;108.38;-1.67;20.01;85.98;-2.79;20.17;63.72;2.26;18.37;59.28;3.53;-5.74;65.19;-0.38;-8.76;35.98;-3.28;-8.58;7.01;-5.01;-8.96;4.09;6.13;9.83;65.35;0.57;9.52;36.17;-2.64;9.30;6.50;-4.61;8.23;-1.54;1.96
0,751;2.18;65.21;-3.38;2.00;93.96;-4.66;1.78;122.16;-4.67;2.60;136.64;-3.82;-13.74;108.87;-3.05;-16.78;86.26;-1.10;-14.57;64.86;6.96;-12.74;61.06;6.63;16.91;108.38;-1.64;20.00;85.98;-2.75;20.18;63.71;2.28;18.35;59.27;3.58;-5.74;65.19;-0.37;-8.76;35.99;-3.27;-8.59;7.02;-5.01;-8.97;4.10;6.13;9.82;65.34;0.57;9.53;36.17;-2.63;9.29;6.45;-4.60;8.24;-1.49;1.94
0,784;2.18;65.21;-3.37;2.00;93.96;-4.65;1.79;122.17;-4.65;2.60;136.64;-3.78;-13.74;108.86;-3.01;-16.76;86.26;-1.08;-14.53;64.86;6.97;-12.74;61.08;6.64;16.89;108.37;-1.61;20.00;85.97;-2.72;20.20;63.70;2.29;18.34;59.25;3.59;-5.74;65.19;-0.36;-8.77;36.00;-3.26;-8.60;7.06;-5.03;-8.99;4.14;6.11;9.82;65.34;0.57;9.53;36.17;-2.63;9.29;6.43;-4.59;8.26;-1.46;1.93
0,816;2.18;65.20;-3.36;2.00;93.96;-4.64;1.79;122.17;-4.63;2.61;136.64;-3.73;-13.74;108.87;-2.99;-16.73;86.26;-1.06;-14.51;64.85;6.98;-12.74;61.07;6.65;16.87;108.34;-1.56;19.99;85.95;-2.70;20.20;63.68;2.30;18.34;59.24;3.61;-5.75;65.19;-0.34;-8.77;36.00;-3.25;-8.62;7.12;-5.04;-9.01;4.20;6.10;9.82;65.33;0.57;9.53;36.18;-2.62;9.29;6.44;-4.59;8.27;-1.41;1.95
0,850;2.17;65.20;-3.36;2.00;93.96;-4.62;1.79;122.17;-4.61;2.61;136.64;-3.69;-13.75;108.87;-2.98;-16.71;86.26;-1.03;-14.50;64.84;6.99;-12.75;61.10;6.65;16.85;108.32;-1.52;19.99;85.94;-2.67;20.20;63.66;2.31;18.35;59.21;3.59;-5.75;65.19;-0.33;-8.77;36.02;-3.24;-8.64;7.20;-5.07;-9.03;4.28;6.08;9.81;65.32;0.57;9.53;36.19;-2.61;9.30;6.47;-4.60;8.27;-1.34;1.91
0,885;2.17;65.20;-3.35;1.99;93.96;-4.61;1.79;122.17;-4.59;2.61;136.64;-3.66;-13.76;108.87;-2.96;-16.70;86.25;-1.02;-14.55;64.82;6.96;-12.74;61.18;6.68;16.82;108.32;-1.49;19.98;85.93;-2.64;20.21;63.65;2.31;18.34;59.22;3.54;-5.76;65.18;-0.32;-8.78;36.03;-3.22;-8.66;7.29;-5.09;-9.05;4.37;6.06;9.80;65.32;0.58;9.54;36.19;-2.60;9.30;6.50;-4.61;8.27;-1.28;1.87
0,916;2.16;65.20;-3.34;1.99;93.96;-4.60;1.79;122.17;-4.58;2.61;136.63;-3.63;-13.77;108.87;-2.95;-16.68;86.25;-1.00;-14.57;64.81;6.95;-12.71;61.23;6.68;16.79;108.32;-1.48;19.97;85.94;-2.62;20.21;63.65;2.31;18.33;59.18;3.52;-5.76;65.19;-0.31;-8.78;36.04;-3.20;-8.67;7.34;-5.10;-9.07;4.42;6.04;9.80;65.32;0.60;9.54;36.20;-2.59;9.30;6.52;-4.62;8.27;-1.24;1.84
0,952;2.16;65.20;-3.33;1.99;93.96;-4.58;1.79;122.17;-4.57;2.61;136.62;-3.61;-13.78;108.88;-2.95;-16.66;86.26;-0.98;-14.65;64.78;6.90;-12.73;61.32;6.67;16.78;108.33;-1.47;19.96;85.94;-2.60;20.22;63.65;2.30;18.33;59.19;3.54;-5.76;65.20;-0.31;-8.78;36.04;-3.19;-8.67;7.32;-5.09;-9.07;4.40;6.05;9.80;65.32;0.61;9.54;36.21;-2.59;9.29;6.54;-4.63;8.26;-1.19;1.80
0,985;2.16;65.20;-3.32;1.99;93.96;-4.57;1.79;122.17;-4.55;2.61;136.61;-3.59;-13.78;108.87;-2.94;-16.63;86.25;-0.95;-14.76;64.73;6.83;-12.73;61.41;6.66;16.75;108.33;-1.46;19.94;85.95;-2.59;20.22;63.65;2.30;18.33;59.21;3.59;-5.76;65.20;-0.30;-8.78;36.05;-3.17;-8.67;7.29;-5.07;-9.07;4.37;6.07;9.79;65.33;0.63;9.54;36.22;-2.58;9.28;6.56;-4.64;8.26;-1.18;1.78
1,016;2.15;65.21;-3.31;1.99;93.96;-4.56;1.78;122.16;-4.54;2.61;136.60;-3.57;-13.78;108.87;-2.93;-16.61;86.24;-0.94;-14.90;64.68;6.77;-12.73;61.50;6.67;16.74;108.34;-1.46;19.93;85.96;-2.58;20.21;63.67;2.30;18.34;59.23;3.60;-5.76;65.20;-0.29;-8.78;36.05;-3.16;-8.67;7.25;-5.04;-9.07;4.33;6.10;9.78;65.33;0.65;9.54;36.22;-2.57;9.28;6.57;-4.64;8.25;-1.22;1.78
1,050;2.15;65.20;-3.29;1.98;93.95;-4.54;1.78;122.15;-4.53;2.60;136.59;-3.55;-13.79;108.85;-2.93;-16.60;86.22;-0.92;-15.07;64.63;6.70;-12.70;61.57;6.69;16.70;108.34;-1.44;19.92;85.96;-2.58;20.21;63.70;2.29;18.34;59.22;3.60;-5.77;65.20;-0.28;-8.78;36.05;-3.15;-8.66;7.20;-5.01;-9.07;4.28;6.14;9.78;65.32;0.67;9.54;36.23;-2.55;9.28;6.60;-4.64;8.25;-1.22;1.82
1,085;2.14;65.20;-3.28;1.98;93.95;-4.52;1.78;122.14;-4.51;2.59;136.59;-3.52;-13.79;108.83;-2.91;-16.59;86.20;-0.90;-15.25;64.57;6.64;-12.69;61.67;6.72;16.66;108.33;-1.42;19.91;85.96;-2.58;20.18;63.70;2.29;18.34;59.24;3.60;-5.77;65.20;-0.27;-8.78;36.05;-3.13;-8.66;7.15;-4.98;-9.06;4.23;6.17;9.77;65.32;0.70;9.54;36.24;-2.54;9.28;6.62;-4.64;8.25;-1.24;1.87
1,118;2.13;65.20;-3.26;1.97;93.94;-4.51;1.77;122.12;-4.50;2.58;136.58;-3.49;-13.79;108.82;-2.90;-16.58;86.18;-0.88;-15.38;64.52;6.59;-12.69;61.70;6.74;16.62;108.33;-1.41;19.89;85.96;-2.57;20.16;63.70;2.29;18.31;59.26;3.64;-5.78;65.19;-0.26;-8.78;36.05;-3.11;-8.66;7.14;-4.96;-9.07;4.21;6.19;9.76;65.32;0.72;9.53;36.25;-2.53;9.28;6.62;-4.64;8.26;-1.25;1.91
