Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;-2.04;81.26;5.81;-5.07;109.75;7.70;-7.98;137.66;10.74;-8.37;150.80;9.88;-25.02;126.54;16.64;-30.37;103.29;18.45;-29.88;83.28;25.19;-30.07;76.61;28.92;12.66;127.77;10.56;20.23;103.18;8.85;18.61;78.02;13.55;17.01;74.32;13.60;-9.85;80.57;10.04;-14.62;42.91;2.01;-13.25;9.56;-2.99;-13.22;0.00;4.62;5.91;81.67;8.61;10.26;43.26;-1.74;12.97;10.84;-5.23;13.50;0.47;3.60
0,021;-2.04;81.26;5.82;-5.07;109.76;7.70;-7.99;137.67;10.73;-8.37;150.82;9.87;-25.02;126.54;16.66;-30.38;103.30;18.44;-29.89;83.29;25.19;-30.05;76.55;28.95;12.67;127.77;10.56;20.23;103.18;8.85;18.61;78.02;13.58;17.03;74.31;13.62;-9.85;80.57;10.05;-14.62;42.90;2.02;-13.25;9.54;-3.00;-13.21;-0.01;4.60;5.90;81.66;8.61;10.26;43.26;-1.74;12.98;10.79;-5.24;13.52;0.41;3.61
0,052;-2.04;81.26;5.82;-5.07;109.76;7.70;-7.99;137.69;10.73;-8.37;150.83;9.87;-25.01;126.54;16.67;-30.39;103.31;18.44;-29.90;83.31;25.20;-30.10;76.55;28.88;12.68;127.77;10.57;20.23;103.18;8.84;18.60;78.02;13.61;17.04;74.36;13.61;-9.85;80.57;10.06;-14.63;42.89;2.02;-13.25;9.51;-3.00;-13.20;-0.03;4.59;5.90;81.66;8.61;10.26;43.25;-1.74;12.98;10.74;-5.25;13.54;0.42;3.58
0,085;-2.05;81.26;5.83;-5.08;109.77;7.70;-8.00;137.71;10.71;-8.37;150.85;9.86;-24.99;126.53;16.69;-30.41;103.34;18.44;-29.90;83.32;25.20;-30.12;76.56;28.85;12.68;127.78;10.56;20.22;103.19;8.85;18.60;78.03;13.63;17.06;74.36;13.61;-9.86;80.57;10.08;-14.63;42.89;2.03;-13.25;9.47;-3.01;-13.20;-0.06;4.57;5.90;81.65;8.61;10.26;43.25;-1.73;12.98;10.70;-5.25;13.56;0.45;3.55
0,118;-2.05;81.25;5.84;-5.08;109.78;7.70;-8.01;137.72;10.71;-8.37;150.87;9.86;-24.98;126.53;16.71;-30.43;103.35;18.43;-29.91;83.34;25.19;-30.17;76.54;28.82;12.67;127.79;10.56;20.21;103.20;8.84;18.60;78.03;13.64;17.07;74.37;13.63;-9.86;80.57;10.09;-14.63;42.89;2.03;-13.25;9.43;-3.02;-13.19;-0.08;4.56;5.89;81.64;8.62;10.26;43.24;-1.73;12.99;10.67;-5.26;13.58;0.42;3.55
0,153;-2.06;81.25;5.84;-5.09;109.78;7.70;-8.01;137.74;10.70;-8.37;150.89;9.84;-24.97;126.52;16.72;-30.45;103.35;18.43;-29.91;83.35;25.18;-30.19;76.48;28.79;12.68;127.81;10.54;20.21;103.20;8.84;18.59;78.02;13.65;17.06;74.37;13.60;-9.87;80.57;10.09;-14.64;42.88;2.03;-13.25;9.41;-3.03;-13.18;-0.10;4.55;5.88;81.64;8.62;10.26;43.23;-1.73;12.99;10.61;-5.26;13.59;0.43;3.53
0,186;-2.07;81.25;5.84;-5.09;109.79;7.70;-8.02;137.76;10.70;-8.38;150.91;9.82;-24.96;126.51;16.73;-30.46;103.34;18.43;-29.92;83.37;25.16;-30.25;76.46;28.72;12.67;127.83;10.53;20.21;103.20;8.84;18.58;78.01;13.65;17.07;74.36;13.59;-9.88;80.57;10.09;-14.65;42.88;2.03;-13.25;9.42;-3.05;-13.17;-0.10;4.58;5.87;81.64;8.62;10.26;43.23;-1.73;13.00;10.59;-5.25;13.60;0.46;3.53
0,218;-2.06;81.25;5.82;-5.10;109.80;7.69;-8.04;137.78;10.70;-8.38;150.94;9.81;-24.96;126.51;16.74;-30.47;103.33;18.44;-29.92;83.40;25.14;-30.23;76.47;28.73;12.67;127.85;10.51;20.21;103.19;8.84;18.57;78.00;13.66;17.06;74.34;13.54;-9.86;80.57;10.06;-14.65;42.86;2.02;-13.26;9.42;-3.06;-13.18;-0.10;4.62;5.87;81.64;8.60;10.26;43.22;-1.72;12.99;10.60;-5.23;13.61;0.37;3.58
0,252;-2.08;81.25;5.81;-5.10;109.81;7.69;-8.04;137.80;10.70;-8.38;150.96;9.79;-24.96;126.50;16.75;-30.48;103.33;18.45;-29.92;83.34;25.16;-30.26;76.40;28.74;12.66;127.86;10.51;20.21;103.17;8.84;18.56;77.98;13.66;17.03;74.36;13.53;-9.87;80.56;10.04;-14.66;42.84;2.01;-13.26;9.52;-3.07;-13.19;-0.10;4.66;5.85;81.63;8.58;10.25;43.22;-1.72;12.99;10.57;-5.18;13.62;0.30;3.62
0,285;-2.10;81.24;5.79;-5.10;109.82;7.69;-8.04;137.81;10.70;-8.39;150.98;9.77;-24.96;126.50;16.75;-30.49;103.32;18.46;-29.92;83.29;25.19;-30.29;76.37;28.79;12.66;127.88;10.50;20.20;103.15;8.85;18.55;77.97;13.67;17.01;74.32;13.56;-9.88;80.56;10.02;-14.66;42.83;2.00;-13.27;9.58;-3.06;-13.19;-0.09;4.68;5.83;81.63;8.57;10.23;43.21;-1.72;12.98;10.54;-5.15;13.61;0.28;3.65
0,319;-2.10;81.24;5.76;-5.11;109.83;7.68;-8.04;137.83;10.70;-8.40;151.00;9.75;-24.97;126.51;16.75;-30.50;103.31;18.47;-29.92;83.24;25.21;-30.33;76.53;28.76;12.66;127.89;10.50;20.20;103.15;8.85;18.53;77.95;13.67;16.97;74.28;13.59;-9.87;80.55;9.98;-14.66;42.82;1.98;-13.28;9.63;-3.06;-13.20;-0.08;4.70;5.82;81.63;8.55;10.22;43.21;-1.72;12.99;10.48;-5.11;13.59;0.27;3.66
0,352;-2.10;81.24;5.74;-5.11;109.83;7.68;-8.05;137.84;10.70;-8.41;151.03;9.73;-24.98;126.52;16.74;-30.50;103.30;18.47;-29.92;83.23;25.22;-30.30;76.56;28.79;12.66;127.89;10.51;20.20;103.14;8.85;18.52;77.93;13.68;16.96;74.23;13.61;-9.87;80.54;9.94;-14.67;42.80;1.97;-13.29;9.65;-3.06;-13.21;-0.08;4.71;5.81;81.63;8.54;10.21;43.20;-1.72;13.00;10.39;-5.06;13.58;0.26;3.66
0,386;-2.11;81.24;5.71;-5.12;109.84;7.67;-8.06;137.86;10.70;-8.42;151.05;9.71;-24.99;126.53;16.74;-30.51;103.28;18.48;-29.92;83.22;25.22;-30.25;76.68;28.74;12.66;127.90;10.51;20.19;103.13;8.85;18.51;78.12;13.65;16.98;74.36;13.61;-9.87;80.54;9.91;-14.67;42.79;1.95;-13.31;9.68;-3.05;-13.21;-0.07;4.73;5.80;81.63;8.52;10.19;43.19;-1.72;13.01;10.31;-5.02;13.54;0.32;3.65
0,418;-2.12;81.23;5.70;-5.13;109.85;7.67;-8.07;137.87;10.71;-8.43;151.07;9.69;-25.01;126.54;16.73;-30.51;103.28;18.48;-29.92;83.22;25.22;-30.21;76.62;28.74;12.66;127.90;10.53;20.19;103.12;8.85;18.48;78.20;13.66;16.96;74.41;13.65;-9.88;80.53;9.89;-14.67;42.78;1.94;-13.32;9.71;-3.06;-13.22;-0.07;4.74;5.78;81.63;8.51;10.19;43.18;-1.72;12.99;10.07;-4.89;13.55;0.19;3.73
0,453;-2.14;81.23;5.70;-5.14;109.86;7.67;-8.08;137.89;10.71;-8.44;151.10;9.67;-25.02;126.54;16.72;-30.52;103.27;18.49;-29.92;83.21;25.23;-30.22;76.56;28.69;12.66;127.89;10.56;20.18;103.12;8.85;18.45;78.27;13.68;16.94;74.48;13.70;-9.90;80.53;9.89;-14.67;42.79;1.94;-13.33;9.74;-3.06;-13.23;-0.07;4.75;5.76;81.63;8.51;10.19;43.18;-1.72;13.00;9.97;-4.83;13.55;0.15;3.75
0,484;-2.16;81.22;5.71;-5.15;109.86;7.67;-8.09;137.90;10.71;-8.45;151.11;9.66;-25.03;126.55;16.72;-30.53;103.27;18.48;-29.92;83.25;25.21;-30.19;76.54;28.69;12.66;127.87;10.58;20.17;103.13;8.85;18.42;78.33;13.69;16.94;74.51;13.72;-9.92;80.53;9.91;-14.68;42.80;1.95;-13.34;9.71;-3.07;-13.24;-0.08;4.75;5.74;81.62;8.52;10.19;43.17;-1.72;13.02;9.93;-4.80;13.55;0.18;3.75
0,517;-2.16;81.22;5.71;-5.15;109.87;7.68;-8.09;137.91;10.71;-8.46;151.13;9.64;-25.04;126.56;16.71;-30.55;103.28;18.47;-29.92;83.34;25.17;-30.18;76.71;28.62;12.65;127.88;10.59;20.16;103.14;8.84;18.46;78.49;13.69;16.97;74.63;13.70;-9.92;80.53;9.91;-14.68;42.82;1.96;-13.36;9.69;-3.09;-13.25;-0.08;4.75;5.74;81.62;8.53;10.20;43.16;-1.72;13.04;9.94;-4.83;13.55;0.25;3.72
0,552;-2.17;81.22;5.72;-5.16;109.87;7.68;-8.10;137.92;10.71;-8.47;151.14;9.63;-25.05;126.56;16.71;-30.56;103.28;18.46;-29.92;83.42;25.13;-30.07;76.68;28.70;12.64;127.88;10.59;20.15;103.15;8.84;18.48;78.61;13.70;16.99;74.75;13.73;-9.93;80.52;9.92;-14.68;42.83;1.96;-13.37;9.66;-3.11;-13.25;-0.10;4.74;5.73;81.62;8.53;10.22;43.15;-1.72;13.03;9.98;-4.87;13.56;0.30;3.70
0,586;-2.18;81.22;5.74;-5.16;109.87;7.68;-8.10;137.93;10.71;-8.48;151.15;9.62;-25.06;126.56;16.70;-30.58;103.28;18.46;-29.91;83.47;25.10;-30.06;76.58;28.69;12.64;127.88;10.60;20.14;103.15;8.83;18.49;78.71;13.72;17.01;74.81;13.71;-9.96;80.53;9.94;-14.69;42.84;1.97;-13.38;9.64;-3.13;-13.25;-0.12;4.73;5.72;81.62;8.55;10.23;43.13;-1.73;13.00;10.08;-4.93;13.58;0.31;3.72
