Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;1.45;79.23;-5.17;4.11;110.66;-2.04;6.75;141.38;2.26;6.65;156.14;4.27;-12.55;132.83;-0.71;-19.27;104.06;-9.53;-21.06;80.90;-5.22;-19.92;75.53;-3.96;23.73;130.05;4.45;27.56;102.74;-0.54;26.78;78.83;2.50;24.63;71.51;3.30;-6.66;79.79;-2.13;-9.35;42.36;-5.01;-10.08;8.55;-5.15;-13.85;0.17;2.56;9.72;78.64;-0.64;11.10;43.28;1.59;11.63;8.97;-2.82;12.30;0.00;5.41
0,022;1.44;79.23;-5.20;4.11;110.66;-2.07;6.75;141.39;2.21;6.65;156.15;4.21;-12.55;132.82;-0.75;-19.27;104.06;-9.56;-21.01;80.88;-5.24;-19.86;75.51;-3.94;23.70;130.02;4.45;27.57;102.74;-0.56;26.78;78.80;2.49;24.66;71.49;3.27;-6.67;79.79;-2.16;-9.35;42.37;-5.02;-10.08;8.56;-5.15;-14.01;0.24;2.55;9.71;78.63;-0.66;11.11;43.27;1.58;11.62;8.98;-2.83;12.31;0.01;5.42
0,043;1.43;79.22;-5.22;4.10;110.66;-2.11;6.75;141.40;2.16;6.66;156.16;4.17;-12.54;132.79;-0.76;-19.27;104.05;-9.60;-20.97;80.88;-5.29;-19.80;75.51;-4.00;23.67;129.99;4.45;27.59;102.74;-0.58;26.78;78.78;2.47;24.67;71.51;3.25;-6.68;79.78;-2.19;-9.35;42.38;-5.03;-10.09;8.58;-5.15;-14.20;0.32;2.51;9.70;78.62;-0.67;11.13;43.26;1.58;11.60;8.98;-2.83;12.34;0.02;5.42
0,073;1.42;79.22;-5.24;4.10;110.66;-2.14;6.75;141.40;2.12;6.66;156.17;4.13;-12.53;132.78;-0.78;-19.26;104.05;-9.63;-20.93;80.87;-5.35;-19.79;75.49;-4.05;23.65;129.95;4.45;27.60;102.74;-0.60;26.79;78.77;2.45;24.67;71.57;3.25;-6.69;79.78;-2.21;-9.35;42.38;-5.04;-10.09;8.59;-5.14;-14.34;0.38;2.49;9.69;78.61;-0.69;11.14;43.25;1.58;11.57;8.98;-2.84;12.39;0.04;5.43
0,106;1.40;79.21;-5.25;4.09;110.66;-2.16;6.76;141.41;2.09;6.67;156.18;4.09;-12.52;132.75;-0.79;-19.25;104.03;-9.65;-20.88;80.85;-5.39;-19.80;75.51;-4.07;23.63;129.93;4.45;27.62;102.74;-0.61;26.79;78.76;2.45;24.66;71.62;3.28;-6.71;79.78;-2.23;-9.35;42.38;-5.05;-10.09;8.60;-5.14;-14.38;0.40;2.48;9.67;78.60;-0.70;11.15;43.25;1.57;11.57;8.99;-2.83;12.42;0.05;5.42
0,139;1.39;79.20;-5.27;4.09;110.66;-2.18;6.76;141.41;2.07;6.68;156.19;4.06;-12.52;132.73;-0.81;-19.24;104.03;-9.67;-20.83;80.83;-5.42;-19.80;75.47;-4.10;23.62;129.91;4.45;27.64;102.74;-0.63;26.79;78.76;2.44;24.66;71.64;3.28;-6.72;79.77;-2.24;-9.35;42.38;-5.06;-10.09;8.61;-5.13;-14.41;0.42;2.47;9.66;78.59;-0.71;11.16;43.25;1.57;11.56;8.98;-2.83;12.46;0.05;5.44
0,175;1.38;79.19;-5.28;4.08;110.66;-2.19;6.76;141.41;2.07;6.69;156.20;4.03;-12.51;132.72;-0.82;-19.23;104.02;-9.70;-20.81;80.81;-5.48;-19.81;75.36;-4.12;23.62;129.88;4.45;27.66;102.73;-0.64;26.79;78.75;2.44;24.64;71.64;3.25;-6.72;79.76;-2.27;-9.36;42.38;-5.07;-10.10;8.61;-5.13;-14.42;0.44;2.52;9.64;78.58;-0.72;11.16;43.24;1.57;11.54;8.97;-2.83;12.50;0.04;5.45
0,206;1.37;79.17;-5.30;4.08;110.65;-2.21;6.76;141.41;2.05;6.70;156.20;4.01;-12.51;132.70;-0.83;-19.22;104.02;-9.71;-20.79;80.79;-5.53;-19.84;75.33;-4.14;23.61;129.87;4.44;27.67;102.73;-0.65;26.79;78.74;2.43;24.65;71.63;3.22;-6.72;79.74;-2.29;-9.36;42.37;-5.08;-10.11;8.61;-5.12;-14.42;0.46;2.56;9.63;78.56;-0.73;11.17;43.24;1.57;11.51;8.94;-2.83;12.55;0.04;5.47
0,239;1.37;79.16;-5.31;4.08;110.65;-2.22;6.76;141.42;2.05;6.71;156.21;3.99;-12.50;132.68;-0.84;-19.21;104.02;-9.74;-20.78;80.78;-5.56;-19.84;75.32;-4.13;23.60;129.86;4.44;27.69;102.72;-0.66;26.79;78.74;2.43;24.65;71.61;3.21;-6.72;79.73;-2.31;-9.36;42.36;-5.08;-10.10;8.60;-5.12;-14.46;0.48;2.59;9.62;78.55;-0.74;11.19;43.24;1.57;11.47;8.92;-2.84;12.60;0.04;5.49
0,274;1.37;79.15;-5.32;4.08;110.65;-2.22;6.75;141.41;2.04;6.72;156.21;3.97;-12.49;132.67;-0.85;-19.20;104.01;-9.75;-20.77;80.78;-5.58;-19.89;75.33;-4.13;23.60;129.86;4.44;27.70;102.72;-0.66;26.79;78.73;2.43;24.63;71.59;3.21;-6.72;79.72;-2.32;-9.36;42.35;-5.09;-10.10;8.57;-5.12;-14.34;0.42;2.64;9.61;78.55;-0.74;11.20;43.24;1.57;11.44;8.89;-2.85;12.65;0.04;5.51
