Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;2.50;81.56;0.34;0.97;114.58;0.49;-0.57;146.78;1.88;-0.55;161.77;3.11;-18.35;132.59;-0.48;-22.90;109.83;-5.03;-19.73;93.47;9.76;-14.04;87.98;14.08;18.85;134.67;4.82;25.60;109.05;-0.82;25.82;86.75;5.58;23.40;78.39;8.00;-5.69;81.19;3.29;-6.93;40.38;-3.36;-8.74;7.02;-1.89;-11.40;1.71;7.01;10.67;81.74;5.03;8.75;41.08;-2.62;10.04;5.99;-6.18;10.11;0.00;1.06
0,027;2.50;81.56;0.35;0.96;114.58;0.49;-0.57;146.79;1.88;-0.56;161.77;3.10;-18.35;132.59;-0.48;-22.89;109.83;-5.04;-19.71;93.45;9.73;-14.02;87.93;14.09;18.84;134.67;4.83;25.60;109.06;-0.81;25.83;86.79;5.59;23.42;78.46;7.97;-5.70;81.19;3.28;-6.92;40.36;-3.36;-8.72;7.00;-1.90;-11.40;1.69;7.00;10.66;81.75;5.04;8.67;41.12;-2.61;10.05;6.03;-6.21;10.11;0.00;0.94
0,061;2.49;81.56;0.35;0.96;114.59;0.49;-0.57;146.80;1.88;-0.56;161.78;3.10;-18.34;132.59;-0.48;-22.88;109.84;-5.06;-19.70;93.45;9.70;-14.01;87.87;14.13;18.84;134.66;4.84;25.59;109.07;-0.80;25.81;86.78;5.61;23.44;78.40;8.01;-5.70;81.20;3.27;-6.91;40.33;-3.37;-8.71;6.96;-1.90;-11.41;1.67;6.99;10.65;81.75;5.06;8.58;41.12;-2.62;10.05;5.96;-6.23;10.17;-0.03;0.97
0,094;2.49;81.57;0.35;0.96;114.59;0.49;-0.57;146.80;1.88;-0.57;161.79;3.10;-18.34;132.59;-0.48;-22.87;109.84;-5.07;-19.69;93.44;9.67;-14.00;87.81;14.18;18.83;134.66;4.85;25.59;109.09;-0.80;25.80;86.78;5.62;23.45;78.36;8.01;-5.70;81.20;3.26;-6.90;40.31;-3.37;-8.68;6.94;-1.91;-11.41;1.67;6.96;10.65;81.75;5.07;8.47;41.12;-2.62;10.03;5.86;-6.24;10.24;-0.09;1.04
0,127;2.49;81.57;0.35;0.96;114.59;0.49;-0.56;146.80;1.88;-0.57;161.79;3.11;-18.34;132.59;-0.48;-22.86;109.84;-5.07;-19.68;93.42;9.65;-13.99;87.78;14.23;18.82;134.66;4.87;25.59;109.11;-0.80;25.79;86.77;5.63;23.45;78.34;8.02;-5.70;81.20;3.25;-6.91;40.32;-3.38;-8.70;6.94;-1.91;-11.36;1.69;6.92;10.65;81.75;5.08;8.40;41.11;-2.62;10.01;5.74;-6.24;10.29;-0.16;1.11
0,160;2.49;81.57;0.35;0.96;114.59;0.49;-0.56;146.81;1.88;-0.57;161.79;3.11;-18.35;132.59;-0.48;-22.86;109.85;-5.06;-19.66;93.41;9.64;-14.00;87.79;14.22;18.81;134.66;4.88;25.59;109.12;-0.80;25.78;86.75;5.64;23.47;78.34;7.98;-5.70;81.20;3.25;-6.91;40.37;-3.38;-8.73;6.96;-1.90;-11.31;1.74;6.87;10.65;81.75;5.09;8.35;41.05;-2.63;10.00;5.67;-6.25;10.32;-0.18;1.18
0,194;2.49;81.56;0.35;0.96;114.59;0.49;-0.56;146.81;1.88;-0.57;161.79;3.12;-18.35;132.59;-0.48;-22.85;109.82;-5.03;-19.64;93.37;9.66;-13.99;87.75;14.24;18.80;134.65;4.89;25.59;109.13;-0.80;25.77;86.74;5.64;23.49;78.33;7.96;-5.69;81.20;3.24;-6.92;40.37;-3.39;-8.77;6.98;-1.89;-11.26;1.78;6.82;10.65;81.75;5.09;8.20;40.82;-2.69;9.98;5.58;-6.26;10.34;-0.22;1.26
0,227;2.49;81.56;0.35;0.96;114.59;0.49;-0.56;146.81;1.88;-0.57;161.79;3.12;-18.35;132.58;-0.47;-22.83;109.77;-5.00;-19.63;93.33;9.70;-14.00;87.72;14.25;18.80;134.65;4.89;25.59;109.14;-0.81;25.76;86.72;5.64;23.48;78.28;7.96;-5.69;81.19;3.24;-6.93;40.40;-3.39;-8.80;7.01;-1.88;-11.20;1.83;6.77;10.65;81.74;5.09;8.07;40.65;-2.74;9.98;5.52;-6.28;10.36;-0.22;1.34
0,260;2.49;81.55;0.35;0.96;114.59;0.49;-0.57;146.81;1.88;-0.57;161.79;3.12;-18.35;132.58;-0.46;-22.81;109.75;-4.98;-19.61;93.31;9.72;-14.00;87.66;14.25;18.79;134.65;4.90;25.59;109.14;-0.82;25.75;86.70;5.65;23.47;78.24;7.97;-5.69;81.18;3.24;-6.94;40.46;-3.38;-8.83;7.06;-1.87;-11.16;1.89;6.72;10.65;81.74;5.08;8.04;40.60;-2.76;9.98;5.49;-6.29;10.41;-0.20;1.44
0,293;2.49;81.55;0.35;0.96;114.59;0.49;-0.57;146.81;1.87;-0.57;161.78;3.12;-18.35;132.57;-0.46;-22.80;109.68;-4.93;-19.59;93.25;9.77;-14.01;87.61;14.24;18.79;134.65;4.90;25.60;109.15;-0.82;25.75;86.71;5.64;23.47;78.23;7.95;-5.69;81.18;3.24;-6.95;40.53;-3.37;-8.86;7.10;-1.87;-11.14;1.92;6.70;10.65;81.74;5.08;8.02;40.53;-2.77;9.97;5.48;-6.28;10.43;-0.19;1.47
0,327;2.49;81.55;0.35;0.95;114.59;0.49;-0.57;146.81;1.87;-0.57;161.77;3.13;-18.35;132.57;-0.46;-22.78;109.61;-4.90;-19.57;93.20;9.82;-14.02;87.56;14.25;18.78;134.65;4.91;25.60;109.13;-0.83;25.76;86.72;5.64;23.45;78.28;7.91;-5.69;81.18;3.23;-6.95;40.60;-3.36;-8.89;7.13;-1.86;-11.14;1.94;6.70;10.65;81.73;5.08;8.02;40.45;-2.79;9.98;5.49;-6.27;10.43;-0.21;1.43
