Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;-1.21;66.98;1.50;-0.66;96.60;2.85;-0.02;125.56;5.35;-0.58;140.19;5.42;-17.44;114.95;2.45;-24.84;91.84;-3.39;-28.60;71.77;1.68;-28.87;66.77;2.20;16.63;113.64;6.46;22.39;89.63;4.47;20.90;69.47;10.56;19.15;66.32;11.02;-7.82;67.06;4.57;-10.42;37.13;3.69;-9.74;8.83;-4.06;-9.78;0.00;5.30;5.47;66.91;5.68;8.70;36.76;3.10;9.46;8.93;-5.04;10.06;0.03;3.80
0,031;-1.18;66.97;1.51;-0.63;96.60;2.84;0.00;125.55;5.32;-0.52;140.19;5.40;-17.39;114.92;2.47;-24.80;91.80;-3.43;-28.58;71.74;1.68;-28.83;66.74;2.10;16.67;113.63;6.41;22.42;89.62;4.45;20.92;69.45;10.51;19.16;66.21;11.02;-7.79;67.06;4.58;-10.41;37.10;3.69;-9.76;8.86;-4.04;-9.78;0.00;5.29;5.49;66.91;5.67;8.71;36.77;3.10;9.48;8.87;-5.10;10.07;0.03;3.82
0,065;-1.16;66.97;1.51;-0.60;96.59;2.83;0.03;125.55;5.28;-0.45;140.19;5.36;-17.33;114.90;2.48;-24.77;91.76;-3.48;-28.55;71.72;1.68;-28.78;66.71;2.10;16.71;113.62;6.39;22.46;89.61;4.43;20.93;69.44;10.49;19.16;66.14;11.06;-7.77;67.05;4.60;-10.40;37.09;3.69;-9.77;8.89;-4.02;-9.78;0.01;5.28;5.52;66.91;5.67;8.72;36.78;3.11;9.50;8.81;-5.14;10.07;0.03;3.85
0,098;-1.14;66.97;1.52;-0.58;96.59;2.82;0.06;125.54;5.25;-0.38;140.20;5.33;-17.28;114.88;2.50;-24.72;91.74;-3.52;-28.52;71.70;1.69;-28.76;66.68;2.05;16.76;113.63;6.33;22.49;89.59;4.41;20.98;69.43;10.47;19.19;66.11;11.06;-7.74;67.05;4.63;-10.38;37.07;3.69;-9.79;8.92;-4.00;-9.78;0.01;5.27;5.54;66.91;5.66;8.74;36.80;3.10;9.51;8.76;-5.18;10.08;0.04;3.88
0,133;-1.12;66.97;1.52;-0.55;96.59;2.80;0.09;125.54;5.22;-0.31;140.21;5.29;-17.24;114.88;2.49;-24.67;91.71;-3.56;-28.49;71.69;1.69;-28.72;66.64;1.96;16.82;113.64;6.27;22.52;89.58;4.40;21.03;69.41;10.45;19.22;66.11;11.10;-7.72;67.05;4.64;-10.37;37.06;3.69;-9.79;8.94;-4.00;-9.78;0.02;5.25;5.56;66.91;5.65;8.75;36.81;3.10;9.52;8.70;-5.21;10.08;0.04;3.91
0,166;-1.10;66.97;1.52;-0.53;96.59;2.79;0.13;125.54;5.19;-0.25;140.23;5.25;-17.19;114.91;2.46;-24.62;91.70;-3.58;-28.46;71.69;1.69;-28.70;66.61;1.89;16.87;113.65;6.21;22.53;89.54;4.38;21.08;69.37;10.44;19.25;66.08;11.14;-7.70;67.06;4.65;-10.36;37.05;3.69;-9.78;8.96;-4.02;-9.78;0.03;5.23;5.58;66.92;5.64;8.75;36.82;3.10;9.52;8.63;-5.22;10.08;0.04;3.93
0,199;-1.08;66.98;1.52;-0.50;96.60;2.78;0.16;125.54;5.16;-0.19;140.25;5.20;-17.15;114.93;2.42;-24.57;91.70;-3.61;-28.43;71.69;1.67;-28.67;66.64;1.91;16.91;113.65;6.17;22.54;89.49;4.36;21.13;69.32;10.43;19.30;66.06;11.14;-7.67;67.07;4.66;-10.36;37.04;3.69;-9.76;8.96;-4.05;-9.78;0.04;5.21;5.59;66.92;5.63;8.76;36.84;3.10;9.52;8.58;-5.22;10.09;0.04;3.92
0,231;-1.06;66.98;1.52;-0.48;96.60;2.77;0.18;125.54;5.14;-0.12;140.27;5.15;-17.12;114.96;2.38;-24.51;91.71;-3.62;-28.41;71.71;1.65;-28.64;66.65;1.89;16.96;113.67;6.12;22.55;89.45;4.35;21.19;69.27;10.39;19.35;66.02;11.13;-7.65;67.07;4.66;-10.35;37.02;3.69;-9.74;8.97;-4.08;-9.78;0.05;5.19;5.60;66.93;5.62;8.76;36.84;3.11;9.52;8.59;-5.22;10.09;0.05;3.91
0,265;-1.05;66.99;1.53;-0.46;96.60;2.76;0.21;125.54;5.11;-0.06;140.31;5.11;-17.08;114.99;2.34;-24.46;91.73;-3.63;-28.38;71.73;1.62;-28.63;66.63;1.85;17.00;113.68;6.08;22.56;89.42;4.33;21.24;69.23;10.37;19.39;66.06;11.15;-7.63;67.08;4.67;-10.34;37.01;3.69;-9.73;8.97;-4.11;-9.78;0.06;5.17;5.61;66.93;5.62;8.76;36.85;3.11;9.52;8.62;-5.20;10.09;0.06;3.90
0,298;-1.04;66.99;1.53;-0.44;96.60;2.74;0.22;125.54;5.08;0.00;140.34;5.05;-17.05;115.01;2.30;-24.40;91.76;-3.64;-28.35;71.76;1.59;-28.62;66.67;1.86;17.04;113.68;6.04;22.57;89.38;4.31;21.24;69.20;10.37;19.40;66.02;11.17;-7.61;67.09;4.67;-10.33;37.01;3.69;-9.71;8.97;-4.12;-9.78;0.06;5.16;5.62;66.94;5.63;8.77;36.85;3.11;9.52;8.67;-5.18;10.09;0.08;3.90
