Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;0.00;78.94;-3.01;0.57;111.40;-2.81;1.32;143.12;-1.28;1.25;157.58;-1.55;-16.05;132.10;-2.09;-21.05;105.63;-1.33;-21.10;83.99;5.94;-20.07;77.18;7.57;17.67;130.17;-3.21;20.96;104.83;-7.19;22.06;83.00;0.39;19.75;75.79;3.25;-7.64;79.00;1.14;-9.10;41.62;-1.30;-8.51;8.17;-4.65;-7.32;2.00;6.94;7.67;78.66;0.76;8.39;41.07;-1.32;8.56;8.52;-5.55;7.27;0.00;3.26
0,030;-0.01;78.94;-3.02;0.58;111.40;-2.82;1.34;143.14;-1.29;1.24;157.57;-1.54;-16.06;132.10;-2.12;-21.06;105.78;-1.39;-21.12;83.97;5.96;-20.08;77.20;7.53;17.67;130.16;-3.21;20.95;104.84;-7.21;22.07;83.10;0.37;19.77;75.83;3.24;-7.65;79.00;1.13;-9.11;41.64;-1.30;-8.50;8.17;-4.65;-7.33;2.00;6.95;7.67;78.66;0.76;8.40;41.08;-1.31;8.61;8.52;-5.53;7.15;-0.06;3.08
0,062;-0.01;78.95;-3.01;0.59;111.41;-2.82;1.34;143.17;-1.32;1.24;157.56;-1.52;-16.08;132.10;-2.17;-21.06;105.87;-1.44;-21.16;83.96;5.97;-20.08;77.23;7.55;17.67;130.16;-3.20;20.95;104.83;-7.23;22.06;83.17;0.37;19.76;75.90;3.22;-7.65;79.00;1.13;-9.12;41.66;-1.29;-8.49;8.15;-4.65;-7.33;1.99;6.95;7.67;78.67;0.77;8.42;41.08;-1.30;8.66;8.55;-5.50;7.00;-0.19;2.75
0,094;-0.01;78.95;-3.01;0.59;111.42;-2.82;1.33;143.18;-1.33;1.22;157.56;-1.51;-16.13;132.13;-2.24;-21.06;105.92;-1.52;-21.20;83.97;5.98;-20.11;77.20;7.61;17.68;130.15;-3.20;20.95;104.86;-7.23;22.05;83.14;0.44;19.76;75.98;3.23;-7.66;79.01;1.13;-9.12;41.68;-1.29;-8.49;8.17;-4.65;-7.38;2.21;7.27;7.66;78.67;0.77;8.44;41.09;-1.29;8.68;8.59;-5.48;7.03;-0.22;2.67
0,128;-0.01;78.96;-3.01;0.58;111.43;-2.82;1.30;143.20;-1.34;1.21;157.57;-1.53;-16.18;132.15;-2.31;-21.07;105.95;-1.60;-21.24;83.99;5.99;-20.12;77.17;7.57;17.68;130.15;-3.19;20.95;104.88;-7.24;21.99;82.88;0.59;19.72;75.95;3.30;-7.66;79.02;1.14;-9.13;41.70;-1.30;-8.48;8.18;-4.64;-7.72;2.69;8.48;7.66;78.68;0.78;8.46;41.09;-1.29;8.68;8.61;-5.46;7.10;-0.23;2.65
0,162;-0.01;78.96;-3.01;0.58;111.43;-2.83;1.26;143.22;-1.35;1.19;157.58;-1.56;-16.22;132.17;-2.38;-21.08;105.97;-1.68;-21.26;84.11;5.98;-20.12;77.19;7.52;17.68;130.16;-3.18;20.95;104.88;-7.25;21.93;82.47;0.76;19.68;75.93;3.32;-7.65;79.02;1.14;-9.14;41.72;-1.30;-8.48;8.20;-4.64;-8.04;2.97;9.37;7.67;78.69;0.78;8.47;41.09;-1.28;8.71;8.62;-5.44;7.14;-0.22;2.68
0,195;-0.01;78.97;-3.00;0.57;111.44;-2.83;1.23;143.23;-1.36;1.17;157.60;-1.58;-16.27;132.18;-2.45;-21.08;106.01;-1.77;-21.28;84.28;5.94;-20.16;77.24;7.49;17.69;130.17;-3.18;20.96;104.87;-7.25;21.89;82.12;0.91;19.66;75.90;3.36;-7.65;79.03;1.15;-9.15;41.73;-1.30;-8.49;8.14;-4.62;-7.98;2.35;8.50;7.67;78.69;0.78;8.49;41.07;-1.27;8.73;8.58;-5.43;6.98;-0.28;2.54
0,229;-0.01;78.97;-2.99;0.57;111.45;-2.83;1.21;143.24;-1.37;1.14;157.61;-1.60;-16.31;132.18;-2.52;-21.07;105.93;-1.80;-21.31;84.35;5.91;-20.16;77.25;7.52;17.69;130.18;-3.19;20.97;104.87;-7.25;21.88;81.96;1.02;19.67;75.86;3.38;-7.65;79.04;1.17;-9.16;41.74;-1.31;-8.50;8.09;-4.61;-8.06;2.60;9.00;7.66;78.70;0.78;8.50;41.05;-1.26;8.75;8.59;-5.41;6.88;-0.30;2.44
0,261;-0.01;78.98;-2.98;0.56;111.45;-2.83;1.18;143.24;-1.40;1.10;157.61;-1.61;-16.36;132.17;-2.59;-21.08;105.97;-1.84;-21.30;84.32;5.90;-20.14;77.29;7.54;17.70;130.20;-3.19;20.98;104.87;-7.24;21.87;81.92;1.08;19.68;75.84;3.38;-7.66;79.04;1.18;-9.16;41.74;-1.31;-8.51;8.04;-4.59;-8.14;2.85;9.51;7.65;78.70;0.79;8.51;41.03;-1.26;8.77;8.67;-5.40;6.87;-0.25;2.34
0,294;-0.01;78.98;-2.98;0.56;111.45;-2.84;1.16;143.23;-1.43;1.08;157.62;-1.63;-16.44;132.17;-2.63;-21.06;105.91;-1.87;-21.29;84.29;5.90;-20.17;77.28;7.52;17.70;130.22;-3.19;20.99;104.88;-7.22;21.88;81.94;1.11;19.67;75.91;3.40;-7.65;79.04;1.19;-9.16;41.75;-1.30;-8.53;7.99;-4.57;-8.17;2.80;9.53;7.65;78.71;0.80;8.51;41.02;-1.25;8.79;8.74;-5.39;6.91;-0.20;2.28
