Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;3.89;64.89;2.69;6.43;92.48;6.85;8.97;119.39;12.23;9.65;132.44;15.24;-7.63;108.81;13.03;-10.26;88.10;18.90;6.40;82.23;30.58;9.06;83.53;22.21;24.41;109.55;13.68;32.93;90.60;11.00;27.65;79.24;27.60;26.83;78.37;30.97;-3.25;64.97;5.70;-8.20;36.79;-3.05;-12.75;6.23;-13.03;-14.22;0.13;-6.42;11.07;64.75;6.51;14.34;37.09;11.06;13.62;3.10;4.60;13.36;0.00;14.84
0,028;4.06;64.82;2.68;6.54;92.44;6.86;9.04;119.37;12.24;9.72;132.42;15.22;-7.56;108.81;13.02;-10.25;88.15;18.81;7.07;82.10;30.92;9.54;83.48;21.89;24.49;109.50;13.70;33.08;90.66;10.92;27.97;79.34;27.60;27.05;78.48;30.94;-3.10;64.91;5.68;-8.08;36.65;-3.20;-12.65;6.25;-13.06;-13.82;0.80;-5.65;11.24;64.68;6.50;14.46;36.90;11.02;13.65;2.86;4.57;13.39;-0.23;14.81
0,050;4.21;64.76;2.66;6.63;92.40;6.84;9.08;119.36;12.20;9.79;132.43;15.12;-7.51;108.82;12.95;-10.35;88.26;18.58;7.61;81.99;31.14;9.89;83.53;21.63;24.55;109.46;13.68;33.19;90.71;10.83;28.21;79.43;27.59;27.15;78.54;30.93;-2.95;64.85;5.64;-8.00;36.47;-3.36;-12.57;6.33;-13.08;-13.42;1.53;-4.88;11.39;64.62;6.48;14.56;36.78;10.99;13.68;2.75;4.56;13.41;-0.34;14.79
0,082;4.34;64.70;2.60;6.71;92.38;6.79;9.10;119.37;12.13;9.84;132.45;14.97;-7.46;108.82;12.85;-10.72;88.47;18.13;7.73;82.00;31.06;9.93;83.58;21.45;24.60;109.44;13.64;33.25;90.74;10.75;28.37;79.49;27.56;27.25;78.55;30.84;-2.82;64.79;5.58;-7.90;36.40;-3.50;-12.47;6.44;-13.09;-13.00;2.29;-4.08;11.52;64.58;6.44;14.64;36.68;10.95;13.71;2.73;4.53;13.42;-0.36;14.77
0,117;4.45;64.66;2.53;6.76;92.37;6.70;9.11;119.40;12.01;9.88;132.48;14.76;-7.42;108.82;12.73;-11.22;88.73;17.59;7.02;82.24;30.23;9.56;83.79;21.37;24.64;109.42;13.56;33.26;90.77;10.67;28.27;79.59;27.59;27.26;78.52;30.76;-2.72;64.75;5.49;-7.85;36.32;-3.65;-12.40;6.50;-13.11;-12.60;3.01;-3.28;11.62;64.53;6.37;14.70;36.60;10.90;13.76;2.80;4.54;13.46;-0.29;14.78
0,149;4.53;64.62;2.44;6.81;92.36;6.58;9.12;119.42;11.84;9.91;132.52;14.53;-7.42;108.84;12.51;-11.72;88.99;17.07;6.83;82.16;29.77;9.61;83.77;21.15;24.68;109.40;13.45;33.24;90.79;10.60;28.14;79.65;27.60;27.24;78.41;30.64;-2.63;64.71;5.38;-7.80;36.28;-3.79;-12.34;6.41;-13.14;-12.40;3.26;-2.89;11.71;64.50;6.30;14.74;36.56;10.87;13.81;2.89;4.56;13.49;-0.19;14.80
0,183;4.59;64.59;2.35;6.85;92.36;6.46;9.12;119.47;11.66;9.94;132.56;14.28;-7.45;108.87;12.26;-12.02;89.17;16.70;6.64;82.12;29.35;9.64;83.82;20.97;24.71;109.39;13.32;33.21;90.79;10.51;28.18;79.60;27.50;27.17;78.26;30.49;-2.57;64.68;5.27;-7.78;36.18;-3.91;-12.29;6.28;-13.18;-12.38;3.14;-2.92;11.77;64.47;6.22;14.76;36.56;10.86;13.86;2.97;4.57;13.51;-0.11;14.81
0,216;4.64;64.57;2.25;6.88;92.37;6.31;9.11;119.53;11.45;9.97;132.61;13.99;-7.49;108.91;12.01;-12.05;89.19;16.54;6.53;82.00;29.01;9.67;83.76;20.77;24.73;109.38;13.17;33.17;90.75;10.43;28.19;79.53;27.40;27.09;78.08;30.21;-2.53;64.65;5.16;-7.76;36.10;-4.01;-12.25;6.25;-13.18;-12.36;3.12;-2.92;11.81;64.45;6.14;14.79;36.55;10.85;13.92;3.03;4.56;13.54;-0.04;14.81
0,250;4.67;64.55;2.17;6.89;92.38;6.18;9.09;119.58;11.24;9.98;132.67;13.70;-7.53;108.94;11.78;-12.03;89.15;16.40;5.92;82.24;28.45;9.27;83.92;20.79;24.74;109.38;12.99;33.12;90.70;10.29;28.17;79.41;27.22;27.01;77.85;29.87;-2.49;64.63;5.07;-7.75;36.05;-4.08;-12.21;6.27;-13.15;-12.34;3.14;-2.89;11.84;64.43;6.06;14.81;36.52;10.82;13.99;3.07;4.54;13.60;0.01;14.79
0,283;4.69;64.53;2.09;6.89;92.39;6.04;9.06;119.62;11.03;9.98;132.72;13.43;-7.58;108.95;11.57;-12.04;89.14;16.26;5.87;82.06;28.18;9.25;83.69;20.62;24.74;109.37;12.80;33.06;90.63;10.10;28.15;79.24;26.97;26.94;77.57;29.50;-2.47;64.61;4.99;-7.74;36.01;-4.15;-12.19;6.27;-13.12;-12.32;3.15;-2.86;11.86;64.42;5.99;14.85;36.46;10.77;14.08;3.12;4.50;13.68;0.06;14.75
