Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;3.52;71.01;-6.91;4.32;101.25;-7.25;5.11;130.88;-6.46;5.52;145.07;-6.01;-12.32;118.19;-5.51;-18.98;99.56;-3.44;-2.79;88.83;12.43;0.48;84.82;9.31;20.39;118.39;-4.63;25.33;92.35;-6.93;27.50;70.97;3.05;27.02;63.96;5.59;-3.39;71.22;-3.61;-8.04;40.25;-1.93;-11.16;8.02;-3.65;-9.66;0.00;3.22;10.81;70.93;-3.38;11.52;40.45;-4.53;10.50;7.55;-6.48;10.32;3.54;6.91
0,023;3.50;71.01;-6.92;4.31;101.25;-7.26;5.11;130.88;-6.47;5.51;145.06;-6.01;-12.32;118.19;-5.52;-18.94;99.55;-3.39;-2.84;88.86;12.39;0.44;84.86;9.32;20.39;118.38;-4.64;25.33;92.35;-6.93;27.51;70.98;3.02;27.03;63.94;5.53;-3.41;71.22;-3.62;-8.05;40.26;-1.94;-11.16;7.97;-3.66;-9.53;-0.03;3.19;10.79;70.93;-3.39;11.52;40.45;-4.55;10.52;7.61;-6.48;10.33;3.60;6.91
0,052;3.49;71.01;-6.93;4.30;101.25;-7.27;5.10;130.88;-6.48;5.50;145.06;-6.02;-12.31;118.20;-5.52;-18.89;99.54;-3.36;-2.88;88.89;12.34;0.40;84.90;9.31;20.38;118.38;-4.66;25.33;92.34;-6.95;27.52;70.99;2.99;27.02;63.89;5.51;-3.42;71.23;-3.64;-8.05;40.27;-1.93;-11.17;7.96;-3.67;-9.44;-0.04;3.17;10.78;70.93;-3.40;11.52;40.45;-4.56;10.54;7.63;-6.48;10.35;3.62;6.91
0,086;3.48;71.01;-6.94;4.29;101.25;-7.28;5.10;130.88;-6.50;5.50;145.06;-6.03;-12.30;118.20;-5.53;-18.84;99.51;-3.33;-2.93;88.92;12.28;0.33;84.94;9.29;20.38;118.37;-4.67;25.33;92.34;-6.97;27.52;71.00;2.96;26.99;63.83;5.50;-3.43;71.23;-3.65;-8.06;40.28;-1.93;-11.19;7.99;-3.68;-9.46;-0.03;3.13;10.77;70.92;-3.42;11.52;40.45;-4.56;10.56;7.62;-6.47;10.38;3.61;6.91
0,118;3.47;71.01;-6.95;4.29;101.25;-7.29;5.09;130.88;-6.51;5.50;145.06;-6.03;-12.30;118.20;-5.54;-18.80;99.49;-3.31;-2.98;88.95;12.23;0.26;84.94;9.28;20.37;118.37;-4.68;25.32;92.33;-7.00;27.53;71.00;2.93;26.98;63.83;5.46;-3.44;71.23;-3.66;-8.07;40.29;-1.92;-11.19;8.00;-3.68;-9.56;-0.05;3.11;10.76;70.92;-3.43;11.53;40.44;-4.56;10.59;7.60;-6.47;10.41;3.59;6.92
0,153;3.47;71.01;-6.95;4.29;101.25;-7.30;5.09;130.88;-6.53;5.49;145.06;-6.04;-12.29;118.20;-5.55;-18.78;99.46;-3.30;-3.01;88.97;12.19;0.22;85.01;9.30;20.37;118.37;-4.70;25.32;92.34;-7.02;27.53;70.98;2.90;26.94;63.83;5.44;-3.44;71.23;-3.66;-8.07;40.31;-1.91;-11.19;7.97;-3.67;-9.65;-0.09;3.13;10.76;70.92;-3.43;11.53;40.44;-4.55;10.62;7.55;-6.46;10.44;3.55;6.93
0,185;3.47;71.01;-6.95;4.28;101.25;-7.30;5.09;130.88;-6.54;5.49;145.06;-6.04;-12.29;118.21;-5.57;-18.75;99.43;-3.28;-3.03;88.98;12.16;0.13;84.99;9.30;20.37;118.37;-4.71;25.31;92.34;-7.05;27.51;70.92;2.88;26.94;63.82;5.44;-3.44;71.23;-3.65;-8.07;40.31;-1.90;-11.20;7.94;-3.65;-9.75;-0.13;3.14;10.76;70.92;-3.44;11.52;40.44;-4.52;10.63;7.51;-6.45;10.21;2.95;5.97
0,219;3.46;71.01;-6.96;4.28;101.25;-7.32;5.08;130.88;-6.56;5.49;145.05;-6.04;-12.28;118.22;-5.58;-18.72;99.40;-3.26;-3.04;88.98;12.14;0.09;84.92;9.27;20.37;118.37;-4.73;25.31;92.34;-7.07;27.50;70.88;2.86;26.94;63.77;5.46;-3.45;71.23;-3.66;-8.07;40.32;-1.89;-11.20;7.92;-3.63;-9.77;-0.16;3.14;10.76;70.92;-3.45;11.52;40.45;-4.49;10.64;7.44;-6.44;9.95;2.35;5.03
0,253;3.46;71.02;-6.97;4.28;101.25;-7.33;5.08;130.88;-6.57;5.49;145.05;-6.04;-12.27;118.23;-5.60;-18.77;99.38;-3.35;-3.08;89.02;12.09;0.06;84.95;9.25;20.37;118.37;-4.74;25.31;92.34;-7.09;27.48;70.86;2.85;26.91;63.73;5.50;-3.45;71.23;-3.67;-8.06;40.33;-1.88;-11.18;7.99;-3.59;-9.85;-0.11;3.17;10.76;70.92;-3.47;11.52;40.45;-4.46;10.66;7.39;-6.42;9.69;1.76;4.08
0,288;3.46;71.02;-6.98;4.27;101.25;-7.34;5.08;130.88;-6.59;5.49;145.05;-6.04;-12.26;118.24;-5.62;-18.84;99.37;-3.44;-3.11;89.03;12.06;0.06;84.97;9.23;20.37;118.37;-4.75;25.32;92.34;-7.11;27.47;70.85;2.84;26.91;63.71;5.53;-3.45;71.23;-3.68;-8.05;40.36;-1.88;-11.18;8.01;-3.56;-9.90;-0.10;3.16;10.75;70.93;-3.48;11.52;40.47;-4.43;10.66;7.38;-6.41;9.41;1.20;3.11
