Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;0.36;74.68;0.75;2.20;105.47;-0.42;4.13;135.61;-0.46;4.93;148.98;2.16;-14.05;124.44;1.26;-20.94;100.22;0.08;-21.61;78.83;5.85;-20.49;74.73;6.80;20.32;123.15;1.61;25.88;96.56;-1.91;27.63;75.37;4.04;26.39;71.55;4.93;-7.33;74.95;4.35;-11.05;39.40;0.44;-10.60;7.53;-4.98;-12.00;0.32;1.92;8.19;74.35;4.13;10.60;37.91;5.38;10.84;5.93;-1.98;11.75;0.00;5.03
0,022;0.37;74.68;0.76;2.23;105.46;-0.42;4.17;135.59;-0.45;5.00;148.96;2.16;-14.01;124.44;1.27;-20.93;100.24;0.08;-21.59;78.81;5.86;-20.47;74.70;6.86;20.35;123.13;1.61;25.90;96.57;-1.90;27.63;75.37;4.05;26.39;71.57;4.98;-7.31;74.95;4.36;-11.05;39.38;0.44;-10.59;7.53;-4.97;-12.00;0.30;1.93;8.20;74.34;4.13;10.62;37.91;5.39;10.82;5.96;-1.99;11.75;-0.01;5.08
0,043;0.39;74.67;0.76;2.26;105.45;-0.42;4.21;135.57;-0.45;5.07;148.95;2.17;-13.97;124.44;1.29;-20.92;100.26;0.08;-21.57;78.80;5.89;-20.47;74.71;6.89;20.38;123.12;1.62;25.91;96.58;-1.90;27.63;75.39;4.06;26.39;71.62;4.98;-7.30;74.94;4.37;-11.04;39.37;0.44;-10.58;7.53;-4.96;-11.99;0.28;1.93;8.21;74.34;4.13;10.63;37.92;5.39;10.79;6.00;-2.00;11.75;-0.01;5.12
0,079;0.40;74.67;0.76;2.29;105.45;-0.42;4.25;135.56;-0.44;5.13;148.92;2.19;-13.94;124.44;1.29;-20.91;100.28;0.08;-21.55;78.80;5.91;-20.49;74.70;6.91;20.41;123.12;1.61;25.93;96.59;-1.90;27.63;75.40;4.06;26.37;71.60;4.95;-7.28;74.94;4.37;-11.04;39.35;0.44;-10.58;7.53;-4.95;-12.00;0.26;1.93;8.23;74.33;4.13;10.65;37.91;5.40;10.77;6.01;-2.01;11.74;-0.01;5.14
0,111;0.42;74.66;0.76;2.31;105.44;-0.42;4.28;135.55;-0.45;5.19;148.91;2.21;-13.91;124.43;1.30;-20.89;100.30;0.08;-21.53;78.79;5.93;-20.48;74.69;6.89;20.44;123.11;1.61;25.94;96.60;-1.91;27.63;75.41;4.07;26.39;71.59;4.91;-7.27;74.94;4.37;-11.03;39.35;0.44;-10.58;7.52;-4.94;-12.00;0.24;1.92;8.24;74.32;4.12;10.66;37.91;5.40;10.75;6.02;-2.01;11.74;0.00;5.14
0,143;0.43;74.66;0.76;2.33;105.43;-0.42;4.31;135.54;-0.45;5.25;148.89;2.22;-13.88;124.42;1.31;-20.87;100.32;0.08;-21.50;78.78;5.96;-20.47;74.69;6.93;20.47;123.11;1.60;25.96;96.60;-1.91;27.64;75.41;4.08;26.38;71.60;4.92;-7.25;74.94;4.37;-11.03;39.34;0.44;-10.58;7.52;-4.93;-11.99;0.23;1.92;8.26;74.32;4.11;10.67;37.91;5.41;10.76;6.02;-2.01;11.73;0.01;5.15
0,176;0.45;74.66;0.75;2.36;105.43;-0.42;4.34;135.53;-0.45;5.31;148.88;2.24;-13.85;124.42;1.31;-20.84;100.33;0.08;-21.48;78.79;5.99;-20.44;74.69;6.97;20.49;123.11;1.60;25.98;96.59;-1.92;27.66;75.41;4.11;26.37;71.58;4.98;-7.24;74.94;4.38;-11.03;39.34;0.45;-10.58;7.52;-4.93;-11.99;0.21;1.90;8.27;74.31;4.10;10.68;37.91;5.41;10.79;6.02;-2.01;11.72;0.02;5.15
0,212;0.46;74.66;0.75;2.38;105.42;-0.43;4.36;135.53;-0.45;5.36;148.86;2.26;-13.82;124.41;1.32;-20.82;100.34;0.09;-21.41;78.65;6.04;-20.38;74.60;7.02;20.52;123.11;1.60;26.00;96.57;-1.92;27.68;75.40;4.13;26.39;71.59;4.97;-7.22;74.94;4.38;-11.02;39.35;0.45;-10.58;7.51;-4.93;-11.99;0.19;1.89;8.29;74.30;4.09;10.70;37.91;5.42;10.82;6.00;-2.00;11.73;0.02;5.15
0,243;0.47;74.65;0.75;2.40;105.42;-0.42;4.38;135.52;-0.45;5.40;148.86;2.27;-13.78;124.41;1.34;-20.80;100.35;0.10;-21.34;78.54;6.09;-20.35;74.55;7.02;20.54;123.11;1.61;26.02;96.57;-1.93;27.71;75.39;4.13;26.44;71.55;4.96;-7.21;74.94;4.39;-11.01;39.35;0.46;-10.58;7.49;-4.93;-11.98;0.18;1.88;8.30;74.30;4.08;10.70;37.91;5.42;10.83;5.98;-1.99;11.71;0.03;5.14
0,279;0.49;74.65;0.76;2.42;105.41;-0.42;4.41;135.50;-0.44;5.45;148.85;2.28;-13.74;124.41;1.35;-20.77;100.35;0.11;-21.29;78.44;6.13;-20.29;74.50;7.10;20.55;123.10;1.63;26.05;96.55;-1.93;27.75;75.38;4.15;26.46;71.50;5.01;-7.20;74.94;4.40;-11.01;39.35;0.46;-10.59;7.48;-4.93;-11.98;0.16;1.88;8.32;74.29;4.08;10.71;37.90;5.42;10.84;5.96;-1.98;11.70;0.02;5.12
0,311;0.49;74.65;0.76;2.44;105.40;-0.41;4.43;135.49;-0.41;5.49;148.84;2.30;-13.71;124.40;1.37;-20.75;100.35;0.13;-21.24;78.35;6.17;-20.24;74.43;7.10;20.57;123.08;1.65;26.08;96.50;-1.93;27.78;75.34;4.17;26.50;71.47;5.01;-7.19;74.94;4.41;-11.00;39.36;0.47;-10.59;7.48;-4.93;-11.97;0.15;1.87;8.33;74.29;4.07;10.72;37.89;5.42;10.85;5.94;-1.97;11.69;0.02;5.12
0,346;0.50;74.64;0.77;2.45;105.40;-0.39;4.45;135.48;-0.39;5.52;148.85;2.31;-13.68;124.41;1.38;-20.73;100.36;0.14;-21.20;78.28;6.21;-20.20;74.39;7.12;20.58;123.07;1.68;26.12;96.45;-1.94;27.82;75.30;4.19;26.51;71.45;5.06;-7.18;74.94;4.42;-11.00;39.37;0.48;-10.58;7.47;-4.93;-11.97;0.14;1.86;8.33;74.28;4.08;10.73;37.88;5.43;10.86;5.92;-1.96;11.69;0.01;5.11
0,375;0.51;74.64;0.77;2.47;105.39;-0.38;4.48;135.47;-0.37;5.55;148.85;2.32;-13.66;124.42;1.39;-20.71;100.36;0.15;-21.17;78.21;6.24;-20.18;74.35;7.08;20.59;123.05;1.70;26.15;96.39;-1.94;27.86;75.24;4.20;26.51;71.42;5.12;-7.18;74.94;4.43;-10.99;39.37;0.49;-10.58;7.46;-4.93;-11.97;0.13;1.86;8.34;74.28;4.08;10.73;37.87;5.43;10.84;5.93;-1.96;11.68;0.01;5.10
0,409;0.51;74.64;0.78;2.48;105.39;-0.37;4.50;135.47;-0.35;5.58;148.85;2.33;-13.63;124.42;1.40;-20.69;100.36;0.16;-21.14;78.14;6.27;-20.16;74.31;7.06;20.60;123.04;1.73;26.18;96.33;-1.94;27.89;75.18;4.21;26.52;71.46;5.13;-7.17;74.94;4.44;-10.99;39.38;0.50;-10.58;7.46;-4.93;-11.97;0.12;1.86;8.34;74.27;4.09;10.74;37.87;5.44;10.81;5.93;-1.95;11.68;0.00;5.10
0,443;0.51;74.63;0.79;2.49;105.38;-0.36;4.52;135.47;-0.33;5.61;148.84;2.34;-13.60;124.42;1.42;-20.68;100.37;0.17;-21.14;78.16;6.30;-20.14;74.37;7.10;20.61;123.01;1.76;26.21;96.28;-1.94;27.91;75.13;4.22;26.54;71.44;5.17;-7.17;74.94;4.44;-10.98;39.39;0.51;-10.57;7.44;-4.93;-11.97;0.11;1.86;8.34;74.26;4.10;10.75;37.87;5.45;10.77;5.94;-1.93;11.67;0.00;5.09
0,478;0.52;74.63;0.79;2.50;105.38;-0.35;4.54;135.46;-0.32;5.63;148.84;2.35;-13.58;124.42;1.43;-20.66;100.37;0.18;-21.16;78.24;6.32;-20.16;74.43;7.05;20.62;122.99;1.79;26.23;96.23;-1.93;27.92;75.08;4.23;26.53;71.42;5.18;-7.17;74.93;4.45;-10.98;39.39;0.52;-10.56;7.43;-4.93;-11.97;0.10;1.86;8.35;74.26;4.11;10.75;37.87;5.45;10.75;5.95;-1.93;11.67;0.00;5.10
0,511;0.52;74.62;0.80;2.51;105.37;-0.34;4.56;135.46;-0.31;5.66;148.83;2.37;-13.56;124.43;1.44;-20.65;100.38;0.20;-21.17;78.32;6.33;-20.14;74.48;7.04;20.64;122.98;1.81;26.25;96.18;-1.92;27.92;75.03;4.25;26.51;71.47;5.17;-7.16;74.93;4.46;-10.98;39.39;0.53;-10.55;7.43;-4.92;-11.97;0.09;1.86;8.35;74.25;4.12;10.76;37.87;5.46;10.73;5.96;-1.93;11.68;0.01;5.10
0,543;0.53;74.62;0.81;2.52;105.37;-0.33;4.57;135.45;-0.30;5.68;148.83;2.38;-13.54;124.44;1.45;-20.63;100.37;0.23;-21.18;78.38;6.35;-20.14;74.53;6.99;20.65;122.97;1.82;26.26;96.14;-1.91;27.92;75.00;4.26;26.49;71.50;5.17;-7.16;74.93;4.46;-10.98;39.39;0.54;-10.55;7.42;-4.91;-11.96;0.09;1.86;8.36;74.24;4.13;10.76;37.88;5.47;10.72;5.96;-1.93;11.69;0.01;5.09
0,576;0.53;74.62;0.81;2.54;105.37;-0.32;4.59;135.45;-0.30;5.70;148.82;2.40;-13.52;124.44;1.46;-20.62;100.37;0.25;-21.19;78.42;6.36;-20.13;74.59;7.00;20.67;122.96;1.83;26.27;96.13;-1.90;27.92;74.98;4.27;26.50;71.53;5.13;-7.16;74.93;4.47;-10.98;39.38;0.55;-10.54;7.42;-4.90;-11.95;0.09;1.86;8.36;74.24;4.13;10.76;37.88;5.47;10.70;5.96;-1.92;11.69;0.01;5.09
