Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;0.66;67.20;-2.11;1.55;96.68;-2.14;2.41;125.54;-1.09;2.29;139.17;-1.33;-13.42;114.44;-0.31;-18.64;90.31;-5.39;-19.76;68.28;-0.32;-18.90;66.75;0.09;17.80;113.65;0.04;20.68;88.97;-2.01;19.35;67.15;4.02;17.06;62.15;4.27;-6.28;67.42;1.10;-7.19;37.65;1.28;-6.06;6.01;-2.54;-7.33;0.00;3.88;7.47;66.96;1.63;7.30;37.97;-1.99;6.81;7.76;-5.91;6.58;5.02;4.57
0,021;0.66;67.20;-2.12;1.56;96.68;-2.17;2.41;125.55;-1.13;2.29;139.19;-1.39;-13.44;114.44;-0.35;-18.65;90.24;-5.41;-19.79;68.22;-0.33;-18.91;66.76;0.01;17.79;113.65;0.02;20.66;89.01;-2.03;19.34;67.18;3.98;17.03;62.10;4.25;-6.28;67.42;1.09;-7.19;37.63;1.26;-6.07;5.99;-2.52;-7.51;-0.58;3.21;7.48;66.96;1.62;7.30;37.97;-2.00;6.84;7.76;-5.92;6.61;5.02;4.56
0,049;0.67;67.20;-2.14;1.56;96.68;-2.20;2.41;125.55;-1.18;2.28;139.21;-1.46;-13.45;114.46;-0.39;-18.67;90.17;-5.45;-19.80;68.15;-0.34;-18.92;66.72;-0.07;17.77;113.64;0.01;20.64;89.05;-2.05;19.33;67.21;3.91;17.03;62.19;4.19;-6.27;67.41;1.07;-7.19;37.60;1.24;-6.08;5.98;-2.50;-7.44;-0.32;3.57;7.48;66.96;1.60;7.30;37.97;-2.01;6.88;7.77;-5.92;6.63;5.03;4.55
0,081;0.67;67.20;-2.16;1.56;96.68;-2.24;2.41;125.56;-1.22;2.26;139.23;-1.53;-13.47;114.47;-0.44;-18.68;90.10;-5.48;-19.80;68.09;-0.34;-18.93;66.72;-0.11;17.75;113.63;-0.01;20.63;89.08;-2.08;19.30;67.24;3.87;17.02;62.20;4.17;-6.28;67.41;1.04;-7.20;37.58;1.23;-6.08;5.96;-2.48;-7.30;0.22;4.27;7.48;66.96;1.59;7.30;37.97;-2.02;6.98;7.84;-5.95;6.72;5.10;4.53
0,120;0.65;67.20;-2.19;1.56;96.68;-2.28;2.42;125.56;-1.28;2.25;139.24;-1.59;-13.49;114.48;-0.52;-18.69;90.05;-5.51;-19.78;68.04;-0.36;-18.94;66.75;-0.16;17.73;113.62;-0.03;20.61;89.11;-2.10;19.28;67.26;3.83;17.03;62.30;4.14;-6.30;67.41;1.00;-7.21;37.57;1.21;-6.15;5.96;-2.46;-7.16;0.77;4.97;7.46;66.96;1.57;7.30;37.97;-2.03;7.06;7.89;-5.98;6.79;5.15;4.50
0,149;0.64;67.20;-2.21;1.55;96.69;-2.32;2.42;125.58;-1.34;2.23;139.25;-1.67;-13.51;114.50;-0.59;-18.71;90.00;-5.55;-19.74;67.99;-0.37;-18.94;66.76;-0.16;17.71;113.61;-0.06;20.61;89.13;-2.14;19.28;67.28;3.77;17.03;62.37;4.06;-6.31;67.40;0.97;-7.22;37.57;1.21;-6.24;5.97;-2.44;-7.03;1.33;5.66;7.45;66.96;1.55;7.30;37.98;-2.04;7.04;7.95;-5.97;6.77;5.21;4.51
0,182;0.62;67.20;-2.24;1.54;96.70;-2.37;2.41;125.59;-1.41;2.21;139.26;-1.75;-13.52;114.52;-0.66;-18.71;89.95;-5.59;-19.70;67.94;-0.38;-18.92;66.72;-0.21;17.69;113.61;-0.09;20.59;89.06;-2.15;19.27;67.20;3.73;17.07;62.60;4.07;-6.34;67.41;0.93;-7.24;37.57;1.20;-6.28;5.95;-2.42;-6.89;1.87;6.36;7.43;66.97;1.53;7.31;38.00;-2.04;7.05;8.00;-6.00;6.77;5.26;4.48
0,216;0.60;67.21;-2.28;1.53;96.71;-2.42;2.40;125.61;-1.47;2.19;139.27;-1.83;-13.54;114.54;-0.73;-18.72;89.92;-5.64;-19.66;67.92;-0.40;-18.91;66.72;-0.23;17.67;113.60;-0.12;20.56;89.00;-2.13;19.28;67.13;3.71;17.09;62.78;4.04;-6.35;67.41;0.88;-7.26;37.58;1.19;-6.33;5.97;-2.41;-6.75;2.43;7.04;7.41;66.98;1.50;7.31;38.01;-2.05;7.00;7.98;-6.02;6.71;5.24;4.46
0,250;0.59;67.22;-2.32;1.51;96.71;-2.47;2.39;125.62;-1.54;2.17;139.28;-1.91;-13.54;114.55;-0.80;-18.73;89.92;-5.69;-19.61;67.92;-0.43;-18.91;66.71;-0.21;17.65;113.60;-0.15;20.52;88.96;-2.12;19.29;67.09;3.70;17.11;62.87;4.00;-6.37;67.42;0.83;-7.28;37.59;1.18;-6.36;6.00;-2.41;-6.62;3.00;7.73;7.40;66.99;1.47;7.31;38.03;-2.06;6.95;7.95;-6.04;6.66;5.22;4.44
0,282;0.58;67.22;-2.36;1.50;96.73;-2.54;2.37;125.65;-1.64;2.15;139.29;-1.98;-13.55;114.57;-0.86;-18.73;89.94;-5.73;-19.55;67.94;-0.46;-18.89;66.68;-0.20;17.63;113.60;-0.19;20.50;88.92;-2.13;19.30;67.04;3.68;17.12;62.95;3.95;-6.38;67.42;0.79;-7.30;37.61;1.17;-6.38;6.02;-2.42;-6.56;3.31;8.06;7.39;66.99;1.44;7.31;38.04;-2.07;6.95;7.95;-6.06;6.65;5.22;4.42
0,318;0.56;67.23;-2.39;1.48;96.75;-2.59;2.34;125.68;-1.73;2.13;139.30;-2.06;-13.56;114.58;-0.92;-18.73;89.97;-5.77;-19.47;67.97;-0.46;-18.87;66.71;-0.15;17.61;113.60;-0.23;20.49;88.90;-2.15;19.36;67.01;3.66;17.11;62.81;3.91;-6.40;67.43;0.75;-7.30;37.61;1.15;-6.29;6.01;-2.44;-6.67;2.72;7.38;7.38;67.00;1.41;7.31;38.05;-2.08;6.89;7.91;-6.06;6.59;5.18;4.42
0,348;0.55;67.24;-2.42;1.46;96.76;-2.65;2.30;125.71;-1.82;2.11;139.31;-2.14;-13.57;114.60;-0.97;-18.73;89.98;-5.82;-19.41;67.98;-0.48;-18.86;66.72;-0.16;17.59;113.60;-0.26;20.48;88.86;-2.17;19.35;66.98;3.63;17.14;62.99;3.84;-6.41;67.44;0.73;-7.31;37.62;1.13;-6.22;6.00;-2.46;-6.78;2.14;6.69;7.37;67.01;1.38;7.31;38.05;-2.10;6.79;7.84;-6.05;6.48;5.11;4.43
0,389;0.55;67.25;-2.45;1.45;96.78;-2.70;2.27;125.74;-1.90;2.09;139.32;-2.20;-13.57;114.61;-1.01;-18.73;89.97;-5.85;-19.35;67.98;-0.49;-18.84;66.65;-0.12;17.57;113.60;-0.29;20.47;88.84;-2.18;19.34;66.95;3.62;17.13;63.00;3.86;-6.42;67.45;0.71;-7.32;37.63;1.12;-6.19;6.02;-2.45;-6.76;2.16;6.70;7.37;67.02;1.35;7.31;38.06;-2.11;6.71;7.75;-6.04;6.40;5.03;4.44
0,416;0.54;67.25;-2.47;1.44;96.79;-2.74;2.25;125.75;-1.97;2.07;139.34;-2.26;-13.58;114.62;-1.04;-18.73;89.92;-5.88;-19.29;67.93;-0.51;-18.86;66.80;-0.21;17.55;113.60;-0.31;20.46;88.86;-2.20;19.33;66.97;3.59;17.13;63.04;3.89;-6.44;67.45;0.70;-7.33;37.63;1.10;-6.23;6.05;-2.45;-6.80;2.19;6.70;7.36;67.03;1.33;7.31;38.06;-2.12;6.63;7.68;-6.03;6.32;4.95;4.45
