Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;-2.25;75.26;-0.19;-2.49;105.63;2.98;-2.66;135.36;7.29;-0.45;148.37;11.88;-20.66;127.61;5.08;-29.30;103.60;3.17;-31.45;82.84;8.36;-31.51;75.82;9.34;15.32;124.16;5.53;20.45;99.07;4.01;23.12;75.37;7.65;21.62;70.97;8.65;-10.57;75.12;3.96;-12.53;38.35;-1.23;-13.16;6.89;-5.38;-12.69;0.00;2.22;6.30;75.25;2.90;10.38;39.49;0.12;11.62;7.24;-2.90;14.23;0.17;6.07
0,030;-2.25;75.27;-0.23;-2.49;105.65;2.93;-2.67;135.41;7.23;-0.44;148.42;11.79;-20.65;127.62;5.03;-29.27;103.61;3.10;-31.44;82.85;8.30;-31.55;75.78;9.27;15.33;124.15;5.50;20.48;99.07;3.96;23.13;75.35;7.68;21.62;70.97;8.68;-10.57;75.13;3.92;-12.53;38.34;-1.28;-13.16;6.86;-5.41;-12.73;-0.04;2.28;6.30;75.26;2.88;10.38;39.47;0.09;11.63;7.26;-2.91;14.26;0.12;6.13
0,061;-2.24;75.28;-0.25;-2.49;105.67;2.89;-2.68;135.45;7.17;-0.45;148.48;11.69;-20.64;127.63;4.98;-29.24;103.61;3.03;-31.43;82.85;8.24;-31.57;75.77;9.27;15.34;124.15;5.49;20.50;99.07;3.93;23.13;75.36;7.71;21.65;70.97;8.68;-10.56;75.14;3.88;-12.53;38.34;-1.32;-13.17;6.85;-5.43;-12.78;-0.05;2.38;6.31;75.27;2.86;10.38;39.46;0.05;11.64;7.28;-2.93;14.29;0.08;6.18
0,096;-2.24;75.29;-0.28;-2.49;105.69;2.85;-2.69;135.47;7.12;-0.46;148.54;11.60;-20.63;127.64;4.93;-29.21;103.62;2.97;-31.42;82.85;8.17;-31.62;75.75;9.15;15.35;124.15;5.46;20.52;99.07;3.89;23.13;75.33;7.72;21.66;70.97;8.61;-10.56;75.15;3.85;-12.53;38.34;-1.37;-13.18;6.85;-5.45;-12.79;-0.02;2.37;6.31;75.27;2.83;10.38;39.47;0.01;11.65;7.31;-2.94;14.30;0.06;6.21
0,129;-2.24;75.30;-0.31;-2.50;105.71;2.82;-2.70;135.49;7.08;-0.48;148.59;11.51;-20.63;127.65;4.89;-29.19;103.62;2.91;-31.41;82.86;8.10;-31.65;75.77;9.12;15.36;124.14;5.44;20.53;99.07;3.86;23.13;75.32;7.72;21.63;70.99;8.63;-10.56;75.17;3.81;-12.53;38.35;-1.40;-13.18;6.88;-5.46;-12.84;0.02;2.41;6.31;75.28;2.82;10.38;39.45;-0.02;11.64;7.40;-2.99;14.32;0.06;6.26
0,161;-2.25;75.32;-0.33;-2.50;105.73;2.79;-2.71;135.51;7.04;-0.49;148.64;11.42;-20.63;127.66;4.85;-29.17;103.63;2.86;-31.41;82.87;8.04;-31.71;75.81;9.06;15.36;124.15;5.43;20.53;99.07;3.84;23.13;75.31;7.72;21.59;70.96;8.60;-10.57;75.18;3.79;-12.53;38.36;-1.43;-13.20;6.91;-5.46;-12.90;0.10;2.42;6.30;75.29;2.81;10.38;39.44;-0.05;11.64;7.46;-3.00;14.33;0.09;6.28
0,196;-2.26;75.33;-0.35;-2.51;105.75;2.76;-2.71;135.53;7.01;-0.51;148.68;11.34;-20.62;127.67;4.80;-29.17;103.64;2.82;-31.42;82.88;7.98;-31.79;75.86;8.95;15.37;124.15;5.42;20.54;99.07;3.83;23.12;75.30;7.71;21.59;70.94;8.56;-10.58;75.20;3.76;-12.53;38.38;-1.45;-13.23;6.97;-5.47;-12.92;0.18;2.37;6.29;75.30;2.79;10.39;39.43;-0.08;11.64;7.48;-2.99;14.32;0.17;6.23
0,229;-2.27;75.34;-0.36;-2.51;105.76;2.74;-2.71;135.54;6.98;-0.53;148.73;11.27;-20.62;127.68;4.77;-29.16;103.64;2.79;-31.42;82.88;7.92;-31.84;75.81;8.90;15.38;124.15;5.41;20.54;99.07;3.81;23.09;75.29;7.72;21.55;70.91;8.58;-10.59;75.21;3.74;-12.53;38.40;-1.46;-13.24;7.02;-5.48;-12.93;0.28;2.28;6.29;75.31;2.78;10.39;39.44;-0.09;11.63;7.52;-2.99;14.31;0.26;6.17
0,260;-2.27;75.35;-0.38;-2.51;105.77;2.72;-2.71;135.55;6.96;-0.54;148.76;11.22;-20.62;127.69;4.74;-29.16;103.65;2.77;-31.43;82.89;7.86;-31.84;75.82;8.85;15.39;124.15;5.39;20.54;99.07;3.80;23.06;75.25;7.71;21.52;70.87;8.53;-10.59;75.23;3.72;-12.53;38.41;-1.47;-13.25;7.07;-5.48;-12.96;0.36;2.17;6.28;75.32;2.76;10.39;39.39;-0.13;11.63;7.45;-2.96;14.32;0.30;6.17
0,296;-2.28;75.37;-0.40;-2.51;105.78;2.70;-2.71;135.56;6.94;-0.55;148.78;11.20;-20.62;127.69;4.72;-29.16;103.66;2.76;-31.44;82.90;7.80;-31.89;75.80;8.81;15.40;124.15;5.38;20.53;99.06;3.80;23.04;75.21;7.68;21.50;70.85;8.50;-10.60;75.24;3.71;-12.54;38.41;-1.47;-13.26;7.11;-5.48;-12.97;0.43;2.07;6.27;75.34;2.74;10.40;39.34;-0.17;11.63;7.38;-2.93;14.34;0.34;6.16
