Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;0.86;73.51;-9.37;1.55;102.75;-9.45;2.19;131.46;-8.30;1.71;145.23;-7.48;-13.81;120.50;-7.43;-13.40;94.37;-2.36;-17.87;73.31;-4.30;-18.40;69.56;-5.76;17.77;120.84;-8.48;26.30;98.09;-11.66;30.82;81.86;5.08;31.12;77.31;10.22;-6.23;73.65;-6.25;-5.54;42.27;-3.60;-5.27;7.99;-3.51;-4.19;3.54;8.82;8.10;73.47;-5.46;7.99;40.99;-5.05;6.58;7.02;-6.22;2.89;0.00;0.91
0,031;0.87;73.51;-9.37;1.55;102.76;-9.45;2.18;131.48;-8.30;1.71;145.23;-7.46;-13.81;120.54;-7.44;-13.55;94.49;-2.77;-17.89;73.43;-4.15;-18.34;69.56;-5.77;17.76;120.85;-8.44;26.31;98.07;-11.66;30.78;81.97;5.03;31.15;77.38;10.26;-6.23;73.66;-6.25;-5.52;42.26;-3.58;-5.25;7.98;-3.49;-4.19;3.53;8.84;8.10;73.47;-5.45;7.99;40.98;-5.03;6.57;7.07;-6.22;2.55;-0.16;0.45
0,062;0.86;73.52;-9.36;1.54;102.77;-9.44;2.18;131.48;-8.29;1.71;145.23;-7.44;-13.80;120.59;-7.47;-14.04;94.94;-3.90;-17.87;73.70;-4.00;-18.21;69.66;-5.68;17.76;120.86;-8.41;26.32;98.03;-11.65;30.76;82.07;4.99;31.16;77.36;10.23;-6.23;73.67;-6.22;-5.51;42.24;-3.57;-5.19;7.94;-3.45;-4.14;3.50;8.88;8.10;73.47;-5.44;7.98;40.97;-5.03;6.59;7.09;-6.23;2.83;-0.17;0.56
0,096;0.86;73.53;-9.34;1.54;102.78;-9.43;2.18;131.49;-8.29;1.71;145.23;-7.42;-13.80;120.68;-7.50;-14.31;95.10;-4.38;-17.84;73.99;-3.88;-18.13;69.70;-5.65;17.76;120.87;-8.40;26.32;98.02;-11.63;30.74;82.14;5.00;31.17;77.32;10.25;-6.22;73.68;-6.19;-5.51;42.21;-3.57;-5.15;7.89;-3.42;-4.12;3.45;8.91;8.10;73.48;-5.43;7.98;40.96;-5.02;6.60;7.13;-6.24;2.99;-0.17;0.63
0,128;0.86;73.53;-9.32;1.55;102.79;-9.41;2.20;131.49;-8.28;1.71;145.23;-7.40;-13.78;120.76;-7.52;-14.44;95.66;-4.70;-17.97;74.58;-3.88;-18.10;69.81;-5.60;17.77;120.89;-8.39;26.32;98.01;-11.59;30.73;82.21;4.98;31.20;77.28;10.25;-6.22;73.69;-6.15;-5.50;42.17;-3.56;-5.12;7.87;-3.37;-4.10;3.43;8.96;8.10;73.47;-5.42;7.95;40.99;-5.01;6.52;7.13;-6.15;3.22;-0.31;0.69
0,163;0.86;73.53;-9.31;1.55;102.79;-9.40;2.24;131.49;-8.26;1.71;145.23;-7.38;-13.76;120.83;-7.54;-15.10;96.25;-5.89;-18.17;75.03;-3.95;-18.08;69.95;-5.60;17.78;120.89;-8.38;26.34;98.01;-11.57;30.72;82.28;4.96;31.24;77.30;10.24;-6.23;73.70;-6.12;-5.51;42.15;-3.56;-5.10;7.84;-3.34;-4.08;3.40;8.99;8.09;73.47;-5.41;7.93;41.01;-4.99;6.37;7.20;-5.99;3.79;0.08;1.70
0,196;0.85;73.53;-9.29;1.57;102.79;-9.38;2.28;131.48;-8.25;1.70;145.22;-7.36;-13.72;120.87;-7.52;-15.63;97.18;-7.14;-18.09;75.64;-3.69;-17.98;70.30;-5.35;17.81;120.85;-8.35;26.36;98.05;-11.55;30.74;82.45;4.83;31.25;77.42;10.23;-6.23;73.70;-6.08;-5.52;42.13;-3.56;-5.07;7.77;-3.34;-4.06;3.33;8.99;8.09;73.46;-5.40;7.92;41.04;-4.99;6.36;7.28;-5.94;4.34;0.57;2.64
0,229;0.85;73.52;-9.26;1.58;102.78;-9.37;2.32;131.46;-8.25;1.71;145.21;-7.33;-13.68;120.88;-7.49;-16.01;97.65;-7.95;-17.98;76.44;-3.51;-17.88;70.85;-5.07;17.84;120.81;-8.33;26.39;98.08;-11.53;30.78;82.56;4.77;31.28;77.55;10.20;-6.24;73.69;-6.02;-5.53;42.12;-3.56;-5.05;7.71;-3.35;-4.36;3.48;9.59;8.10;73.45;-5.39;7.91;41.07;-4.98;7.00;7.72;-6.11;4.86;1.02;2.48
0,262;0.85;73.51;-9.23;1.59;102.77;-9.35;2.36;131.44;-8.24;1.71;145.20;-7.30;-13.64;120.89;-7.46;-16.01;97.82;-7.90;-17.94;76.59;-3.58;-17.85;70.95;-5.01;17.90;120.79;-8.36;26.42;98.09;-11.51;30.79;82.74;4.65;31.27;77.66;10.13;-6.24;73.68;-5.96;-5.53;42.11;-3.57;-5.02;7.72;-3.35;-4.65;3.70;10.19;8.10;73.44;-5.37;7.90;41.10;-4.97;7.05;7.68;-6.01;5.45;1.44;3.51
0,295;0.86;73.50;-9.20;1.60;102.77;-9.34;2.39;131.44;-8.24;1.72;145.19;-7.28;-13.60;120.86;-7.44;-16.20;97.57;-7.91;-17.88;76.58;-3.63;-17.89;70.93;-5.11;17.95;120.77;-8.35;26.46;98.12;-11.44;30.80;82.83;4.66;31.27;77.69;10.11;-6.23;73.66;-5.92;-5.52;42.11;-3.58;-4.98;7.69;-3.37;-4.60;3.68;10.16;8.11;73.43;-5.36;7.90;41.14;-4.98;7.12;7.69;-5.95;5.26;1.52;3.50
0,328;0.87;73.49;-9.18;1.62;102.76;-9.32;2.43;131.44;-8.23;1.72;145.18;-7.25;-13.57;120.82;-7.42;-16.17;97.15;-7.64;-17.75;76.35;-3.64;-17.91;70.94;-5.11;17.99;120.73;-8.33;26.50;98.17;-11.39;30.83;82.82;4.69;31.30;77.62;10.09;-6.22;73.64;-5.89;-5.50;42.12;-3.59;-4.94;7.65;-3.41;-4.56;3.64;10.13;8.12;73.42;-5.35;7.90;41.17;-4.98;7.20;7.73;-5.94;4.97;1.70;3.44
0,362;0.88;73.47;-9.17;1.63;102.75;-9.31;2.46;131.43;-8.22;1.73;145.18;-7.23;-13.55;120.78;-7.40;-16.69;97.64;-8.85;-17.63;76.32;-3.65;-17.83;71.05;-5.08;18.01;120.71;-8.29;26.54;98.23;-11.35;30.86;82.82;4.71;31.35;77.57;10.10;-6.21;73.61;-5.88;-5.50;42.15;-3.60;-4.90;7.63;-3.45;-4.53;3.61;10.09;8.13;73.42;-5.34;7.91;41.19;-4.98;7.29;7.78;-5.95;4.73;1.88;3.39
0,396;0.89;73.46;-9.16;1.64;102.74;-9.31;2.48;131.43;-8.23;1.73;145.17;-7.20;-13.58;120.74;-7.40;-16.93;98.13;-9.62;-17.54;76.30;-3.66;-17.83;71.03;-5.06;18.04;120.67;-8.26;26.58;98.26;-11.32;30.89;82.81;4.73;31.38;77.56;10.04;-6.20;73.59;-5.87;-5.49;42.17;-3.61;-4.86;7.57;-3.50;-4.50;3.56;10.04;8.14;73.41;-5.33;7.93;41.21;-5.00;7.37;7.78;-5.98;4.57;1.62;2.87
0,429;0.91;73.46;-9.14;1.65;102.74;-9.30;2.49;131.43;-8.23;1.74;145.16;-7.17;-13.59;120.71;-7.40;-16.64;98.20;-9.39;-17.47;76.29;-3.68;-17.79;71.04;-5.05;18.07;120.66;-8.24;26.62;98.19;-11.17;30.92;82.69;4.86;31.41;77.44;10.10;-6.18;73.57;-5.86;-5.47;42.19;-3.60;-4.82;7.55;-3.52;-3.95;3.03;8.85;8.16;73.41;-5.32;7.94;41.22;-5.00;7.43;7.68;-5.99;4.62;1.53;2.85
0,463;0.92;73.45;-9.13;1.66;102.73;-9.30;2.50;131.42;-8.23;1.75;145.15;-7.14;-13.60;120.68;-7.40;-16.64;98.33;-9.29;-17.46;76.23;-3.68;-17.78;70.99;-5.14;18.11;120.65;-8.25;26.65;98.12;-11.04;30.97;82.46;5.10;31.47;77.21;10.13;-6.17;73.56;-5.85;-5.46;42.22;-3.59;-4.82;7.55;-3.52;-3.95;3.03;8.86;8.17;73.42;-5.31;7.98;41.21;-5.02;7.20;7.38;-5.88;4.69;1.47;3.44
0,496;0.93;73.45;-9.13;1.67;102.73;-9.29;2.51;131.41;-8.22;1.76;145.15;-7.12;-13.57;120.64;-7.39;-16.39;98.18;-8.75;-17.45;76.04;-3.67;-17.79;70.89;-5.18;18.12;120.64;-8.22;26.69;98.14;-11.02;30.99;82.47;5.12;31.45;77.19;10.11;-6.15;73.55;-5.85;-5.46;42.24;-3.59;-4.83;7.54;-3.53;-3.97;3.02;8.85;8.18;73.41;-5.31;8.02;41.20;-5.05;6.90;7.03;-5.84;4.69;1.37;3.94
