Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;0.68;83.49;-17.18;0.53;118.91;-22.29;0.29;153.53;-25.88;0.76;166.94;-29.19;-15.98;140.51;-17.21;-26.75;117.09;-20.70;-24.55;96.83;-6.30;-21.37;89.97;-5.01;16.74;139.60;-20.22;23.00;111.86;-19.00;23.78;89.00;-12.01;21.19;84.64;-11.12;-6.70;84.30;-10.97;-8.20;34.99;-14.57;-11.02;6.03;-5.58;-10.12;0.28;6.26;8.33;83.48;-14.70;5.54;35.71;-13.46;11.13;5.00;-5.93;10.00;0.00;5.25
0,031;0.65;83.50;-17.20;0.49;118.93;-22.30;0.25;153.54;-25.89;0.74;166.94;-29.20;-16.01;140.52;-17.22;-26.78;117.10;-20.69;-24.60;97.04;-6.48;-21.20;90.05;-5.04;16.69;139.60;-20.22;22.96;111.89;-19.04;23.81;89.02;-12.05;21.23;84.69;-11.12;-6.73;84.32;-10.98;-8.25;34.94;-14.57;-11.01;5.99;-5.61;-10.24;0.26;6.34;8.31;83.49;-14.72;5.53;35.71;-13.46;11.11;5.01;-5.96;10.06;0.04;5.23
0,063;0.63;83.51;-17.21;0.46;118.94;-22.31;0.22;153.55;-25.90;0.71;166.94;-29.21;-16.05;140.53;-17.24;-26.79;117.11;-20.68;-24.63;97.16;-6.61;-21.05;90.03;-5.09;16.65;139.61;-20.21;22.94;111.85;-19.06;23.82;88.99;-12.06;21.24;84.70;-11.11;-6.75;84.34;-10.98;-8.29;34.91;-14.57;-11.06;5.94;-5.58;-10.22;0.23;6.40;8.29;83.49;-14.74;5.52;35.71;-13.46;11.08;5.03;-6.00;9.94;0.09;5.18
0,099;0.60;83.52;-17.22;0.43;118.95;-22.32;0.20;153.55;-25.91;0.69;166.93;-29.23;-16.09;140.54;-17.26;-26.81;117.10;-20.67;-24.64;97.20;-6.68;-20.86;89.99;-5.13;16.61;139.60;-20.20;22.92;111.82;-19.09;23.77;88.97;-12.03;21.22;84.70;-11.08;-6.78;84.35;-10.98;-8.30;34.91;-14.58;-11.12;5.92;-5.58;-10.61;0.25;6.61;8.26;83.49;-14.77;5.52;35.68;-13.46;11.06;5.05;-6.05;9.79;0.13;5.08
0,131;0.59;83.53;-17.23;0.41;118.95;-22.34;0.18;153.56;-25.92;0.67;166.92;-29.25;-16.11;140.55;-17.28;-26.81;117.09;-20.67;-24.64;97.22;-6.72;-20.74;89.94;-5.20;16.57;139.60;-20.19;22.91;111.77;-19.08;23.71;88.92;-11.98;21.18;84.67;-11.01;-6.79;84.37;-10.97;-8.29;34.98;-14.57;-11.17;5.90;-5.61;-10.89;0.29;6.71;8.25;83.49;-14.80;5.51;35.67;-13.46;11.05;5.09;-6.09;9.65;0.17;5.02
0,164;0.57;83.55;-17.24;0.40;118.96;-22.35;0.16;153.56;-25.94;0.66;166.90;-29.27;-16.13;140.55;-17.30;-26.81;117.07;-20.67;-24.64;97.21;-6.76;-20.80;89.97;-5.17;16.54;139.59;-20.19;22.90;111.76;-19.06;23.65;88.85;-11.92;21.14;84.62;-10.93;-6.81;84.39;-10.98;-8.28;35.05;-14.56;-11.19;5.89;-5.64;-10.70;0.30;6.82;8.23;83.51;-14.81;5.42;35.77;-13.46;11.05;5.11;-6.11;9.57;0.18;5.02
0,198;0.56;83.56;-17.25;0.38;118.97;-22.36;0.15;153.57;-25.96;0.65;166.89;-29.29;-16.15;140.56;-17.31;-26.81;117.05;-20.66;-24.64;97.18;-6.80;-20.71;90.26;-5.22;16.52;139.58;-20.19;22.90;111.73;-19.04;23.63;88.83;-11.89;21.12;84.58;-10.90;-6.81;84.40;-10.98;-8.27;35.09;-14.56;-11.21;5.87;-5.67;-10.52;0.28;6.88;8.21;83.52;-14.83;5.36;35.82;-13.46;11.09;5.11;-6.09;9.51;0.19;5.03
0,231;0.56;83.58;-17.26;0.37;118.97;-22.37;0.14;153.57;-25.97;0.64;166.88;-29.31;-16.16;140.55;-17.32;-26.81;117.03;-20.66;-24.64;97.15;-6.81;-20.85;90.29;-5.20;16.51;139.56;-20.19;22.90;111.71;-19.02;23.59;88.82;-11.82;21.11;84.56;-10.86;-6.82;84.42;-10.99;-8.25;35.13;-14.55;-11.25;5.87;-5.67;-10.31;0.28;6.83;8.20;83.53;-14.84;5.31;35.87;-13.47;11.13;5.12;-6.09;9.52;0.22;4.91
0,264;0.55;83.59;-17.29;0.36;118.98;-22.40;0.13;153.57;-26.00;0.63;166.88;-29.36;-16.16;140.55;-17.33;-26.81;117.00;-20.68;-24.64;97.12;-6.84;-21.05;90.30;-5.28;16.49;139.55;-20.19;22.90;111.67;-19.03;23.56;88.80;-11.77;21.07;84.54;-10.94;-6.83;84.44;-11.01;-8.23;35.17;-14.57;-11.30;5.87;-5.68;-10.20;0.32;6.77;8.19;83.54;-14.89;5.27;35.92;-13.50;11.14;5.14;-6.15;9.52;0.24;4.79
0,299;0.55;83.60;-17.32;0.34;118.98;-22.44;0.12;153.58;-26.04;0.62;166.87;-29.41;-16.16;140.54;-17.33;-26.81;116.98;-20.70;-24.63;97.09;-6.87;-21.22;90.40;-5.30;16.48;139.54;-20.20;22.90;111.65;-19.04;23.52;88.76;-11.71;21.04;84.49;-10.89;-6.83;84.45;-11.03;-8.21;35.19;-14.59;-11.31;5.88;-5.72;-10.16;0.36;6.73;8.19;83.54;-14.93;5.23;35.95;-13.54;11.15;5.14;-6.19;9.56;0.24;4.71
0,330;0.55;83.60;-17.35;0.33;118.99;-22.47;0.10;153.58;-26.07;0.61;166.87;-29.45;-16.15;140.54;-17.33;-26.81;116.96;-20.72;-24.63;97.07;-6.90;-21.37;90.48;-5.26;16.48;139.53;-20.21;22.89;111.64;-19.04;23.52;88.70;-11.66;21.06;84.47;-10.85;-6.82;84.45;-11.04;-8.18;35.19;-14.60;-11.30;5.87;-5.76;-10.07;0.39;6.63;8.20;83.55;-14.97;5.19;35.96;-13.57;11.17;5.15;-6.22;9.69;0.24;4.66
0,364;0.56;83.61;-17.37;0.33;118.99;-22.50;0.10;153.58;-26.10;0.61;166.86;-29.49;-16.15;140.54;-17.33;-26.80;116.96;-20.74;-24.63;97.06;-6.93;-21.57;90.56;-5.23;16.47;139.52;-20.22;22.89;111.62;-19.05;23.55;88.65;-11.63;21.06;84.46;-10.79;-6.81;84.46;-11.05;-8.16;35.18;-14.62;-11.32;5.84;-5.77;-10.06;0.42;6.59;8.21;83.55;-15.00;5.15;35.93;-13.60;11.19;5.15;-6.23;9.82;0.23;4.64
0,398;0.57;83.61;-17.40;0.33;118.99;-22.53;0.09;153.58;-26.13;0.61;166.86;-29.52;-16.14;140.53;-17.34;-26.80;116.96;-20.76;-24.63;97.05;-6.96;-21.77;90.61;-5.20;16.48;139.52;-20.23;22.89;111.59;-19.06;23.57;88.59;-11.60;21.08;84.45;-10.77;-6.80;84.46;-11.06;-8.15;35.17;-14.64;-11.32;5.82;-5.77;-10.17;0.46;6.56;8.22;83.55;-15.03;5.15;35.82;-13.62;11.20;5.14;-6.16;9.90;0.24;4.62
0,431;0.59;83.61;-17.42;0.33;118.99;-22.55;0.10;153.58;-26.16;0.62;166.86;-29.56;-16.14;140.53;-17.34;-26.79;116.96;-20.78;-24.62;97.05;-6.99;-21.96;90.55;-5.15;16.48;139.51;-20.24;22.89;111.54;-19.07;23.58;88.51;-11.56;21.08;84.45;-10.78;-6.78;84.46;-11.07;-8.14;35.17;-14.66;-11.32;5.82;-5.77;-10.27;0.51;6.60;8.24;83.54;-15.07;5.19;35.72;-13.64;11.20;5.12;-6.12;9.64;0.22;4.64
0,464;0.61;83.60;-17.44;0.34;118.99;-22.58;0.10;153.57;-26.18;0.63;166.86;-29.59;-16.14;140.53;-17.35;-26.79;116.97;-20.80;-24.62;97.05;-7.04;-21.90;90.36;-5.17;16.47;139.51;-20.25;22.90;111.50;-19.09;23.56;88.40;-11.53;21.07;84.44;-10.76;-6.76;84.45;-11.09;-8.12;35.18;-14.68;-11.33;5.81;-5.76;-10.58;0.54;6.67;8.26;83.53;-15.10;5.21;35.64;-13.66;11.18;5.11;-6.10;9.54;0.19;4.68
0,499;0.62;83.60;-17.45;0.34;118.98;-22.59;0.11;153.56;-26.20;0.64;166.84;-29.61;-16.14;140.53;-17.36;-26.78;116.99;-20.81;-24.61;97.04;-7.09;-21.92;90.44;-5.12;16.47;139.51;-20.26;22.91;111.46;-19.10;23.57;88.35;-11.59;21.08;84.45;-10.72;-6.73;84.44;-11.09;-8.12;35.18;-14.69;-11.33;5.81;-5.75;-10.80;0.56;6.68;8.28;83.53;-15.12;5.23;35.59;-13.66;11.14;5.08;-6.10;9.50;0.17;4.72
0,531;0.64;83.60;-17.45;0.35;118.98;-22.59;0.12;153.55;-26.20;0.66;166.82;-29.62;-16.14;140.53;-17.36;-26.77;117.02;-20.81;-24.60;97.07;-7.09;-21.72;90.37;-5.07;16.48;139.51;-20.26;22.93;111.43;-19.11;23.57;88.33;-11.64;21.11;84.41;-10.73;-6.71;84.44;-11.09;-8.12;35.22;-14.69;-11.35;5.83;-5.73;-10.91;0.59;6.71;8.29;83.54;-15.12;5.25;35.56;-13.65;11.11;5.05;-6.07;9.49;0.16;4.75
0,563;0.65;83.60;-17.46;0.37;118.97;-22.59;0.14;153.54;-26.20;0.67;166.81;-29.61;-16.14;140.53;-17.36;-26.75;117.06;-20.81;-24.59;97.10;-7.13;-21.56;90.34;-5.11;16.48;139.51;-20.27;22.96;111.39;-19.12;23.58;88.32;-11.69;21.10;84.39;-10.76;-6.69;84.43;-11.10;-8.12;35.24;-14.69;-11.36;5.92;-5.73;-10.20;0.56;6.45;8.30;83.54;-15.12;5.27;35.53;-13.63;11.09;5.02;-6.06;9.49;0.16;4.81
0,598;0.66;83.60;-17.47;0.38;118.97;-22.60;0.15;153.53;-26.21;0.68;166.81;-29.61;-16.14;140.53;-17.36;-26.73;117.11;-20.82;-24.59;97.11;-7.18;-21.38;90.29;-5.14;16.49;139.51;-20.28;22.99;111.34;-19.13;23.59;88.32;-11.75;21.10;84.35;-10.82;-6.68;84.43;-11.11;-8.13;35.23;-14.69;-11.34;5.94;-5.72;-9.52;0.49;6.29;8.31;83.55;-15.12;5.30;35.54;-13.62;11.08;4.99;-6.04;9.48;0.17;4.87
0,631;0.68;83.60;-17.48;0.39;118.97;-22.60;0.17;153.52;-26.21;0.69;166.80;-29.61;-16.14;140.53;-17.36;-26.72;117.14;-20.82;-24.58;97.12;-7.22;-21.18;90.17;-5.15;16.49;139.51;-20.29;23.02;111.31;-19.16;23.59;88.35;-11.83;21.10;84.34;-10.89;-6.66;84.42;-11.12;-8.13;35.20;-14.70;-11.33;5.96;-5.71;-8.92;0.41;6.19;8.32;83.55;-15.13;5.33;35.58;-13.62;11.07;4.98;-6.08;9.56;0.16;4.93
0,664;0.69;83.60;-17.48;0.40;118.96;-22.61;0.18;153.51;-26.22;0.70;166.80;-29.61;-16.10;140.53;-17.37;-26.71;117.18;-20.81;-24.54;97.15;-7.25;-20.95;90.11;-5.24;16.49;139.51;-20.29;23.05;111.28;-19.18;23.61;88.37;-11.90;21.16;84.35;-10.95;-6.66;84.42;-11.12;-8.13;35.18;-14.71;-11.30;5.95;-5.66;-8.98;0.41;6.24;8.33;83.55;-15.14;5.36;35.63;-13.61;11.08;5.00;-6.16;9.71;0.19;4.94
0,698;0.69;83.60;-17.48;0.41;118.96;-22.61;0.18;153.50;-26.22;0.72;166.79;-29.60;-16.05;140.54;-17.37;-26.69;117.22;-20.81;-24.50;97.18;-7.26;-20.77;90.11;-5.20;16.50;139.52;-20.30;23.08;111.24;-19.20;23.62;88.38;-11.96;21.20;84.34;-10.99;-6.66;84.42;-11.11;-8.14;35.16;-14.71;-11.28;5.99;-5.63;-8.98;0.40;6.27;8.34;83.56;-15.14;5.38;35.66;-13.60;11.09;5.03;-6.22;9.88;0.23;4.92
0,731;0.70;83.61;-17.49;0.42;118.96;-22.61;0.19;153.50;-26.22;0.74;166.79;-29.59;-16.01;140.56;-17.39;-26.68;117.26;-20.80;-24.47;97.22;-7.26;-20.75;90.14;-5.17;16.61;139.54;-20.38;23.11;111.22;-19.23;23.63;88.34;-11.97;21.22;84.29;-11.06;-6.66;84.43;-11.12;-8.13;35.18;-14.70;-11.25;6.02;-5.61;-8.70;0.35;6.11;8.35;83.56;-15.15;5.40;35.68;-13.60;11.13;5.06;-6.25;9.94;0.24;4.99
