Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;0.65;56.87;-1.05;1.78;87.15;-4.45;2.90;116.78;-6.56;5.28;130.32;-8.74;-15.36;107.01;-2.45;-29.11;86.07;-1.82;-30.25;65.20;6.73;-29.99;60.56;6.97;20.87;103.67;-4.28;30.67;78.60;-3.61;30.78;57.25;3.42;29.93;54.95;3.11;-8.24;57.36;2.48;-8.78;29.59;-4.56;-9.46;3.96;-6.24;-8.85;0.55;6.18;9.30;56.62;2.82;10.09;28.62;-4.76;8.94;3.40;-6.17;9.37;0.00;6.24
0,034;0.65;56.85;-1.03;1.80;87.14;-4.44;2.92;116.77;-6.55;5.30;130.33;-8.73;-15.37;107.01;-2.46;-29.10;86.01;-1.81;-30.19;65.15;6.75;-29.98;60.54;7.04;20.89;103.63;-4.25;30.73;78.59;-3.61;30.81;57.26;3.52;29.94;54.93;3.07;-8.24;57.33;2.51;-8.78;29.57;-4.56;-9.46;3.96;-6.25;-8.86;0.56;6.17;9.29;56.59;2.83;10.14;28.63;-4.74;8.94;3.38;-6.16;9.36;-0.02;6.25
0,069;0.65;56.82;-1.01;1.82;87.13;-4.43;2.94;116.76;-6.55;5.31;130.34;-8.72;-15.37;107.01;-2.47;-29.09;85.96;-1.80;-30.13;65.09;6.77;-29.99;60.53;7.05;20.91;103.59;-4.25;30.77;78.58;-3.58;30.83;57.27;3.59;29.90;54.92;3.14;-8.23;57.30;2.54;-8.80;29.56;-4.55;-9.46;3.97;-6.25;-8.87;0.56;6.16;9.29;56.57;2.84;10.18;28.64;-4.72;8.94;3.36;-6.14;9.36;-0.04;6.27
0,102;0.70;56.79;-1.01;1.85;87.11;-4.42;2.97;116.76;-6.54;5.32;130.35;-8.72;-15.36;107.00;-2.47;-29.09;85.91;-1.78;-30.06;65.04;6.79;-29.98;60.52;7.03;20.94;103.59;-4.26;30.80;78.59;-3.55;30.86;57.28;3.65;29.88;54.95;3.31;-8.18;57.27;2.55;-8.80;29.55;-4.53;-9.46;3.97;-6.25;-8.86;0.57;6.17;9.33;56.55;2.83;10.22;28.65;-4.70;8.94;3.33;-6.13;9.36;-0.07;6.29
0,134;0.75;56.77;-1.01;1.89;87.10;-4.42;2.99;116.75;-6.53;5.33;130.36;-8.71;-15.36;106.99;-2.46;-29.08;85.86;-1.78;-30.00;65.00;6.81;-29.97;60.76;7.06;20.95;103.66;-4.28;30.84;78.59;-3.53;30.87;57.30;3.71;29.86;54.93;3.36;-8.13;57.24;2.55;-8.80;29.53;-4.52;-9.45;3.98;-6.25;-8.85;0.57;6.17;9.39;56.53;2.82;10.25;28.66;-4.69;8.90;3.28;-6.11;9.33;-0.12;6.30
0,168;0.81;56.75;-1.02;1.93;87.09;-4.41;3.01;116.75;-6.52;5.34;130.37;-8.71;-15.35;106.98;-2.44;-29.07;85.81;-1.76;-29.98;64.95;6.82;-29.94;60.73;7.09;20.94;103.73;-4.28;30.87;78.59;-3.52;30.88;57.31;3.77;29.83;54.91;3.42;-8.07;57.21;2.55;-8.80;29.51;-4.52;-9.44;3.98;-6.24;-8.84;0.57;6.17;9.44;56.52;2.80;10.27;28.67;-4.67;8.87;3.27;-6.09;9.30;-0.13;6.32
0,202;0.87;56.74;-1.02;1.96;87.08;-4.40;3.03;116.75;-6.52;5.35;130.37;-8.69;-15.32;106.96;-2.42;-29.06;85.77;-1.76;-29.94;64.91;6.82;-29.94;60.94;7.10;20.94;103.78;-4.29;30.90;78.59;-3.50;30.89;57.32;3.82;29.80;54.88;3.43;-8.01;57.18;2.56;-8.80;29.49;-4.52;-9.45;3.97;-6.24;-8.84;0.56;6.18;9.50;56.52;2.79;10.32;28.69;-4.64;8.86;3.30;-6.07;9.29;-0.10;6.34
0,234;0.92;56.74;-0.99;1.99;87.08;-4.39;3.05;116.75;-6.51;5.35;130.37;-8.68;-15.30;106.94;-2.39;-29.06;85.74;-1.74;-29.92;64.86;6.82;-29.94;61.16;7.08;20.94;103.80;-4.29;30.94;78.59;-3.49;30.89;57.32;3.86;29.82;54.86;3.43;-7.96;57.18;2.63;-8.82;29.48;-4.51;-9.45;3.95;-6.22;-8.84;0.55;6.20;9.56;56.53;2.78;10.36;28.72;-4.61;8.85;3.31;-6.06;9.29;-0.09;6.36
0,270;0.97;56.74;-0.97;2.02;87.08;-4.38;3.06;116.76;-6.51;5.36;130.37;-8.67;-15.27;106.92;-2.36;-29.05;85.73;-1.74;-29.90;64.86;6.81;-29.93;61.12;7.00;20.95;103.83;-4.32;30.96;78.58;-3.47;30.89;57.32;3.87;29.77;54.84;3.41;-7.91;57.18;2.69;-8.84;29.49;-4.51;-9.45;3.94;-6.20;-8.83;0.53;6.21;9.61;56.53;2.79;10.38;28.74;-4.60;8.84;3.31;-6.05;9.29;-0.09;6.36
0,301;1.01;56.75;-0.93;2.05;87.08;-4.36;3.07;116.76;-6.51;5.36;130.36;-8.65;-15.23;106.89;-2.32;-29.04;85.74;-1.73;-29.88;64.85;6.81;-29.93;61.09;6.88;20.95;103.86;-4.32;30.97;78.58;-3.45;30.90;57.32;3.89;29.81;54.85;3.38;-7.88;57.19;2.76;-8.84;29.48;-4.50;-9.45;3.93;-6.19;-8.81;0.53;6.23;9.66;56.54;2.81;10.39;28.74;-4.59;8.83;3.28;-6.06;9.29;-0.12;6.35
