Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;1.49;73.72;-9.10;2.54;104.85;-9.88;3.52;135.38;-9.45;5.16;150.80;-9.38;-11.86;123.17;-6.51;-18.40;102.48;-7.18;-10.85;86.59;3.93;-8.32;80.52;4.61;18.91;121.73;-8.79;22.17;98.60;-9.21;22.62;75.80;-3.48;21.39;68.85;-2.17;-5.17;74.14;-4.68;-8.68;39.73;-4.37;-9.62;5.01;-3.86;-7.46;0.00;6.12;8.28;73.43;-6.16;9.15;39.94;-5.30;7.74;6.25;-6.51;9.34;1.11;4.25
0,024;1.49;73.73;-9.09;2.52;104.86;-9.88;3.49;135.40;-9.45;5.13;150.81;-9.37;-11.87;123.17;-6.50;-18.41;102.48;-7.14;-10.83;86.57;3.98;-8.30;80.50;4.63;18.90;121.74;-8.79;22.16;98.60;-9.22;22.62;75.80;-3.50;21.40;68.83;-2.18;-5.17;74.14;-4.67;-8.68;39.73;-4.37;-9.61;5.02;-3.86;-7.89;0.52;7.48;8.27;73.44;-6.16;9.15;39.93;-5.30;7.71;6.28;-6.51;8.95;1.66;5.35
0,053;1.49;73.73;-9.09;2.51;104.87;-9.87;3.46;135.42;-9.45;5.09;150.82;-9.37;-11.89;123.17;-6.48;-18.40;102.45;-7.09;-10.83;86.55;4.01;-8.29;80.50;4.66;18.90;121.74;-8.80;22.14;98.61;-9.21;22.61;75.80;-3.52;21.38;68.82;-2.12;-5.17;74.15;-4.66;-8.68;39.73;-4.37;-9.59;5.04;-3.87;-8.38;1.01;8.87;8.27;73.44;-6.15;9.15;39.94;-5.29;7.68;6.35;-6.51;8.74;1.99;5.89
0,085;1.49;73.74;-9.08;2.50;104.88;-9.87;3.43;135.43;-9.45;5.06;150.83;-9.36;-11.91;123.17;-6.46;-18.40;102.42;-7.04;-10.84;86.56;4.00;-8.29;80.51;4.67;18.89;121.75;-8.80;22.13;98.61;-9.21;22.63;75.80;-3.56;21.38;68.85;-2.11;-5.18;74.15;-4.64;-8.69;39.73;-4.37;-9.59;5.05;-3.87;-8.65;1.24;9.59;8.27;73.45;-6.15;9.13;39.94;-5.29;7.66;6.45;-6.51;8.72;2.09;5.88
0,121;1.48;73.74;-9.08;2.48;104.89;-9.86;3.41;135.45;-9.44;5.03;150.84;-9.35;-11.92;123.17;-6.44;-18.40;102.40;-7.00;-10.87;86.59;3.99;-8.28;80.51;4.71;18.88;121.75;-8.80;22.12;98.61;-9.21;22.66;75.79;-3.60;21.40;68.89;-2.11;-5.18;74.15;-4.63;-8.69;39.73;-4.37;-9.59;5.06;-3.87;-8.64;1.25;9.58;8.26;73.45;-6.15;9.12;39.94;-5.28;7.65;6.54;-6.51;8.72;2.17;5.88
0,155;1.48;73.74;-9.07;2.47;104.90;-9.85;3.38;135.45;-9.43;5.00;150.84;-9.34;-11.94;123.17;-6.43;-18.41;102.39;-6.96;-10.93;86.67;3.95;-8.32;80.63;4.67;18.88;121.75;-8.81;22.11;98.61;-9.21;22.67;75.78;-3.63;21.42;68.92;-2.08;-5.18;74.16;-4.62;-8.70;39.73;-4.37;-9.60;5.07;-3.88;-8.65;1.27;9.58;8.26;73.46;-6.14;9.11;39.94;-5.27;7.62;6.66;-6.52;8.70;2.29;5.87
0,187;1.48;73.75;-9.06;2.45;104.90;-9.85;3.35;135.46;-9.41;4.97;150.85;-9.33;-11.95;123.17;-6.42;-18.42;102.38;-6.92;-11.00;86.75;3.91;-8.36;80.75;4.68;18.87;121.75;-8.81;22.10;98.61;-9.21;22.68;75.78;-3.66;21.40;68.95;-2.09;-5.19;74.16;-4.61;-8.70;39.72;-4.38;-9.61;5.07;-3.89;-8.22;0.75;8.19;8.26;73.46;-6.14;9.10;39.94;-5.27;7.62;6.70;-6.54;8.55;2.61;6.39
0,218;1.47;73.75;-9.06;2.44;104.91;-9.84;3.33;135.46;-9.41;4.95;150.85;-9.33;-11.96;123.17;-6.42;-18.43;102.32;-6.88;-11.06;86.83;3.88;-8.41;80.87;4.65;18.86;121.76;-8.81;22.08;98.62;-9.21;22.68;75.78;-3.68;21.39;68.98;-2.07;-5.19;74.16;-4.60;-8.71;39.72;-4.38;-9.61;5.05;-3.91;-7.76;0.23;6.76;8.25;73.46;-6.14;9.09;39.94;-5.27;7.62;6.80;-6.55;8.42;2.98;6.91
0,254;1.47;73.75;-9.05;2.43;104.91;-9.84;3.31;135.46;-9.40;4.93;150.85;-9.33;-11.98;123.17;-6.41;-18.43;102.26;-6.83;-11.11;86.91;3.86;-8.43;80.99;4.66;18.85;121.76;-8.81;22.07;98.62;-9.22;22.68;75.79;-3.70;21.37;68.99;-2.07;-5.19;74.15;-4.59;-8.71;39.72;-4.39;-9.64;5.04;-3.92;-7.79;0.21;6.75;8.25;73.47;-6.13;9.08;39.96;-5.26;7.63;6.89;-6.56;8.43;3.06;6.91
0,287;1.47;73.75;-9.05;2.42;104.91;-9.83;3.30;135.46;-9.39;4.92;150.85;-9.32;-12.01;123.17;-6.40;-18.44;102.24;-6.79;-11.17;86.99;3.85;-8.47;81.12;4.66;18.84;121.78;-8.82;22.05;98.63;-9.21;22.68;75.79;-3.71;21.36;69.00;-2.07;-5.19;74.15;-4.59;-8.72;39.72;-4.39;-9.64;5.03;-3.94;-7.79;0.21;6.74;8.25;73.47;-6.13;9.07;39.97;-5.26;7.64;6.96;-6.57;8.44;3.13;6.90
