Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;7.09;59.33;-1.57;9.40;89.55;-0.88;11.65;119.21;1.05;10.18;132.78;1.17;-6.44;107.11;3.19;-11.58;86.58;1.69;-0.89;81.01;17.84;3.83;81.48;16.56;26.88;110.98;0.76;33.92;89.26;-3.63;29.84;71.26;5.76;26.66;67.85;7.79;-0.21;59.79;1.78;-8.70;28.44;-3.37;-11.82;5.71;-2.53;-11.25;3.02;7.71;14.31;59.16;1.98;13.80;26.99;-4.18;9.56;5.60;-5.78;13.50;0.00;0.60
0,027;7.09;59.33;-1.57;9.40;89.55;-0.87;11.65;119.21;1.04;10.18;132.78;1.17;-6.44;107.11;3.19;-11.61;86.72;1.75;-1.04;80.68;17.36;3.64;81.24;16.44;26.89;110.98;0.76;33.93;89.26;-3.65;29.81;71.27;5.76;26.64;67.94;7.83;-0.21;59.79;1.78;-8.69;28.44;-3.36;-11.81;5.73;-2.53;-11.24;3.04;7.71;14.31;59.15;1.98;13.80;26.99;-4.18;9.56;5.59;-5.78;13.42;-0.05;0.62
0,061;7.09;59.33;-1.56;9.40;89.55;-0.87;11.64;119.21;1.04;10.19;132.78;1.16;-6.43;107.10;3.19;-11.64;86.84;1.81;-1.23;80.53;16.93;3.56;81.15;16.33;26.89;110.98;0.75;34.05;89.33;-3.79;29.78;71.49;5.66;26.62;68.00;7.87;-0.21;59.79;1.78;-8.69;28.44;-3.36;-11.81;5.76;-2.53;-11.24;3.07;7.72;14.31;59.14;1.98;13.80;26.98;-4.18;9.55;5.57;-5.78;13.33;-0.12;0.63
0,095;7.09;59.33;-1.56;9.40;89.55;-0.87;11.64;119.22;1.03;10.19;132.78;1.16;-6.44;107.10;3.19;-11.67;87.01;1.84;-1.33;80.60;16.73;3.60;81.09;16.31;26.90;110.98;0.75;34.24;89.46;-4.01;29.78;71.78;5.51;26.58;68.04;7.92;-0.21;59.79;1.78;-8.68;28.44;-3.35;-11.81;5.78;-2.52;-11.24;3.10;7.72;14.31;59.14;1.98;13.81;26.98;-4.19;9.54;5.56;-5.79;13.23;-0.15;0.61
0,128;7.09;59.33;-1.56;9.40;89.55;-0.87;11.64;119.22;1.02;10.19;132.78;1.16;-6.44;107.10;3.19;-11.71;87.16;1.84;-1.46;80.67;16.46;3.57;80.99;16.28;26.90;110.98;0.74;34.38;89.57;-4.17;29.78;71.94;5.38;26.55;68.00;7.90;-0.21;59.79;1.78;-8.68;28.44;-3.35;-11.81;5.81;-2.52;-11.25;3.12;7.72;14.31;59.13;1.98;13.81;26.98;-4.19;9.54;5.54;-5.79;13.14;-0.20;0.59
0,161;7.09;59.33;-1.56;9.40;89.56;-0.88;11.64;119.23;1.01;10.20;132.79;1.15;-6.43;107.09;3.20;-11.72;87.04;1.79;-1.67;80.66;15.95;3.33;80.84;16.16;26.91;110.98;0.74;34.47;89.60;-4.25;29.77;72.08;5.27;26.56;68.03;7.93;-0.21;59.79;1.78;-8.68;28.44;-3.35;-11.81;5.82;-2.53;-11.24;3.13;7.71;14.31;59.13;1.98;13.81;26.97;-4.19;9.52;5.51;-5.79;13.08;-0.22;0.57
0,193;7.09;59.33;-1.56;9.40;89.56;-0.88;11.65;119.23;1.00;10.20;132.79;1.15;-6.43;107.09;3.20;-11.71;86.84;1.77;-1.73;80.64;15.71;3.31;80.64;16.11;26.91;110.98;0.73;34.51;89.60;-4.26;29.76;72.15;5.21;26.54;68.04;7.92;-0.20;59.80;1.78;-8.69;28.45;-3.35;-11.81;5.82;-2.54;-11.24;3.14;7.70;14.31;59.13;1.97;13.82;26.97;-4.19;9.51;5.49;-5.80;13.13;-0.18;0.55
0,227;7.10;59.33;-1.57;9.41;89.56;-0.88;11.65;119.23;0.99;10.20;132.79;1.15;-6.43;107.09;3.21;-11.72;86.85;1.73;-1.75;80.75;15.76;3.36;80.56;16.10;26.92;110.98;0.72;34.54;89.62;-4.28;29.74;72.18;5.19;26.50;68.01;7.97;-0.20;59.80;1.78;-8.69;28.45;-3.35;-11.82;5.83;-2.56;-11.24;3.14;7.69;14.31;59.13;1.96;13.82;26.96;-4.18;9.51;5.48;-5.80;13.12;-0.19;0.51
0,261;7.09;59.32;-1.57;9.41;89.56;-0.88;11.66;119.23;0.99;10.20;132.78;1.15;-6.44;107.10;3.21;-11.75;86.98;1.72;-1.55;80.87;16.29;3.47;80.64;16.26;26.92;110.99;0.72;34.54;89.62;-4.27;29.73;72.20;5.19;26.57;67.98;7.92;-0.20;59.80;1.77;-8.69;28.45;-3.36;-11.81;5.83;-2.57;-11.24;3.14;7.67;14.31;59.13;1.95;13.81;26.96;-4.17;9.51;5.48;-5.81;13.10;-0.18;0.46
0,293;7.08;59.33;-1.58;9.41;89.56;-0.89;11.66;119.23;0.98;10.21;132.78;1.14;-6.44;107.11;3.21;-11.75;87.09;1.71;-1.58;81.17;16.45;3.53;80.59;16.25;26.93;110.99;0.72;34.55;89.63;-4.26;29.74;72.20;5.19;26.51;67.92;7.91;-0.21;59.80;1.77;-8.69;28.45;-3.36;-11.81;5.82;-2.59;-11.24;3.13;7.66;14.30;59.13;1.94;13.81;26.95;-4.16;9.51;5.47;-5.82;13.12;-0.17;0.42
