Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;0.04;74.83;-7.71;0.71;106.66;-8.03;1.27;137.90;-7.19;2.35;152.62;-6.36;-16.64;126.75;-7.42;-24.58;102.07;-8.09;-26.09;81.34;-0.54;-26.47;73.01;2.78;18.72;124.40;-6.10;26.54;99.03;-9.73;27.24;78.17;-1.85;25.64;70.46;0.43;-7.42;75.11;-4.51;-10.82;38.25;-4.82;-11.84;4.83;-6.53;-12.37;0.65;7.56;6.96;74.67;-3.64;10.49;37.29;-4.31;12.47;4.18;-7.55;11.73;0.00;6.52
0,033;0.05;74.82;-7.72;0.71;106.65;-8.03;1.27;137.88;-7.19;2.34;152.61;-6.35;-16.65;126.75;-7.43;-24.58;102.07;-8.08;-26.09;81.32;-0.55;-26.52;73.06;2.75;18.72;124.39;-6.10;26.53;99.02;-9.72;27.31;78.29;-1.89;25.67;70.52;0.36;-7.41;75.11;-4.53;-10.83;38.26;-4.82;-11.86;4.84;-6.53;-12.39;0.66;7.55;6.97;74.66;-3.65;10.48;37.29;-4.32;12.50;4.13;-7.55;11.75;-0.04;6.52
0,066;0.05;74.81;-7.73;0.71;106.64;-8.04;1.27;137.86;-7.17;2.32;152.60;-6.34;-16.66;126.75;-7.44;-24.59;102.06;-8.07;-26.09;81.31;-0.56;-26.48;73.05;2.72;18.71;124.39;-6.11;26.53;99.02;-9.72;27.37;78.35;-1.92;25.71;70.52;0.33;-7.41;75.10;-4.55;-10.83;38.26;-4.82;-11.87;4.83;-6.53;-12.41;0.66;7.55;6.97;74.65;-3.66;10.48;37.29;-4.33;12.52;4.09;-7.55;11.78;-0.08;6.52
0,099;0.05;74.80;-7.74;0.71;106.63;-8.03;1.27;137.84;-7.16;2.29;152.59;-6.33;-16.67;126.74;-7.45;-24.59;102.06;-8.05;-26.09;81.30;-0.56;-26.45;73.08;2.68;18.70;124.39;-6.11;26.52;99.02;-9.72;27.39;78.34;-1.91;25.71;70.51;0.28;-7.41;75.10;-4.57;-10.83;38.26;-4.81;-11.88;4.83;-6.53;-12.42;0.65;7.55;6.96;74.64;-3.65;10.48;37.28;-4.34;12.54;4.06;-7.54;11.80;-0.11;6.52
0,132;0.04;74.79;-7.75;0.70;106.62;-8.03;1.26;137.81;-7.14;2.21;152.56;-6.28;-16.68;126.72;-7.46;-24.59;102.05;-8.04;-26.09;81.29;-0.56;-26.44;73.03;2.61;18.69;124.40;-6.13;26.51;99.01;-9.71;27.40;78.34;-1.91;25.73;70.49;0.23;-7.41;75.08;-4.58;-10.83;38.26;-4.81;-11.88;4.83;-6.53;-12.42;0.65;7.55;6.96;74.63;-3.65;10.48;37.27;-4.34;12.55;4.05;-7.54;11.81;-0.13;6.53
0,166;0.04;74.78;-7.75;0.70;106.60;-8.03;1.25;137.79;-7.11;2.12;152.53;-6.23;-16.69;126.69;-7.46;-24.59;102.05;-8.03;-26.09;81.29;-0.56;-26.46;73.09;2.66;18.68;124.42;-6.14;26.51;99.01;-9.70;27.41;78.33;-1.91;25.72;70.50;0.18;-7.41;75.07;-4.60;-10.83;38.26;-4.81;-11.89;4.83;-6.54;-12.42;0.65;7.54;6.96;74.61;-3.65;10.48;37.27;-4.35;12.56;4.04;-7.54;11.81;-0.14;6.53
0,199;0.04;74.77;-7.76;0.70;106.59;-8.02;1.24;137.77;-7.08;2.01;152.50;-6.17;-16.70;126.66;-7.45;-24.58;102.05;-8.03;-26.09;81.28;-0.56;-26.46;73.10;2.58;18.66;124.43;-6.15;26.50;99.01;-9.69;27.41;78.33;-1.90;25.71;70.47;0.19;-7.41;75.05;-4.61;-10.83;38.27;-4.82;-11.90;4.84;-6.54;-12.43;0.66;7.54;6.96;74.60;-3.65;10.48;37.26;-4.36;12.54;4.05;-7.53;11.80;-0.13;6.53
0,234;0.04;74.76;-7.77;0.69;106.58;-8.03;1.22;137.76;-7.07;1.90;152.48;-6.13;-16.72;126.63;-7.46;-24.58;102.10;-8.10;-26.09;81.34;-0.62;-26.49;73.14;2.48;18.64;124.45;-6.18;26.48;99.02;-9.71;27.42;78.35;-1.91;25.73;70.48;0.10;-7.41;75.04;-4.64;-10.83;38.28;-4.85;-11.88;4.86;-6.57;-12.41;0.67;7.51;6.95;74.59;-3.65;10.48;37.26;-4.39;12.52;4.07;-7.57;11.78;-0.11;6.49
0,265;0.04;74.76;-7.79;0.68;106.58;-8.04;1.19;137.76;-7.07;1.75;152.42;-6.05;-16.74;126.60;-7.48;-24.58;102.14;-8.16;-26.09;81.39;-0.67;-26.47;73.12;2.42;18.62;124.49;-6.20;26.47;99.03;-9.71;27.44;78.36;-1.92;25.71;70.42;0.17;-7.41;75.04;-4.68;-10.82;38.29;-4.88;-11.87;4.86;-6.60;-12.40;0.67;7.47;6.96;74.60;-3.65;10.48;37.25;-4.42;12.50;4.09;-7.61;11.77;-0.10;6.45
0,299;0.04;74.76;-7.81;0.66;106.58;-8.04;1.15;137.76;-7.05;1.59;152.35;-5.97;-16.76;126.58;-7.50;-24.58;102.17;-8.21;-26.09;81.42;-0.71;-26.44;73.17;2.31;18.61;124.52;-6.21;26.46;99.04;-9.71;27.46;78.37;-1.91;25.74;70.37;0.21;-7.41;75.03;-4.71;-10.82;38.29;-4.91;-11.85;4.86;-6.64;-12.38;0.67;7.44;6.96;74.60;-3.64;10.48;37.24;-4.44;12.48;4.10;-7.65;11.74;-0.09;6.41
0,333;0.04;74.76;-7.82;0.65;106.58;-8.04;1.12;137.75;-7.02;1.44;152.28;-5.88;-16.79;126.56;-7.52;-24.58;102.18;-8.25;-26.09;81.43;-0.75;-26.48;73.17;2.27;18.59;124.56;-6.23;26.45;99.05;-9.71;27.48;78.39;-1.89;25.77;70.35;0.27;-7.41;75.03;-4.75;-10.82;38.31;-4.93;-11.84;4.87;-6.66;-12.38;0.68;7.42;6.96;74.61;-3.63;10.48;37.24;-4.46;12.45;4.13;-7.68;11.70;-0.06;6.38
0,367;0.04;74.77;-7.83;0.64;106.58;-8.04;1.09;137.75;-6.99;1.30;152.22;-5.81;-16.82;126.55;-7.55;-24.59;102.18;-8.28;-26.10;81.42;-0.79;-26.51;73.21;2.30;18.58;124.60;-6.23;26.44;99.06;-9.70;27.51;78.40;-1.88;25.75;70.33;0.41;-7.42;75.03;-4.78;-10.81;38.32;-4.96;-11.84;4.88;-6.68;-12.39;0.69;7.40;6.95;74.62;-3.61;10.48;37.24;-4.47;12.43;4.15;-7.71;11.67;-0.04;6.35
0,400;0.03;74.77;-7.83;0.61;106.58;-8.03;1.05;137.74;-6.96;1.17;152.15;-5.76;-16.86;126.53;-7.59;-24.60;102.18;-8.30;-26.11;81.42;-0.82;-26.47;73.13;2.22;18.57;124.63;-6.22;26.44;99.07;-9.65;27.54;78.40;-1.87;25.76;70.33;0.52;-7.43;75.03;-4.79;-10.81;38.31;-4.97;-11.82;4.85;-6.69;-12.39;0.66;7.39;6.95;74.64;-3.59;10.48;37.25;-4.48;12.42;4.17;-7.74;11.64;-0.02;6.32
0,433;0.02;74.78;-7.82;0.59;106.57;-8.01;1.01;137.72;-6.92;1.04;152.07;-5.71;-16.89;126.52;-7.62;-24.62;102.18;-8.31;-26.12;81.41;-0.85;-26.46;73.08;2.20;18.57;124.68;-6.20;26.45;99.08;-9.59;27.59;78.39;-1.86;25.79;70.34;0.58;-7.44;75.04;-4.81;-10.80;38.27;-4.98;-11.82;4.81;-6.70;-12.40;0.62;7.37;6.94;74.65;-3.56;10.49;37.27;-4.49;12.40;4.19;-7.78;11.62;0.00;6.28
0,469;0.01;74.78;-7.81;0.57;106.56;-7.99;0.99;137.68;-6.88;0.91;151.98;-5.67;-16.92;126.51;-7.64;-24.62;102.15;-8.31;-26.13;81.38;-0.85;-26.46;73.07;2.19;18.57;124.72;-6.18;26.46;99.08;-9.49;27.64;78.37;-1.84;25.79;70.33;0.65;-7.45;75.03;-4.81;-10.79;38.24;-4.98;-11.81;4.78;-6.70;-12.40;0.58;7.38;6.93;74.66;-3.53;10.49;37.28;-4.47;12.39;4.19;-7.78;11.59;-0.01;6.28
0,501;0.00;74.79;-7.79;0.55;106.54;-7.93;0.95;137.64;-6.78;0.78;151.90;-5.59;-16.95;126.49;-7.65;-24.63;102.09;-8.28;-26.14;81.32;-0.82;-26.44;73.10;2.36;18.57;124.75;-6.11;26.48;99.07;-9.37;27.69;78.36;-1.74;25.76;70.36;0.88;-7.46;75.03;-4.79;-10.79;38.21;-4.94;-11.82;4.77;-6.64;-12.43;0.57;7.43;6.92;74.67;-3.48;10.49;37.30;-4.42;12.36;4.19;-7.74;11.54;-0.01;6.31
0,532;-0.01;74.79;-7.76;0.52;106.53;-7.88;0.91;137.60;-6.70;0.67;151.83;-5.54;-16.98;126.46;-7.65;-24.64;102.04;-8.25;-26.14;81.27;-0.80;-26.46;73.06;2.37;18.57;124.78;-6.05;26.49;99.07;-9.26;27.75;78.36;-1.65;25.75;70.45;1.00;-7.47;75.02;-4.78;-10.79;38.19;-4.91;-11.83;4.77;-6.59;-12.47;0.56;7.47;6.91;74.68;-3.44;10.49;37.31;-4.36;12.34;4.19;-7.70;11.49;-0.01;6.35
0,569;-0.02;74.78;-7.73;0.50;106.51;-7.83;0.88;137.57;-6.63;0.56;151.78;-5.48;-17.02;126.42;-7.65;-24.64;102.01;-8.25;-26.15;81.24;-0.78;-26.47;73.07;2.37;18.57;124.81;-5.97;26.51;99.07;-9.14;27.82;78.35;-1.56;25.73;70.49;1.08;-7.48;75.02;-4.76;-10.79;38.16;-4.88;-11.84;4.76;-6.55;-12.50;0.56;7.52;6.90;74.68;-3.39;10.50;37.32;-4.31;12.32;4.18;-7.68;11.40;-0.63;5.34
