Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;1.58;73.45;1.30;3.12;104.78;3.40;4.62;135.40;6.77;5.55;148.92;8.78;-14.80;126.94;3.98;-21.82;100.93;-0.33;-21.32;79.71;3.53;-20.04;75.43;4.53;21.82;122.26;8.69;25.78;97.83;8.65;22.20;76.27;14.28;20.28;69.40;15.50;-6.84;73.84;4.38;-10.18;38.31;2.63;-11.40;7.42;-8.04;-15.79;0.00;-1.30;9.96;72.97;5.45;14.41;41.76;2.25;13.45;8.63;0.50;13.74;0.49;8.84
0,023;1.81;73.42;1.85;3.32;104.72;4.16;4.77;135.32;7.74;5.65;148.83;9.82;-14.60;126.86;4.69;-21.51;100.71;0.23;-21.10;79.48;4.04;-19.86;75.21;5.20;21.97;122.15;9.79;26.36;97.92;9.50;22.93;76.07;14.73;21.29;69.12;15.60;-6.60;73.82;4.88;-10.40;38.57;3.95;-11.73;7.63;-5.00;-15.48;0.02;2.01;10.18;72.92;6.06;14.57;41.82;2.52;13.45;8.62;0.54;13.71;0.47;8.85
0,051;1.99;73.37;2.40;3.41;104.65;4.87;4.77;135.23;8.63;5.59;148.74;10.81;-14.58;126.77;5.42;-21.34;100.52;0.85;-20.94;79.29;4.67;-19.76;75.08;5.96;21.96;122.08;10.78;26.79;97.97;10.29;23.59;75.85;15.13;22.20;68.87;15.78;-6.41;73.77;5.40;-10.59;38.90;5.16;-12.02;7.74;-1.92;-15.18;0.46;6.21;10.35;72.87;6.63;14.67;41.83;2.82;13.45;8.61;0.59;13.68;0.43;8.86
0,086;2.11;73.32;2.97;3.40;104.58;5.55;4.62;135.13;9.43;5.38;148.65;11.69;-14.73;126.72;6.12;-21.33;100.37;1.55;-20.82;79.14;5.37;-19.73;74.95;6.76;21.82;122.03;11.65;27.10;98.01;10.99;24.14;75.63;15.50;22.97;68.62;15.98;-6.28;73.71;5.96;-10.68;39.23;6.10;-12.21;7.79;1.10;-14.78;0.83;10.34;10.45;72.84;7.21;14.73;41.81;3.16;13.43;8.57;0.66;13.66;0.37;8.90
0,118;2.13;73.32;3.60;3.27;104.55;6.22;4.32;135.07;10.14;4.99;148.58;12.51;-15.05;126.67;6.83;-21.45;100.24;2.26;-20.78;79.03;6.10;-19.79;74.83;7.60;21.56;122.05;12.37;27.26;98.02;11.61;24.52;75.50;15.81;23.57;68.48;16.22;-6.24;73.68;6.61;-10.70;39.52;6.79;-12.36;7.77;3.82;-14.40;1.17;14.08;10.46;72.86;7.81;14.73;41.77;3.53;13.39;8.54;0.75;13.68;0.31;8.92
0,152;2.10;73.35;4.24;3.02;104.57;6.87;3.84;135.08;10.78;4.49;148.55;13.20;-15.50;126.65;7.51;-21.71;100.16;3.05;-20.85;78.95;6.90;-19.95;74.76;8.43;21.20;122.12;12.95;27.28;98.01;12.15;24.75;75.49;16.12;23.90;68.45;16.59;-6.26;73.67;7.29;-10.70;39.75;7.31;-12.42;7.70;6.11;-14.08;1.52;17.30;10.42;72.92;8.42;14.66;41.71;3.92;13.32;8.48;0.86;13.71;0.23;8.96
0,185;1.97;73.40;4.98;2.67;104.63;7.55;3.26;135.15;11.40;3.86;148.59;13.76;-16.07;126.67;8.20;-22.15;100.17;3.92;-21.07;78.97;7.76;-20.23;74.66;9.30;20.75;122.22;13.47;27.11;98.05;12.56;24.75;75.73;16.55;23.94;68.64;17.05;-6.38;73.69;8.08;-10.71;39.92;7.77;-12.41;7.65;7.81;-13.84;1.91;19.83;10.29;73.01;9.11;14.48;41.63;4.38;13.25;8.40;0.96;13.77;0.14;9.03
0,219;1.75;73.47;5.73;2.22;104.72;8.21;2.59;135.27;11.96;3.09;148.70;14.25;-16.71;126.71;8.83;-22.73;100.31;4.80;-21.40;79.13;8.67;-20.59;74.63;10.22;20.22;122.37;13.91;26.74;98.19;12.87;24.60;76.01;16.98;23.65;68.98;17.61;-6.60;73.72;8.88;-10.77;40.03;8.26;-12.34;7.56;8.94;-13.67;2.24;21.66;10.07;73.12;9.79;14.25;41.55;4.85;13.14;8.29;1.08;13.85;0.04;9.13
0,251;1.43;73.57;6.48;1.68;104.83;8.85;1.84;135.39;12.48;2.28;148.83;14.70;-17.45;126.72;9.52;-23.46;100.58;5.69;-21.90;79.41;9.62;-21.09;74.65;11.18;19.65;122.61;14.27;26.24;98.38;13.14;24.23;76.33;17.45;23.04;69.40;18.23;-6.91;73.77;9.69;-10.89;40.06;8.76;-12.28;7.47;9.56;-13.55;2.62;23.06;9.74;73.26;10.50;13.96;41.47;5.31;13.03;8.18;1.20;13.94;-0.04;9.25
0,284;1.02;73.68;7.22;1.06;104.97;9.47;1.03;135.55;12.95;1.44;148.98;15.06;-18.21;126.74;10.20;-24.25;100.79;6.59;-22.46;79.64;10.55;-21.68;74.64;12.12;19.05;122.87;14.54;25.65;98.62;13.34;23.63;76.71;17.95;22.14;69.89;18.87;-7.33;73.84;10.50;-11.10;40.08;9.29;-12.28;7.44;9.81;-13.62;2.31;22.77;9.33;73.41;11.17;13.62;41.40;5.76;12.90;8.07;1.31;14.05;-0.11;9.37
0,320;0.53;73.79;7.93;0.40;105.11;10.05;0.19;135.72;13.41;0.61;149.13;15.39;-18.99;126.73;10.86;-25.04;100.94;7.43;-23.13;79.80;11.47;-22.37;74.56;12.99;18.43;123.11;14.76;24.92;98.87;13.53;22.79;77.14;18.45;20.95;70.50;19.45;-7.82;73.92;11.29;-11.45;40.11;9.86;-12.33;7.45;9.92;-13.72;1.80;21.93;8.87;73.55;11.80;13.25;41.34;6.17;12.77;7.99;1.41;14.16;-0.16;9.47
0,351;0.05;73.88;8.54;-0.26;105.24;10.57;-0.64;135.89;13.81;-0.22;149.28;15.69;-19.74;126.69;11.50;-25.88;101.09;8.30;-23.85;79.94;12.34;-23.05;74.45;13.76;17.76;123.35;14.93;24.11;99.17;13.72;21.74;77.64;18.91;19.55;71.13;19.95;-8.31;73.98;11.98;-11.86;40.16;10.41;-12.44;7.51;9.93;-13.87;1.32;21.00;8.40;73.67;12.35;12.85;41.33;6.53;12.67;7.92;1.49;14.25;-0.19;9.57
0,386;-0.44;73.94;9.09;-0.90;105.33;11.02;-1.41;136.01;14.16;-1.07;149.39;15.99;-20.43;126.64;12.15;-26.71;101.23;9.17;-24.58;80.08;13.22;-23.77;74.36;14.51;17.06;123.56;15.08;23.22;99.41;13.93;20.55;78.16;19.34;17.97;71.67;20.38;-8.81;74.02;12.59;-12.32;40.26;10.97;-12.55;7.56;9.91;-14.04;0.84;20.05;7.93;73.75;12.81;12.46;41.34;6.83;12.57;7.87;1.56;14.32;-0.20;9.67
0,418;-0.91;73.99;9.52;-1.52;105.41;11.41;-2.17;136.11;14.52;-1.87;149.49;16.30;-21.15;126.56;12.78;-27.52;101.34;10.00;-25.29;80.14;14.03;-24.50;74.25;15.21;16.31;123.76;15.21;22.25;99.61;14.17;18.95;78.18;19.81;16.21;71.95;20.73;-9.28;74.04;13.09;-12.82;40.37;11.48;-12.66;7.64;9.90;-14.22;0.38;19.11;7.47;73.83;13.19;12.07;41.32;7.06;12.47;7.84;1.63;14.38;-0.17;9.76
0,451;-1.36;74.01;9.85;-2.12;105.44;11.74;-2.93;136.16;14.84;-2.60;149.54;16.59;-21.85;126.45;13.37;-28.29;101.41;10.78;-25.95;80.11;14.76;-25.22;74.11;15.85;15.57;123.92;15.30;21.32;99.75;14.43;17.44;78.05;20.22;14.57;72.11;21.03;-9.73;74.02;13.48;-13.30;40.48;11.90;-12.74;7.70;9.88;-14.38;-0.09;18.16;7.03;73.87;13.46;11.70;41.28;7.22;12.37;7.85;1.70;14.43;-0.13;9.83
0,485;-1.79;73.99;10.09;-2.69;105.44;12.00;-3.63;136.18;15.14;-3.29;149.55;16.86;-22.54;126.35;13.92;-29.01;101.41;11.52;-26.56;80.04;15.40;-25.92;73.99;16.44;14.83;124.03;15.39;20.44;99.84;14.67;16.02;78.00;20.55;13.08;72.18;21.25;-10.16;73.98;13.80;-13.75;40.58;12.27;-12.82;7.76;9.85;-14.54;-0.58;17.18;6.60;73.89;13.63;11.33;41.24;7.37;12.26;7.87;1.77;14.47;-0.08;9.87
0,517;-2.22;73.96;10.24;-3.25;105.42;12.20;-4.32;136.16;15.39;-3.96;149.54;17.14;-23.23;126.24;14.41;-29.71;101.40;12.23;-27.17;79.91;16.02;-26.61;73.84;17.04;14.12;124.09;15.47;19.61;99.88;14.89;14.76;77.96;20.81;11.83;72.17;21.38;-10.57;73.92;14.02;-14.15;40.66;12.57;-12.89;7.81;9.81;-14.61;-0.81;16.66;6.16;73.90;13.70;11.00;41.20;7.48;12.16;7.89;1.83;14.50;-0.05;9.91
0,552;-2.67;73.92;10.33;-3.82;105.38;12.35;-4.99;136.12;15.61;-4.62;149.50;17.41;-23.88;126.13;14.85;-30.38;101.42;12.89;-27.75;79.81;16.61;-27.29;73.68;17.66;13.41;124.13;15.53;18.83;99.91;15.06;13.66;77.91;21.00;10.82;72.13;21.43;-11.01;73.84;14.17;-14.49;40.72;12.80;-12.94;7.76;9.77;-14.62;-0.85;16.68;5.70;73.89;13.72;10.72;41.18;7.55;12.07;7.89;1.90;14.53;-0.03;9.95
0,585;-3.11;73.87;10.40;-4.36;105.32;12.50;-5.62;136.06;15.83;-5.27;149.46;17.65;-24.51;126.04;15.23;-31.00;101.46;13.47;-28.28;79.77;17.15;-27.90;73.57;18.29;12.72;124.16;15.61;18.10;99.89;15.20;12.76;77.84;21.15;10.09;72.01;21.47;-11.43;73.77;14.29;-14.77;40.73;12.97;-12.98;7.69;9.74;-14.64;-0.90;16.70;5.25;73.87;13.73;10.48;41.15;7.60;11.98;7.88;1.95;14.54;-0.01;9.99
0,618;-3.56;73.83;10.45;-4.91;105.27;12.64;-6.29;136.00;16.08;-5.86;149.43;17.86;-25.12;125.97;15.57;-31.56;101.49;13.94;-28.76;79.73;17.62;-28.50;73.51;18.84;12.07;124.18;15.68;17.44;99.87;15.26;12.07;77.75;21.25;9.65;71.94;21.45;-11.86;73.70;14.40;-14.99;40.73;13.10;-13.01;7.60;9.72;-14.64;-0.99;16.70;4.80;73.85;13.72;10.25;41.11;7.64;11.88;7.87;2.02;14.54;0.00;10.05
0,651;-3.98;73.79;10.48;-5.45;105.23;12.77;-6.94;135.94;16.30;-6.44;149.41;18.05;-25.69;125.94;15.85;-32.08;101.51;14.33;-29.17;79.70;17.99;-28.97;73.48;19.27;11.49;124.20;15.73;16.85;99.91;15.26;11.72;77.88;21.24;9.49;71.97;21.38;-12.27;73.65;14.48;-15.17;40.74;13.19;-13.04;7.51;9.70;-14.63;-1.09;16.68;4.37;73.84;13.70;10.05;41.11;7.67;11.82;7.86;2.10;14.56;0.02;10.14
0,683;-4.40;73.78;10.50;-5.95;105.19;12.88;-7.50;135.88;16.50;-6.97;149.39;18.20;-26.21;125.93;16.11;-32.60;101.58;14.68;-29.55;79.70;18.31;-29.40;73.51;19.59;10.97;124.24;15.74;16.32;99.96;15.18;11.63;78.27;21.09;9.54;72.16;21.19;-12.67;73.62;14.55;-15.35;40.80;13.26;-13.06;7.39;9.67;-14.63;-1.21;16.67;3.94;73.84;13.66;9.91;41.13;7.69;11.77;7.88;2.20;14.56;0.06;10.24
0,719;-4.79;73.80;10.51;-6.39;105.18;12.97;-8.00;135.83;16.67;-7.47;149.37;18.39;-26.69;125.94;16.36;-33.07;101.68;14.97;-29.89;79.74;18.55;-29.76;73.57;19.77;10.50;124.28;15.73;15.82;100.01;15.06;11.55;78.60;20.89;9.59;72.40;20.91;-13.04;73.62;14.61;-15.51;40.87;13.31;-13.08;7.27;9.64;-14.64;-1.31;16.66;3.55;73.88;13.62;9.80;41.18;7.71;11.72;7.89;2.33;14.56;0.09;10.37
0,752;-5.12;73.83;10.50;-6.79;105.18;13.06;-8.50;135.81;16.86;-7.93;149.37;18.58;-27.12;125.97;16.59;-33.51;101.80;15.20;-30.18;79.82;18.72;-30.07;73.66;19.85;10.07;124.31;15.69;15.36;100.03;14.91;11.45;78.83;20.64;9.63;72.65;20.56;-13.37;73.62;14.65;-15.67;40.95;13.33;-13.10;7.19;9.62;-14.65;-1.39;16.65;3.21;73.94;13.56;9.74;41.26;7.75;11.69;7.91;2.51;14.57;0.10;10.51
