Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;4.04;78.24;-9.40;4.12;111.90;-9.61;4.16;144.74;-8.59;5.57;158.75;-8.28;-14.66;133.02;-6.74;-22.10;107.31;-12.87;-21.96;84.41;-13.29;-21.56;77.92;-13.46;23.22;131.13;-8.88;28.38;104.40;-14.95;30.76;81.77;-7.52;29.70;73.48;-4.45;-4.61;78.29;-4.78;-10.12;41.03;-5.05;-14.24;4.33;-6.65;-13.52;0.00;8.10;12.45;78.08;-6.29;14.68;41.04;-6.60;13.67;6.29;-8.10;14.10;1.95;6.65
0,032;4.03;78.24;-9.42;4.12;111.90;-9.62;4.15;144.74;-8.61;5.57;158.75;-8.31;-14.65;133.03;-6.74;-22.11;107.35;-12.85;-22.00;84.44;-13.28;-21.59;77.93;-13.31;23.22;131.13;-8.90;28.37;104.40;-14.97;30.75;81.80;-7.60;29.68;73.49;-4.43;-4.61;78.30;-4.80;-10.13;41.04;-5.06;-14.23;4.32;-6.66;-13.50;-0.01;8.09;12.45;78.09;-6.30;14.68;41.05;-6.61;13.66;6.33;-8.11;14.10;1.98;6.64
0,063;4.03;78.24;-9.43;4.11;111.90;-9.63;4.15;144.75;-8.62;5.57;158.75;-8.33;-14.64;133.03;-6.74;-22.11;107.40;-12.83;-22.04;84.46;-13.27;-21.60;77.94;-13.18;23.22;131.13;-8.92;28.36;104.40;-14.99;30.75;81.83;-7.68;29.65;73.49;-4.45;-4.60;78.30;-4.81;-10.14;41.04;-5.07;-14.22;4.31;-6.68;-13.49;-0.01;8.07;12.45;78.09;-6.31;14.68;41.05;-6.63;13.65;6.37;-8.13;14.09;2.02;6.62
0,098;4.03;78.24;-9.43;4.11;111.91;-9.64;4.14;144.75;-8.63;5.56;158.75;-8.35;-14.62;133.04;-6.73;-22.13;107.46;-12.80;-22.09;84.48;-13.25;-21.58;77.96;-12.97;23.22;131.13;-8.94;28.35;104.39;-15.00;30.74;81.87;-7.77;29.62;73.53;-4.46;-4.60;78.30;-4.82;-10.15;41.05;-5.08;-14.22;4.31;-6.69;-13.47;-0.02;8.06;12.45;78.09;-6.32;14.68;41.05;-6.64;13.63;6.40;-8.14;14.08;2.05;6.61
0,130;4.03;78.24;-9.45;4.11;111.90;-9.65;4.14;144.75;-8.63;5.56;158.74;-8.37;-14.61;133.04;-6.72;-22.14;107.53;-12.76;-22.14;84.52;-13.23;-21.58;77.99;-12.77;23.22;131.13;-8.96;28.34;104.39;-15.01;30.72;81.90;-7.84;29.60;73.55;-4.47;-4.61;78.30;-4.84;-10.16;41.06;-5.09;-14.21;4.31;-6.70;-13.46;-0.02;8.04;12.45;78.09;-6.33;14.67;41.05;-6.66;13.61;6.43;-8.16;14.07;2.08;6.59
0,165;4.03;78.24;-9.46;4.10;111.90;-9.66;4.13;144.74;-8.64;5.56;158.74;-8.39;-14.59;133.04;-6.71;-22.16;107.61;-12.71;-22.20;84.55;-13.18;-21.55;78.00;-12.55;23.22;131.14;-8.98;28.32;104.39;-15.03;30.71;81.91;-7.89;29.57;73.53;-4.46;-4.61;78.30;-4.86;-10.16;41.06;-5.11;-14.21;4.31;-6.71;-13.45;-0.02;8.03;12.44;78.09;-6.33;14.67;41.05;-6.68;13.60;6.46;-8.15;14.07;2.11;6.60
0,199;4.03;78.24;-9.47;4.10;111.90;-9.67;4.13;144.74;-8.65;5.56;158.73;-8.40;-14.59;133.04;-6.71;-22.18;107.68;-12.67;-22.25;84.59;-13.14;-21.55;78.03;-12.46;23.22;131.14;-9.00;28.31;104.39;-15.05;30.70;81.92;-7.92;29.55;73.52;-4.48;-4.61;78.29;-4.87;-10.17;41.07;-5.12;-14.21;4.31;-6.73;-13.45;-0.02;8.02;12.44;78.09;-6.34;14.67;41.05;-6.70;13.58;6.49;-8.16;14.05;2.13;6.58
0,231;4.03;78.23;-9.48;4.10;111.90;-9.68;4.12;144.73;-8.66;5.55;158.73;-8.41;-14.60;133.03;-6.72;-22.20;107.78;-12.63;-22.30;84.63;-13.10;-21.58;78.03;-12.37;23.21;131.14;-9.02;28.29;104.39;-15.07;30.69;81.94;-7.95;29.54;73.51;-4.49;-4.61;78.29;-4.89;-10.18;41.07;-5.13;-14.22;4.31;-6.74;-13.45;-0.02;8.01;12.44;78.08;-6.35;14.66;41.05;-6.72;13.56;6.51;-8.18;14.04;2.16;6.57
0,265;4.02;78.23;-9.49;4.09;111.89;-9.69;4.12;144.73;-8.67;5.54;158.72;-8.42;-14.61;133.02;-6.73;-22.22;107.89;-12.59;-22.34;84.65;-13.07;-21.57;77.99;-12.31;23.21;131.15;-9.05;28.27;104.40;-15.11;30.68;81.94;-7.98;29.52;73.50;-4.55;-4.61;78.28;-4.91;-10.18;41.07;-5.14;-14.22;4.31;-6.75;-13.45;-0.02;8.00;12.45;78.08;-6.36;14.66;41.05;-6.74;13.55;6.50;-8.21;14.03;2.15;6.54
0,298;4.02;78.22;-9.50;4.09;111.89;-9.71;4.12;144.73;-8.68;5.53;158.72;-8.42;-14.61;133.02;-6.74;-22.25;107.96;-12.56;-22.37;84.68;-13.05;-21.60;78.01;-12.28;23.19;131.16;-9.07;28.24;104.41;-15.14;30.58;81.48;-7.88;29.47;73.25;-4.58;-4.62;78.27;-4.92;-10.18;41.07;-5.15;-14.23;4.32;-6.75;-13.45;-0.01;7.99;12.45;78.08;-6.37;14.66;41.05;-6.76;13.54;6.49;-8.23;14.02;2.14;6.51
