Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;3.06;85.89;-0.11;4.31;118.54;1.21;5.63;150.32;3.84;5.85;164.42;6.36;-13.21;138.42;2.08;-20.06;111.37;-3.45;-22.28;87.61;2.31;-21.47;80.77;3.65;22.90;138.79;4.50;29.94;112.48;-1.27;33.88;88.02;4.77;33.37;81.50;6.32;-5.12;85.67;3.16;-6.57;45.42;1.45;-6.24;9.58;-3.18;-5.65;0.87;5.15;11.38;85.64;4.23;9.41;44.92;0.00;5.98;8.75;-5.09;5.90;0.00;3.12
0,025;3.08;85.90;-0.09;4.34;118.53;1.25;5.66;150.29;3.90;5.86;164.41;6.38;-13.20;138.41;2.12;-20.04;111.40;-3.40;-22.26;87.57;2.35;-21.47;80.72;3.65;22.92;138.79;4.53;29.96;112.49;-1.24;33.91;88.03;4.81;33.45;81.49;6.35;-5.10;85.68;3.19;-6.56;45.40;1.46;-6.22;9.58;-3.18;-5.67;0.86;5.15;11.40;85.65;4.25;9.42;44.93;0.01;5.94;8.69;-5.07;5.66;-0.03;3.18
0,053;3.10;85.90;-0.06;4.36;118.52;1.28;5.69;150.26;3.95;5.88;164.41;6.40;-13.17;138.41;2.16;-20.02;111.43;-3.35;-22.24;87.53;2.39;-21.45;80.69;3.65;22.93;138.79;4.57;29.98;112.50;-1.22;33.94;88.07;4.84;33.54;81.52;6.35;-5.08;85.68;3.22;-6.55;45.39;1.46;-6.21;9.56;-3.19;-5.71;0.86;5.16;11.42;85.65;4.29;9.42;44.94;0.01;5.90;8.65;-5.06;5.51;-0.05;3.22
0,087;3.13;85.90;-0.03;4.38;118.51;1.32;5.72;150.23;3.99;5.90;164.40;6.42;-13.15;138.41;2.21;-20.00;111.46;-3.31;-22.22;87.49;2.42;-21.38;80.70;3.70;22.95;138.79;4.60;30.00;112.50;-1.20;33.97;88.10;4.87;33.62;81.52;6.34;-5.06;85.68;3.25;-6.54;45.37;1.47;-6.19;9.55;-3.19;-5.76;0.85;5.17;11.45;85.65;4.33;9.43;44.95;0.02;5.88;8.61;-5.06;5.49;-0.08;3.24
0,119;3.16;85.90;0.00;4.41;118.50;1.35;5.74;150.21;4.03;5.91;164.40;6.43;-13.12;138.40;2.27;-19.98;111.48;-3.28;-22.19;87.45;2.46;-21.38;80.67;3.71;22.96;138.78;4.64;30.03;112.50;-1.18;34.00;88.13;4.89;33.71;81.54;6.29;-5.03;85.68;3.27;-6.54;45.37;1.47;-6.18;9.54;-3.20;-5.80;0.84;5.18;11.49;85.65;4.36;9.44;44.96;0.02;5.86;8.58;-5.06;5.52;-0.11;3.26
0,152;3.20;85.90;0.02;4.44;118.49;1.38;5.76;150.19;4.06;5.93;164.39;6.44;-13.09;138.39;2.32;-19.96;111.50;-3.26;-22.16;87.42;2.50;-21.33;80.65;3.68;22.98;138.78;4.68;30.06;112.50;-1.16;34.02;88.16;4.90;33.78;81.54;6.29;-4.99;85.68;3.29;-6.53;45.36;1.47;-6.17;9.53;-3.20;-5.83;0.83;5.18;11.53;85.64;4.39;9.44;44.97;0.02;5.84;8.55;-5.06;5.74;-0.15;3.20
0,186;3.23;85.90;0.04;4.46;118.48;1.40;5.77;150.18;4.08;5.94;164.39;6.45;-13.07;138.39;2.36;-19.94;111.51;-3.24;-22.13;87.39;2.54;-21.27;80.64;3.73;22.99;138.77;4.71;30.10;112.51;-1.15;34.05;88.19;4.92;33.85;81.54;6.31;-4.96;85.68;3.31;-6.53;45.36;1.46;-6.15;9.52;-3.20;-5.85;0.82;5.19;11.56;85.64;4.41;9.45;44.97;0.02;5.83;8.54;-5.05;5.67;-0.17;3.21
0,219;3.26;85.89;0.05;4.48;118.47;1.42;5.79;150.17;4.10;5.96;164.39;6.46;-13.04;138.39;2.41;-19.92;111.54;-3.22;-22.10;87.37;2.57;-21.21;80.65;3.73;23.01;138.77;4.74;30.14;112.51;-1.15;34.08;88.22;4.94;33.94;81.57;6.30;-4.93;85.68;3.32;-6.52;45.37;1.46;-6.13;9.50;-3.19;-5.87;0.81;5.20;11.59;85.64;4.42;9.46;44.97;0.02;5.84;8.54;-5.06;5.53;-0.15;3.24
0,253;3.29;85.89;0.06;4.50;118.47;1.43;5.79;150.17;4.11;5.97;164.40;6.47;-13.01;138.38;2.45;-19.90;111.56;-3.20;-22.08;87.36;2.60;-21.15;80.66;3.75;23.02;138.77;4.77;30.17;112.52;-1.15;34.11;88.24;4.96;34.00;81.60;6.28;-4.90;85.68;3.32;-6.52;45.37;1.45;-6.12;9.49;-3.19;-5.89;0.80;5.21;11.62;85.63;4.42;9.47;44.98;0.01;5.86;8.55;-5.07;5.52;-0.12;3.26
0,286;3.33;85.89;0.08;4.52;118.47;1.45;5.80;150.18;4.12;6.00;164.40;6.49;-12.99;138.38;2.50;-19.89;111.58;-3.18;-22.06;87.35;2.63;-21.10;80.68;3.79;23.04;138.77;4.78;30.22;112.51;-1.14;34.12;88.26;4.98;34.02;81.61;6.31;-4.87;85.68;3.34;-6.51;45.37;1.45;-6.11;9.49;-3.18;-5.90;0.80;5.23;11.66;85.63;4.44;9.48;44.99;0.01;5.87;8.56;-5.07;5.50;-0.09;3.29
0,319;3.37;85.89;0.09;4.54;118.48;1.47;5.80;150.19;4.13;6.03;164.40;6.51;-12.96;138.37;2.54;-19.87;111.60;-3.15;-22.02;87.34;2.67;-21.08;80.66;3.82;23.06;138.77;4.80;30.26;112.50;-1.13;34.13;88.26;5.00;34.05;81.67;6.42;-4.83;85.68;3.36;-6.51;45.38;1.45;-6.10;9.48;-3.17;-5.90;0.80;5.24;11.70;85.63;4.45;9.49;45.00;0.01;5.89;8.57;-5.08;5.39;-0.05;3.31
0,352;3.40;85.89;0.11;4.55;118.48;1.48;5.80;150.20;4.14;6.05;164.40;6.53;-12.95;138.36;2.57;-19.85;111.61;-3.12;-21.99;87.33;2.72;-21.07;80.66;3.84;23.07;138.78;4.82;30.30;112.49;-1.12;34.15;88.27;5.02;34.07;81.69;6.47;-4.79;85.68;3.38;-6.51;45.37;1.45;-6.09;9.48;-3.17;-5.93;0.80;5.26;11.74;85.63;4.46;9.50;45.01;0.00;5.90;8.59;-5.08;5.53;-0.04;3.29
0,385;3.43;85.90;0.13;4.57;118.48;1.50;5.80;150.20;4.16;6.08;164.40;6.56;-12.93;138.36;2.60;-19.83;111.62;-3.09;-21.96;87.32;2.77;-21.07;80.66;3.91;23.09;138.79;4.83;30.34;112.48;-1.11;34.16;88.27;5.06;34.09;81.69;6.55;-4.77;85.69;3.40;-6.50;45.37;1.45;-6.09;9.48;-3.16;-5.97;0.81;5.27;11.77;85.64;4.48;9.51;45.01;0.00;5.91;8.60;-5.08;5.51;-0.02;3.32
0,420;3.47;85.90;0.16;4.59;118.48;1.53;5.81;150.21;4.19;6.10;164.41;6.59;-12.92;138.36;2.62;-19.80;111.63;-3.07;-21.93;87.30;2.83;-21.05;80.65;3.93;23.11;138.80;4.85;30.36;112.47;-1.09;34.17;88.28;5.09;34.09;81.71;6.58;-4.74;85.69;3.43;-6.50;45.37;1.45;-6.08;9.49;-3.16;-6.03;0.82;5.28;11.80;85.64;4.51;9.52;45.02;0.00;5.93;8.62;-5.09;5.42;0.01;3.37
0,450;3.50;85.90;0.20;4.61;118.48;1.57;5.81;150.21;4.21;6.12;164.40;6.61;-12.91;138.36;2.63;-19.78;111.64;-3.05;-21.89;87.28;2.89;-21.04;80.64;3.94;23.13;138.80;4.87;30.39;112.45;-1.08;34.18;88.28;5.12;34.08;81.71;6.60;-4.71;85.69;3.47;-6.50;45.38;1.45;-6.08;9.50;-3.15;-6.08;0.82;5.28;11.84;85.65;4.54;9.53;45.04;0.00;5.97;8.67;-5.10;5.34;0.06;3.36
0,485;3.53;85.90;0.23;4.63;118.48;1.60;5.82;150.21;4.23;6.16;164.40;6.64;-12.90;138.36;2.65;-19.76;111.65;-3.03;-21.85;87.27;2.94;-21.04;80.59;3.95;23.15;138.81;4.88;30.41;112.44;-1.07;34.18;88.28;5.16;34.06;81.74;6.66;-4.69;85.69;3.51;-6.50;45.38;1.46;-6.08;9.50;-3.14;-6.10;0.82;5.27;11.88;85.65;4.57;9.54;45.05;0.01;5.99;8.71;-5.10;5.31;0.09;3.33
0,519;3.56;85.91;0.26;4.65;118.48;1.62;5.83;150.21;4.26;6.20;164.39;6.67;-12.88;138.36;2.66;-19.74;111.65;-3.01;-21.81;87.25;3.00;-21.04;80.60;3.95;23.17;138.81;4.90;30.43;112.43;-1.07;34.19;88.28;5.18;34.04;81.81;6.66;-4.67;85.69;3.54;-6.50;45.38;1.46;-6.07;9.50;-3.13;-6.12;0.81;5.27;11.91;85.65;4.60;9.55;45.06;0.01;6.00;8.72;-5.10;5.23;0.12;3.33
0,552;3.56;85.90;0.28;4.66;118.48;1.64;5.84;150.20;4.28;6.23;164.39;6.69;-12.88;138.36;2.66;-19.72;111.66;-3.00;-21.77;87.23;3.05;-21.02;80.60;3.92;23.19;138.81;4.92;30.43;112.43;-1.06;34.19;88.28;5.21;34.02;81.76;6.64;-4.66;85.69;3.56;-6.50;45.38;1.46;-6.07;9.50;-3.13;-6.14;0.81;5.27;11.91;85.65;4.61;9.56;45.07;0.01;6.04;8.78;-5.11;5.24;0.17;3.30
0,585;3.56;85.90;0.29;4.67;118.48;1.66;5.85;150.20;4.30;6.27;164.39;6.71;-12.86;138.36;2.67;-19.70;111.66;-2.98;-21.74;87.21;3.08;-21.01;80.60;3.90;23.21;138.81;4.92;30.43;112.43;-1.06;34.19;88.27;5.23;33.99;81.74;6.60;-4.65;85.69;3.57;-6.50;45.38;1.46;-6.06;9.50;-3.12;-6.16;0.80;5.27;11.90;85.64;4.62;9.57;45.07;0.01;6.06;8.81;-5.12;5.42;0.18;3.27
0,619;3.55;85.90;0.29;4.68;118.48;1.67;5.87;150.20;4.31;6.30;164.39;6.72;-12.85;138.36;2.68;-19.68;111.66;-2.97;-21.70;87.19;3.11;-20.99;80.60;3.90;23.23;138.81;4.93;30.44;112.42;-1.06;34.19;88.27;5.25;33.96;81.71;6.61;-4.65;85.69;3.58;-6.50;45.39;1.47;-6.06;9.50;-3.12;-6.16;0.80;5.26;11.88;85.63;4.61;9.58;45.07;0.01;6.09;8.84;-5.14;5.45;0.21;3.25
0,653;3.54;85.89;0.28;4.69;118.47;1.68;5.89;150.19;4.32;6.34;164.38;6.73;-12.83;138.36;2.69;-19.66;111.66;-2.96;-21.67;87.19;3.13;-20.97;80.63;3.89;23.25;138.82;4.93;30.44;112.42;-1.05;34.19;88.27;5.25;33.93;81.72;6.57;-4.66;85.69;3.58;-6.49;45.39;1.47;-6.05;9.49;-3.11;-6.17;0.79;5.26;11.86;85.62;4.60;9.59;45.08;0.01;6.11;8.88;-5.14;5.45;0.25;3.24
0,686;3.53;85.89;0.27;4.69;118.48;1.68;5.90;150.20;4.33;6.38;164.38;6.73;-12.82;138.36;2.69;-19.65;111.66;-2.94;-21.64;87.18;3.14;-20.94;80.66;3.89;23.27;138.82;4.92;30.44;112.42;-1.05;34.20;88.27;5.26;33.90;81.73;6.54;-4.65;85.70;3.57;-6.49;45.39;1.48;-6.04;9.49;-3.10;-6.17;0.78;5.26;11.84;85.61;4.59;9.60;45.09;0.01;6.11;8.90;-5.14;5.43;0.26;3.25
0,718;3.52;85.89;0.25;4.70;118.48;1.68;5.92;150.20;4.33;6.41;164.38;6.73;-12.81;138.36;2.70;-19.63;111.66;-2.93;-21.62;87.17;3.15;-20.93;80.68;3.87;23.29;138.83;4.92;30.43;112.41;-1.05;34.20;88.27;5.25;33.88;81.72;6.52;-4.65;85.70;3.55;-6.49;45.39;1.49;-6.03;9.49;-3.10;-6.19;0.78;5.26;11.82;85.60;4.57;9.61;45.11;0.02;6.10;8.88;-5.14;5.40;0.26;3.27
0,752;3.50;85.88;0.24;4.70;118.48;1.67;5.93;150.20;4.33;6.44;164.38;6.73;-12.80;138.36;2.71;-19.62;111.65;-2.92;-21.60;87.16;3.17;-20.90;80.72;3.89;23.31;138.83;4.91;30.43;112.41;-1.06;34.20;88.27;5.24;33.85;81.70;6.47;-4.66;85.70;3.53;-6.49;45.40;1.49;-6.03;9.48;-3.09;-6.22;0.78;5.27;11.78;85.59;4.55;9.62;45.13;0.03;6.08;8.87;-5.14;5.40;0.25;3.27
0,788;3.48;85.88;0.22;4.70;118.48;1.67;5.93;150.21;4.33;6.47;164.39;6.72;-12.79;138.35;2.71;-19.61;111.65;-2.91;-21.58;87.16;3.18;-20.92;80.74;3.91;23.32;138.83;4.90;30.42;112.41;-1.06;34.20;88.28;5.23;33.82;81.66;6.44;-4.67;85.70;3.52;-6.49;45.40;1.50;-6.02;9.48;-3.08;-6.24;0.78;5.28;11.76;85.58;4.54;9.62;45.15;0.03;6.06;8.85;-5.13;5.45;0.22;3.28
0,820;3.47;85.87;0.21;4.70;118.48;1.66;5.94;150.22;4.32;6.49;164.39;6.71;-12.78;138.35;2.71;-19.61;111.66;-2.90;-21.56;87.16;3.19;-20.96;80.75;3.91;23.33;138.84;4.89;30.41;112.41;-1.07;34.21;88.28;5.21;33.81;81.67;6.35;-4.67;85.70;3.50;-6.49;45.40;1.50;-6.02;9.48;-3.08;-6.26;0.78;5.28;11.74;85.57;4.53;9.63;45.16;0.04;6.03;8.82;-5.13;5.57;0.17;3.27
0,853;3.47;85.87;0.20;4.70;118.48;1.65;5.94;150.22;4.32;6.52;164.39;6.70;-12.78;138.35;2.71;-19.61;111.68;-2.90;-21.55;87.15;3.20;-20.99;80.73;3.93;23.33;138.84;4.88;30.41;112.41;-1.07;34.21;88.28;5.19;33.77;81.65;6.29;-4.68;85.69;3.49;-6.49;45.40;1.51;-6.01;9.48;-3.07;-6.26;0.78;5.29;11.74;85.57;4.53;9.64;45.20;0.05;6.02;8.83;-5.13;5.36;0.19;3.28
0,886;3.47;85.87;0.20;4.70;118.48;1.65;5.94;150.22;4.31;6.54;164.39;6.69;-12.77;138.34;2.71;-19.61;111.69;-2.90;-21.54;87.15;3.21;-21.00;80.69;3.91;23.34;138.84;4.87;30.39;112.41;-1.08;34.20;88.28;5.17;33.75;81.69;6.29;-4.67;85.69;3.49;-6.49;45.41;1.51;-6.01;9.48;-3.07;-6.25;0.78;5.30;11.75;85.56;4.53;9.66;45.23;0.07;6.00;8.82;-5.12;5.18;0.19;3.29
0,920;3.47;85.86;0.20;4.70;118.47;1.65;5.94;150.23;4.31;6.57;164.39;6.69;-12.78;138.33;2.70;-19.61;111.70;-2.90;-21.54;87.14;3.21;-21.02;80.66;3.91;23.34;138.84;4.87;30.38;112.42;-1.10;34.20;88.27;5.15;33.73;81.62;6.29;-4.67;85.69;3.48;-6.49;45.41;1.51;-6.07;9.55;-3.08;-6.21;0.83;5.27;11.75;85.56;4.54;9.67;45.26;0.08;5.97;8.79;-5.13;5.00;0.18;3.29
0,952;3.48;85.86;0.19;4.71;118.47;1.64;5.94;150.23;4.30;6.59;164.39;6.68;-12.78;138.32;2.69;-19.61;111.72;-2.91;-21.54;87.12;3.22;-21.02;80.63;3.94;23.34;138.84;4.86;30.37;112.42;-1.11;34.19;88.25;5.13;33.73;81.63;6.26;-4.67;85.68;3.47;-6.49;45.41;1.51;-6.12;9.60;-3.09;-6.17;0.88;5.24;11.76;85.56;4.54;9.67;45.28;0.09;5.96;8.77;-5.13;4.91;0.17;3.29
0,985;3.49;85.85;0.19;4.71;118.47;1.64;5.94;150.23;4.29;6.61;164.39;6.67;-12.78;138.32;2.67;-19.61;111.72;-2.92;-21.54;87.11;3.22;-21.04;80.61;3.91;23.34;138.83;4.86;30.37;112.42;-1.12;34.19;88.24;5.12;33.70;81.58;6.19;-4.67;85.68;3.46;-6.49;45.41;1.51;-6.16;9.66;-3.10;-6.13;0.92;5.21;11.78;85.55;4.55;9.68;45.28;0.09;5.96;8.76;-5.14;4.88;0.17;3.28
1,019;3.49;85.85;0.19;4.72;118.47;1.63;5.95;150.24;4.28;6.62;164.39;6.67;-12.78;138.31;2.66;-19.61;111.73;-2.93;-21.55;87.10;3.22;-21.03;80.58;3.92;23.34;138.83;4.85;30.36;112.42;-1.13;34.18;88.22;5.10;33.69;81.55;6.18;-4.66;85.68;3.45;-6.49;45.41;1.51;-6.20;9.71;-3.11;-6.09;0.96;5.17;11.79;85.56;4.55;9.68;45.28;0.10;5.96;8.76;-5.14;5.15;0.13;3.22
1,053;3.50;85.85;0.18;4.72;118.47;1.63;5.96;150.24;4.27;6.63;164.39;6.66;-12.78;138.30;2.65;-19.61;111.73;-2.93;-21.54;87.10;3.22;-21.03;80.56;3.92;23.35;138.83;4.83;30.35;112.42;-1.15;34.17;88.21;5.08;33.65;81.55;6.19;-4.66;85.68;3.44;-6.50;45.41;1.51;-6.24;9.75;-3.12;-6.06;0.99;5.14;11.80;85.56;4.54;9.69;45.29;0.10;5.96;8.76;-5.15;5.20;0.12;3.20
1,086;3.51;85.86;0.18;4.73;118.47;1.62;5.96;150.24;4.26;6.64;164.39;6.65;-12.78;138.30;2.63;-19.61;111.73;-2.94;-21.54;87.09;3.23;-21.00;80.57;3.92;23.35;138.83;4.81;30.33;112.40;-1.17;34.17;88.19;5.08;33.64;81.54;6.20;-4.65;85.68;3.43;-6.50;45.41;1.52;-6.26;9.79;-3.13;-6.03;1.01;5.10;11.80;85.56;4.54;9.69;45.29;0.10;5.96;8.75;-5.14;5.21;0.10;3.20
1,120;3.51;85.86;0.17;4.73;118.47;1.62;5.97;150.25;4.25;6.64;164.40;6.63;-12.79;138.29;2.62;-19.61;111.73;-2.95;-21.54;87.08;3.23;-20.98;80.62;3.90;23.35;138.83;4.79;30.32;112.38;-1.19;34.16;88.18;5.06;33.65;81.51;6.16;-4.65;85.68;3.42;-6.50;45.41;1.52;-6.29;9.83;-3.14;-5.99;1.04;5.07;11.81;85.57;4.53;9.69;45.27;0.09;5.95;8.73;-5.14;5.19;0.08;3.20
