Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;-1.73;69.59;-8.32;-1.98;101.76;-9.44;-2.21;133.25;-9.30;-1.11;146.55;-12.00;-19.25;120.41;-5.12;-26.04;94.10;-5.32;-23.60;71.78;1.01;-22.16;66.07;2.17;15.05;118.50;-8.38;21.08;93.00;-7.14;19.44;72.20;2.33;16.04;67.29;3.28;-9.49;69.82;-3.63;-12.01;39.21;-2.95;-13.38;8.02;-5.97;-9.34;0.00;-1.58;6.20;69.56;-5.28;9.49;40.42;-4.13;10.88;8.99;-3.19;11.83;5.08;10.75
0,034;-1.72;69.59;-8.33;-1.98;101.76;-9.46;-2.20;133.26;-9.34;-1.10;146.55;-12.02;-19.25;120.40;-5.14;-26.04;94.11;-5.32;-23.60;71.74;0.98;-22.15;65.99;2.14;15.07;118.48;-8.41;21.09;93.02;-7.17;19.48;72.23;2.31;16.05;67.32;3.28;-9.48;69.82;-3.64;-12.01;39.21;-2.96;-13.36;8.03;-5.97;-9.32;0.00;-1.60;6.21;69.56;-5.29;9.49;40.41;-4.13;10.87;9.00;-3.20;11.82;5.08;10.74
0,067;-1.71;69.58;-8.34;-1.98;101.76;-9.48;-2.21;133.26;-9.38;-1.09;146.56;-12.05;-19.25;120.39;-5.15;-26.04;94.11;-5.33;-23.63;71.75;0.93;-22.15;65.97;2.11;15.08;118.46;-8.43;21.11;93.04;-7.19;19.51;72.24;2.30;16.08;67.36;3.28;-9.48;69.81;-3.65;-12.02;39.22;-2.98;-13.34;8.03;-5.98;-9.31;0.00;-1.61;6.21;69.56;-5.30;9.49;40.40;-4.14;10.85;9.00;-3.22;11.80;5.09;10.72
0,100;-1.71;69.58;-8.35;-1.98;101.76;-9.50;-2.21;133.27;-9.41;-1.08;146.56;-12.08;-19.25;120.38;-5.16;-26.03;94.11;-5.34;-23.62;71.70;0.89;-22.18;65.92;2.05;15.09;118.44;-8.43;21.13;93.05;-7.22;19.54;72.26;2.28;16.10;67.39;3.28;-9.48;69.80;-3.65;-12.02;39.22;-2.98;-13.32;8.03;-5.98;-9.29;0.01;-1.62;6.22;69.55;-5.31;9.50;40.39;-4.14;10.83;9.00;-3.23;11.78;5.09;10.71
0,134;-1.71;69.57;-8.35;-1.98;101.76;-9.52;-2.21;133.27;-9.44;-1.09;146.56;-12.11;-19.25;120.37;-5.17;-26.03;94.11;-5.35;-23.61;71.61;0.87;-22.19;65.94;2.04;15.09;118.42;-8.44;21.14;93.06;-7.24;19.56;72.27;2.27;16.13;67.41;3.26;-9.48;69.80;-3.66;-12.03;39.22;-2.99;-13.32;8.04;-5.99;-9.25;0.03;-1.64;6.22;69.55;-5.32;9.49;40.38;-4.14;10.81;9.00;-3.24;11.76;5.09;10.70
0,167;-1.71;69.57;-8.36;-1.98;101.76;-9.53;-2.21;133.28;-9.46;-1.09;146.56;-12.15;-19.24;120.36;-5.18;-26.02;94.11;-5.35;-23.60;71.54;0.84;-22.18;65.94;2.01;15.10;118.40;-8.44;21.16;93.06;-7.25;19.55;72.27;2.24;16.13;67.38;3.26;-9.48;69.80;-3.67;-12.03;39.22;-2.99;-13.33;8.05;-5.99;-9.23;0.06;-1.65;6.22;69.54;-5.33;9.49;40.36;-4.15;10.80;9.02;-3.26;11.75;5.11;10.68
0,200;-1.72;69.56;-8.37;-1.98;101.76;-9.55;-2.20;133.28;-9.49;-1.10;146.56;-12.19;-19.24;120.36;-5.20;-26.02;94.09;-5.36;-23.60;71.57;0.79;-22.18;65.95;1.97;15.09;118.39;-8.45;21.16;93.07;-7.26;19.52;72.27;2.20;16.12;67.37;3.28;-9.49;69.79;-3.67;-12.04;39.23;-3.00;-13.34;8.06;-6.00;-9.23;0.07;-1.64;6.22;69.53;-5.34;9.49;40.36;-4.15;10.80;9.04;-3.27;11.75;5.13;10.67
0,234;-1.72;69.56;-8.38;-1.98;101.76;-9.56;-2.20;133.29;-9.51;-1.11;146.57;-12.24;-19.23;120.36;-5.22;-26.01;94.08;-5.37;-23.59;71.56;0.77;-22.16;65.93;1.97;15.09;118.39;-8.46;21.15;93.06;-7.26;19.48;72.25;2.16;16.10;67.32;3.25;-9.49;69.79;-3.68;-12.04;39.23;-3.00;-13.35;8.06;-6.01;-9.22;0.08;-1.63;6.21;69.53;-5.35;9.49;40.36;-4.15;10.80;9.06;-3.28;11.75;5.15;10.66
0,267;-1.73;69.56;-8.39;-1.98;101.76;-9.57;-2.20;133.29;-9.52;-1.12;146.57;-12.28;-19.22;120.36;-5.24;-26.01;94.06;-5.38;-23.58;71.59;0.75;-22.16;65.95;1.97;15.08;118.41;-8.49;21.14;93.07;-7.27;19.43;72.24;2.12;16.09;67.30;3.21;-9.50;69.79;-3.69;-12.05;39.23;-3.01;-13.36;8.06;-6.03;-9.23;0.08;-1.63;6.21;69.52;-5.36;9.49;40.37;-4.16;10.81;9.06;-3.30;11.75;5.15;10.64
0,301;-1.73;69.56;-8.41;-1.98;101.76;-9.58;-2.19;133.29;-9.53;-1.12;146.58;-12.32;-19.22;120.37;-5.26;-26.01;94.06;-5.40;-23.59;71.69;0.73;-22.20;66.01;1.95;15.08;118.45;-8.51;21.13;93.07;-7.27;19.38;72.23;2.07;16.06;67.21;3.18;-9.50;69.80;-3.70;-12.04;39.21;-3.02;-13.37;8.05;-6.05;-9.30;0.05;-1.63;6.20;69.52;-5.38;9.48;40.39;-4.16;10.82;9.05;-3.31;11.76;5.15;10.63
