Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;0.03;74.78;-2.16;1.02;105.90;-0.85;2.02;136.38;1.73;1.87;150.53;2.09;-15.61;123.30;3.35;-25.65;97.28;0.78;-23.98;74.52;5.15;-22.19;68.32;4.82;19.19;123.53;2.98;26.85;98.93;1.02;24.09;73.65;7.20;21.86;68.43;6.86;-8.08;74.88;1.58;-8.88;38.66;-2.38;-7.75;3.55;-4.41;0.64;2.76;4.94;7.92;74.56;1.56;7.90;38.06;-1.07;7.37;3.17;-5.04;-0.26;0.00;4.51
0,033;0.04;74.77;-2.14;1.04;105.89;-0.82;2.05;136.37;1.77;1.91;150.49;2.14;-15.63;123.27;3.38;-25.64;97.28;0.79;-23.88;74.31;5.10;-22.02;68.02;4.80;19.22;123.52;3.02;26.85;98.94;1.06;24.08;73.64;7.24;21.85;68.41;6.85;-8.06;74.87;1.60;-8.86;38.64;-2.34;-7.74;3.54;-4.39;0.60;2.74;5.03;7.93;74.54;1.58;7.91;38.04;-1.06;7.36;3.16;-5.04;-0.40;0.07;4.40
0,066;0.06;74.76;-2.13;1.07;105.87;-0.79;2.08;136.35;1.81;1.94;150.45;2.19;-15.63;123.24;3.42;-25.63;97.29;0.80;-23.80;74.08;5.04;-21.81;67.71;4.77;19.25;123.51;3.03;26.86;98.97;1.09;23.98;73.53;7.30;21.81;68.35;6.86;-8.04;74.86;1.62;-8.86;38.63;-2.32;-7.75;3.52;-4.38;0.67;2.71;4.95;7.96;74.53;1.59;7.91;38.02;-1.05;7.34;3.15;-5.04;-0.26;0.22;4.71
0,098;0.09;74.75;-2.12;1.09;105.87;-0.77;2.10;136.35;1.84;1.98;150.42;2.23;-15.63;123.22;3.46;-25.62;97.30;0.81;-23.73;73.93;5.01;-21.61;67.43;4.72;19.28;123.50;3.04;26.86;98.99;1.12;23.96;73.43;7.30;21.74;68.26;6.86;-8.02;74.85;1.63;-8.86;38.62;-2.30;-7.75;3.52;-4.37;0.80;2.71;4.74;7.99;74.52;1.60;7.90;38.01;-1.04;7.31;3.14;-5.03;-0.22;0.28;4.86
0,133;0.11;74.75;-2.11;1.11;105.87;-0.76;2.13;136.34;1.86;2.02;150.40;2.29;-15.63;123.21;3.48;-25.61;97.32;0.81;-23.66;73.83;4.98;-21.47;67.16;4.65;19.29;123.56;3.03;26.86;99.01;1.14;24.06;73.66;7.23;21.73;68.35;6.84;-7.99;74.86;1.64;-8.87;38.63;-2.29;-7.77;3.52;-4.35;0.96;2.74;4.50;8.02;74.52;1.61;7.89;38.02;-1.03;7.30;3.14;-5.02;-0.35;0.19;4.67
0,167;0.13;74.76;-2.11;1.13;105.87;-0.74;2.15;136.34;1.88;2.06;150.38;2.33;-15.63;123.20;3.50;-25.59;97.33;0.81;-23.61;73.76;4.96;-21.40;67.09;4.65;19.31;123.61;3.01;26.84;98.93;1.16;24.16;73.93;7.15;21.75;68.48;6.84;-7.97;74.86;1.65;-8.89;38.64;-2.30;-7.79;3.53;-4.32;1.17;2.78;4.18;8.05;74.53;1.61;7.92;38.02;-1.03;7.33;3.14;-5.00;-0.60;0.24;4.33
0,199;0.17;74.76;-2.10;1.15;105.87;-0.73;2.16;136.33;1.92;2.09;150.38;2.38;-15.63;123.19;3.52;-25.57;97.33;0.82;-23.56;73.70;4.94;-21.32;67.04;4.66;19.33;123.63;2.98;26.83;98.89;1.21;24.29;74.25;7.07;21.81;68.81;6.87;-7.93;74.86;1.66;-8.89;38.65;-2.31;-7.80;3.53;-4.30;1.33;2.82;3.93;8.09;74.53;1.62;7.96;38.03;-1.03;7.36;3.15;-4.99;-0.68;0.16;4.18
0,232;0.20;74.76;-2.10;1.17;105.86;-0.71;2.17;136.33;1.95;2.12;150.37;2.41;-15.62;123.17;3.54;-25.50;97.57;0.84;-23.65;74.02;4.90;-21.39;67.26;4.73;19.35;123.65;2.97;26.81;98.81;1.24;24.37;74.34;7.03;21.85;68.94;6.89;-7.90;74.86;1.66;-8.90;38.65;-2.32;-7.83;3.53;-4.26;1.41;2.89;3.80;8.11;74.53;1.63;7.98;38.03;-1.03;7.47;3.14;-4.95;-0.71;0.08;4.00
0,265;0.23;74.77;-2.08;1.19;105.87;-0.69;2.19;136.33;1.98;2.15;150.37;2.46;-15.61;123.17;3.55;-25.41;97.85;0.89;-23.78;74.36;4.91;-21.45;67.43;4.76;19.35;123.67;2.97;26.80;98.75;1.29;24.40;74.27;7.03;21.90;69.06;6.94;-7.87;74.87;1.67;-8.91;38.66;-2.31;-7.86;3.54;-4.23;1.34;2.95;3.93;8.14;74.54;1.65;8.00;38.04;-1.02;7.53;3.15;-4.91;-0.61;0.00;4.04
0,299;0.25;74.77;-2.07;1.20;105.87;-0.67;2.19;136.32;2.01;2.18;150.38;2.49;-15.58;123.19;3.57;-25.35;97.96;0.92;-23.90;74.69;4.94;-21.49;67.57;4.80;19.37;123.69;2.97;26.79;98.67;1.32;24.47;74.32;7.05;21.96;69.16;6.98;-7.85;74.88;1.68;-8.92;38.67;-2.31;-7.88;3.54;-4.20;1.29;2.98;4.03;8.16;74.55;1.67;8.02;38.05;-1.02;7.58;3.15;-4.88;-0.62;-0.14;3.91
0,332;0.27;74.78;-2.05;1.22;105.87;-0.64;2.18;136.31;2.05;2.20;150.38;2.53;-15.58;123.19;3.57;-25.29;98.06;0.95;-24.00;74.98;4.98;-21.53;67.66;4.85;19.38;123.70;2.99;26.78;98.57;1.35;24.58;74.51;7.03;22.02;69.28;7.05;-7.83;74.88;1.70;-8.92;38.67;-2.29;-7.89;3.55;-4.17;1.23;3.01;4.14;8.18;74.55;1.68;8.05;38.06;-1.01;7.63;3.16;-4.86;-0.66;-0.30;3.74
