Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;1.09;64.63;-6.38;1.30;94.57;-4.97;1.53;123.82;-2.35;2.86;134.58;-3.53;-11.92;113.94;1.93;-22.23;87.97;-3.21;-24.81;65.37;-0.67;-23.67;61.29;0.23;18.45;112.49;-3.84;24.09;87.76;-10.12;24.21;67.11;-4.24;22.92;61.96;-3.02;-5.68;64.82;-1.64;-10.41;35.16;-2.40;-10.22;4.10;-5.58;-8.19;0.00;7.66;8.11;64.36;-3.49;9.63;35.19;-3.74;8.28;4.28;-7.66;10.13;0.18;5.58
0,023;1.07;64.63;-6.39;1.29;94.58;-4.98;1.54;123.81;-2.35;2.86;134.58;-3.53;-11.92;113.94;1.93;-22.23;87.96;-3.20;-24.77;65.08;-0.38;-23.68;61.17;0.25;18.45;112.49;-3.83;24.10;87.76;-10.10;24.20;67.12;-4.21;22.95;61.95;-3.03;-5.69;64.82;-1.65;-10.42;35.15;-2.40;-10.24;4.09;-5.59;-8.21;-0.01;7.65;8.09;64.36;-3.48;9.63;35.19;-3.75;8.28;4.28;-7.66;10.13;0.18;5.58
0,049;1.05;64.64;-6.39;1.29;94.58;-4.98;1.55;123.81;-2.35;2.85;134.58;-3.53;-11.92;113.95;1.92;-22.22;87.96;-3.20;-24.85;65.25;-0.31;-23.72;61.24;0.26;18.45;112.50;-3.83;24.10;87.75;-10.08;24.19;67.11;-4.18;22.95;61.91;-3.03;-5.71;64.84;-1.66;-10.43;35.15;-2.41;-10.25;4.09;-5.60;-8.22;-0.01;7.64;8.07;64.37;-3.48;9.63;35.20;-3.75;8.29;4.29;-7.66;10.13;0.18;5.58
0,083;1.03;64.64;-6.39;1.29;94.58;-4.98;1.55;123.81;-2.35;2.84;134.58;-3.54;-11.92;113.95;1.92;-22.22;87.96;-3.18;-24.84;65.24;-0.29;-23.73;61.26;0.21;18.46;112.50;-3.83;24.11;87.74;-10.05;24.17;67.10;-4.16;22.95;61.91;-3.00;-5.73;64.85;-1.66;-10.43;35.15;-2.41;-10.25;4.10;-5.61;-8.23;0.00;7.62;8.05;64.37;-3.47;9.63;35.20;-3.75;8.30;4.29;-7.66;10.14;0.19;5.59
0,117;1.01;64.65;-6.39;1.29;94.58;-4.98;1.56;123.81;-2.35;2.83;134.59;-3.54;-11.92;113.95;1.92;-22.22;87.96;-3.18;-24.83;65.25;-0.27;-23.70;61.24;0.23;18.45;112.50;-3.82;24.11;87.74;-10.04;24.17;67.10;-4.13;22.96;61.88;-2.95;-5.76;64.86;-1.67;-10.44;35.15;-2.41;-10.26;4.10;-5.62;-8.23;0.00;7.61;8.03;64.37;-3.46;9.62;35.21;-3.75;8.32;4.30;-7.65;10.16;0.19;5.59
0,150;0.99;64.65;-6.39;1.28;94.59;-4.98;1.57;123.80;-2.35;2.82;134.58;-3.55;-11.92;113.96;1.92;-22.23;87.97;-3.19;-24.94;65.42;-0.26;-23.72;61.30;0.25;18.45;112.51;-3.80;24.11;87.76;-10.02;24.16;67.13;-4.11;22.96;61.87;-2.91;-5.78;64.87;-1.67;-10.44;35.16;-2.41;-10.26;4.10;-5.63;-8.24;0.00;7.60;8.01;64.37;-3.46;9.62;35.22;-3.75;8.35;4.30;-7.65;10.18;0.20;5.59
0,183;0.98;64.65;-6.39;1.28;94.59;-4.98;1.58;123.80;-2.36;2.80;134.58;-3.55;-11.91;113.96;1.92;-22.23;87.97;-3.18;-25.17;65.77;-0.28;-23.83;61.45;0.33;18.44;112.51;-3.79;24.12;87.77;-9.99;24.16;67.13;-4.08;22.99;61.85;-2.88;-5.80;64.87;-1.67;-10.44;35.16;-2.42;-10.25;4.11;-5.64;-8.24;0.01;7.60;8.01;64.37;-3.46;9.62;35.23;-3.75;8.37;4.31;-7.65;10.19;0.20;5.59
0,217;0.98;64.66;-6.39;1.28;94.59;-4.98;1.58;123.80;-2.36;2.79;134.59;-3.55;-11.91;113.95;1.92;-22.24;87.96;-3.15;-25.34;66.24;-0.28;-23.87;61.67;0.44;18.44;112.52;-3.77;24.13;87.77;-9.97;24.16;67.13;-4.06;23.01;61.86;-2.89;-5.81;64.88;-1.67;-10.45;35.17;-2.42;-10.25;4.11;-5.64;-8.23;0.01;7.60;8.00;64.37;-3.46;9.62;35.23;-3.75;8.38;4.31;-7.65;10.21;0.21;5.60
0,250;0.97;64.66;-6.40;1.28;94.59;-4.98;1.58;123.81;-2.35;2.78;134.59;-3.55;-11.91;113.95;1.93;-22.24;87.96;-3.14;-25.36;66.47;-0.53;-23.91;61.78;0.44;18.43;112.53;-3.76;24.13;87.75;-9.95;24.16;67.12;-4.04;22.99;61.88;-2.92;-5.82;64.88;-1.67;-10.45;35.17;-2.42;-10.24;4.12;-5.63;-8.23;0.02;7.61;8.00;64.37;-3.46;9.62;35.24;-3.75;8.38;4.32;-7.65;10.21;0.21;5.60
0,285;0.97;64.66;-6.40;1.27;94.59;-4.99;1.57;123.81;-2.35;2.77;134.60;-3.54;-11.90;113.94;1.95;-22.25;87.95;-3.11;-25.29;66.41;-0.78;-23.90;61.80;0.46;18.42;112.54;-3.75;24.13;87.73;-9.93;24.17;67.09;-4.02;22.98;61.85;-2.85;-5.82;64.88;-1.67;-10.46;35.18;-2.43;-10.24;4.12;-5.62;-8.23;0.02;7.62;8.00;64.37;-3.48;9.61;35.25;-3.76;8.38;4.33;-7.65;10.21;0.22;5.59
