Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;-0.77;71.59;3.16;-0.53;101.43;-2.17;-0.26;130.70;-6.16;-1.17;145.34;-8.08;-18.08;117.81;-7.01;-23.16;92.59;-9.81;-23.42;69.47;-1.12;-24.75;64.29;0.56;15.65;117.23;1.21;24.62;94.94;0.88;23.98;71.74;9.10;22.20;65.77;10.55;-7.00;71.34;5.29;-6.72;35.55;-0.28;-6.73;7.12;-3.07;-5.47;0.00;2.79;5.19;71.71;8.23;5.94;34.44;-0.76;7.08;5.46;-4.19;5.12;0.68;4.47
0,021;-0.72;71.59;3.20;-0.49;101.43;-2.16;-0.23;130.71;-6.18;-1.13;145.35;-8.07;-18.06;117.80;-7.00;-23.14;92.61;-9.84;-23.40;69.40;-1.07;-24.74;64.29;0.58;15.68;117.25;1.20;24.65;94.91;0.89;23.92;71.34;9.18;22.16;65.75;10.54;-6.95;71.34;5.34;-6.77;35.57;-0.29;-6.72;7.15;-3.06;-5.44;-0.01;2.80;5.25;71.71;8.27;6.00;34.49;-0.73;7.05;5.58;-4.17;5.15;0.78;4.50
0,050;-0.68;71.59;3.22;-0.47;101.43;-2.15;-0.21;130.72;-6.19;-1.09;145.35;-8.06;-18.05;117.79;-7.00;-23.12;92.62;-9.87;-23.40;69.25;-1.06;-24.74;64.29;0.47;15.71;117.26;1.21;24.67;94.88;0.90;23.87;70.96;9.26;22.13;65.71;10.52;-6.92;71.33;5.37;-6.82;35.62;-0.30;-6.71;7.15;-3.05;-5.42;-0.01;2.81;5.29;71.71;8.28;6.04;34.52;-0.73;6.96;5.72;-4.15;5.06;1.16;4.91
0,084;-0.66;71.58;3.24;-0.45;101.44;-2.15;-0.18;130.73;-6.20;-1.06;145.36;-8.06;-18.04;117.78;-7.01;-23.11;92.62;-9.90;-23.49;69.62;-1.24;-24.67;64.61;0.42;15.74;117.27;1.21;24.69;94.85;0.90;23.80;70.44;9.41;22.15;65.58;10.56;-6.89;71.32;5.38;-6.85;35.66;-0.28;-6.72;7.15;-3.02;-5.39;-0.04;2.83;5.31;71.70;8.29;6.04;34.53;-0.76;6.88;5.83;-4.16;4.95;1.51;5.32
0,116;-0.63;71.58;3.25;-0.42;101.44;-2.15;-0.16;130.72;-6.22;-1.03;145.35;-8.06;-18.03;117.77;-7.02;-23.08;92.55;-9.89;-23.52;69.84;-1.34;-24.66;64.68;0.37;15.76;117.29;1.21;24.70;94.83;0.90;23.72;69.91;9.56;22.11;65.45;10.61;-6.85;71.32;5.39;-6.75;35.71;-0.26;-6.73;7.16;-3.01;-5.41;-0.02;2.88;5.34;71.70;8.30;6.07;34.57;-0.78;6.78;5.93;-4.17;4.84;1.86;5.72
0,149;-0.61;71.57;3.24;-0.41;101.43;-2.15;-0.13;130.72;-6.21;-1.00;145.35;-8.07;-18.02;117.76;-7.03;-23.06;92.49;-9.87;-23.55;70.11;-1.47;-24.58;64.84;0.35;15.77;117.30;1.21;24.72;94.80;0.91;23.68;69.50;9.66;22.07;65.33;10.60;-6.84;71.31;5.39;-6.63;35.75;-0.22;-6.72;7.19;-3.01;-5.45;-0.01;2.94;5.36;71.69;8.30;6.14;34.64;-0.77;6.61;6.03;-4.14;4.67;1.96;5.75
0,182;-0.60;71.56;3.22;-0.39;101.43;-2.15;-0.09;130.72;-6.22;-0.97;145.35;-8.06;-18.01;117.75;-7.04;-23.04;92.41;-9.83;-23.57;70.36;-1.57;-24.56;64.96;0.35;15.77;117.30;1.20;24.74;94.78;0.92;23.66;69.29;9.70;22.06;65.30;10.60;-6.84;71.31;5.37;-6.50;35.78;-0.18;-6.74;7.20;-3.01;-5.49;-0.01;2.99;5.37;71.68;8.27;6.19;34.70;-0.76;6.53;6.07;-4.12;4.58;2.00;5.77
0,217;-0.58;71.56;3.23;-0.37;101.43;-2.15;-0.06;130.72;-6.22;-0.94;145.35;-8.05;-17.99;117.74;-7.05;-23.01;92.34;-9.78;-23.58;70.55;-1.62;-24.55;64.97;0.41;15.77;117.29;1.22;24.75;94.76;0.92;23.65;69.18;9.72;22.05;65.29;10.59;-6.81;71.31;5.40;-6.38;35.82;-0.13;-6.75;7.19;-3.01;-5.54;0.04;3.05;5.39;71.68;8.27;6.20;34.74;-0.75;6.59;6.07;-4.04;4.58;2.25;6.24
0,249;-0.55;71.57;3.26;-0.35;101.43;-2.13;-0.03;130.72;-6.21;-0.91;145.35;-8.05;-17.97;117.74;-7.05;-23.00;92.30;-9.75;-23.59;70.69;-1.63;-24.55;64.95;0.35;15.79;117.29;1.24;24.77;94.74;0.92;23.64;69.12;9.74;22.05;65.28;10.62;-6.78;71.32;5.44;-6.29;35.91;-0.07;-6.76;7.19;-3.02;-5.59;0.08;3.11;5.41;71.68;8.28;6.17;34.72;-0.74;6.59;6.01;-3.96;4.46;2.70;7.10
0,284;-0.54;71.58;3.28;-0.33;101.44;-2.12;0.00;130.72;-6.22;-0.88;145.35;-8.05;-17.95;117.74;-7.04;-22.99;92.27;-9.74;-23.57;70.85;-1.63;-24.52;64.97;0.47;15.80;117.28;1.26;24.79;94.71;0.93;23.64;69.07;9.76;22.07;65.27;10.57;-6.77;71.34;5.48;-6.17;35.98;0.00;-6.76;7.21;-3.04;-5.61;0.09;3.15;5.42;71.68;8.27;6.15;34.70;-0.73;6.58;5.94;-3.91;4.39;2.88;7.54
0,315;-0.52;71.58;3.30;-0.31;101.44;-2.12;0.03;130.72;-6.23;-0.84;145.34;-8.04;-17.93;117.75;-7.04;-22.97;92.22;-9.72;-23.45;70.65;-1.45;-24.48;64.87;0.54;15.80;117.27;1.26;24.81;94.68;0.93;23.63;69.01;9.78;22.05;65.26;10.53;-6.75;71.35;5.53;-6.11;36.01;0.03;-6.79;7.19;-3.03;-5.58;0.13;3.16;5.44;71.68;8.26;6.13;34.69;-0.71;6.61;5.87;-3.88;4.42;2.81;7.57
0,351;-0.50;71.59;3.33;-0.29;101.44;-2.11;0.07;130.73;-6.25;-0.81;145.34;-8.03;-17.92;117.75;-7.03;-22.95;92.20;-9.70;-23.38;70.36;-1.32;-24.47;64.79;0.58;15.80;117.27;1.25;24.82;94.65;0.93;23.62;68.96;9.80;22.02;65.24;10.57;-6.73;71.35;5.57;-6.13;36.04;0.07;-6.82;7.19;-3.03;-5.54;0.16;3.15;5.46;71.69;8.26;6.12;34.67;-0.69;6.62;5.82;-3.84;4.51;2.29;6.83
0,385;-0.47;71.60;3.37;-0.26;101.46;-2.11;0.10;130.76;-6.29;-0.78;145.35;-8.02;-17.90;117.75;-7.03;-22.94;92.22;-9.70;-23.34;70.11;-1.25;-24.46;64.70;0.57;15.78;117.26;1.23;24.84;94.63;0.93;23.61;68.91;9.81;22.02;65.22;10.52;-6.69;71.37;5.64;-6.19;36.04;0.08;-6.84;7.17;-3.04;-5.52;0.17;3.13;5.49;71.70;8.27;6.12;34.65;-0.68;6.66;5.76;-3.83;4.55;2.22;6.84
0,417;-0.43;71.62;3.41;-0.23;101.47;-2.10;0.14;130.79;-6.34;-0.76;145.37;-8.01;-17.88;117.75;-7.03;-22.93;92.23;-9.71;-23.34;69.94;-1.24;-24.53;64.56;0.58;15.80;117.27;1.20;24.85;94.61;0.93;23.60;68.86;9.82;22.01;65.19;10.52;-6.65;71.39;5.70;-6.28;36.02;0.08;-6.87;7.16;-3.04;-5.49;0.18;3.11;5.52;71.71;8.29;6.10;34.62;-0.69;6.69;5.74;-3.85;4.58;2.21;6.82
