Time [sec];HipCenter_X [cm];HipCenter_Y [cm];HipCenter_Z [cm];Spine_X [cm];Spine_Y [cm];Spine_Z [cm];ShoulderCenter_X [cm];ShoulderCenter_Y [cm];ShoulderCenter_Z [cm];Head_X [cm];Head_Y [cm];Head_Z [cm];ShoulderLeft_X [cm];ShoulderLeft_Y [cm];ShoulderLeft_Z [cm];ElbowLeft_X [cm];ElbowLeft_Y [cm];ElbowLeft_Z [cm];WristLeft_X [cm];WristLeft_Y [cm];WristLeft_Z [cm];HandLeft_X [cm];HandLeft_Y [cm];HandLeft_Z [cm];ShoulderRight_X [cm];ShoulderRight_Y [cm];ShoulderRight_Z [cm];ElbowRight_X [cm];ElbowRight_Y [cm];ElbowRight_Z [cm];WristRight_X [cm];WristRight_Y [cm];WristRight_Z [cm];HandRight_X [cm];HandRight_Y [cm];HandRight_Z [cm];HipLeft_X [cm];HipLeft_Y [cm];HipLeft_Z [cm];KneeLeft_X [cm];KneeLeft_Y [cm];KneeLeft_Z [cm];AnkleLeft_X [cm];AnkleLeft_Y [cm];AnkleLeft_Z [cm];FootLeft_X [cm];FootLeft_Y [cm];FootLeft_Z [cm];HipRight_X [cm];HipRight_Y [cm];HipRight_Z [cm];KneeRight_X [cm];KneeRight_Y [cm];KneeRight_Z [cm];AnkleRight_X [cm];AnkleRight_Y [cm];AnkleRight_Z [cm];FootRight_X [cm];FootRight_Y [cm];FootRight_Z [cm]
0,000;2.52;77.13;-3.03;2.56;109.69;-5.40;2.65;141.49;-6.49;3.75;155.69;-7.99;-16.33;128.76;-1.36;-23.34;102.77;1.18;-21.17;79.73;9.56;-19.35;72.38;9.82;21.22;127.92;-6.58;26.80;99.95;-4.41;25.86;76.90;3.29;23.21;69.94;3.96;-5.93;77.41;2.03;-11.11;40.28;-1.93;-13.05;6.81;-5.53;-11.84;0.00;5.97;11.39;76.84;-0.23;12.04;39.88;-4.02;11.59;6.34;-7.87;13.30;1.92;7.43
0,030;2.52;77.13;-3.03;2.56;109.69;-5.41;2.65;141.50;-6.53;3.77;155.69;-8.01;-16.34;128.76;-1.38;-23.34;102.76;1.17;-21.16;79.71;9.57;-19.35;72.39;9.84;21.23;127.91;-6.59;26.80;99.95;-4.42;25.88;77.02;3.26;23.20;69.98;3.93;-5.94;77.42;2.03;-11.10;40.32;-1.93;-13.07;6.90;-5.55;-11.77;0.06;5.86;11.39;76.84;-0.24;12.04;39.88;-4.02;11.60;6.34;-7.88;13.30;1.92;7.43
0,065;2.52;77.13;-3.03;2.56;109.70;-5.42;2.65;141.50;-6.55;3.78;155.68;-8.03;-16.34;128.76;-1.41;-23.34;102.76;1.17;-21.16;79.70;9.57;-19.32;72.39;9.85;21.23;127.91;-6.61;26.80;99.95;-4.43;25.87;77.03;3.27;23.20;70.00;3.93;-5.94;77.42;2.02;-11.11;40.34;-1.93;-13.09;6.95;-5.57;-11.73;0.12;5.87;11.39;76.85;-0.24;12.04;39.88;-4.02;11.61;6.33;-7.88;13.31;1.92;7.43
0,099;2.52;77.14;-3.04;2.55;109.70;-5.43;2.65;141.50;-6.58;3.79;155.67;-8.06;-16.34;128.76;-1.43;-23.33;102.75;1.17;-21.16;79.68;9.57;-19.31;72.35;9.83;21.24;127.91;-6.62;26.80;99.95;-4.44;25.89;77.15;3.25;23.21;69.99;3.92;-5.94;77.43;2.02;-11.11;40.35;-1.93;-13.12;6.98;-5.59;-11.80;-0.18;5.35;11.39;76.85;-0.25;12.04;39.88;-4.03;11.62;6.33;-7.88;13.32;1.92;7.42
0,131;2.52;77.14;-3.04;2.56;109.70;-5.44;2.67;141.49;-6.59;3.80;155.66;-8.08;-16.34;128.75;-1.46;-23.32;102.74;1.16;-21.15;79.67;9.57;-19.31;72.33;9.84;21.24;127.91;-6.64;26.80;99.95;-4.46;25.92;77.32;3.21;23.20;69.94;3.90;-5.94;77.43;2.02;-11.11;40.37;-1.93;-13.14;7.01;-5.61;-11.99;-0.83;4.26;11.39;76.85;-0.25;12.04;39.88;-4.03;11.64;6.34;-7.89;13.33;1.92;7.42
0,166;2.52;77.14;-3.04;2.56;109.70;-5.45;2.68;141.47;-6.60;3.81;155.65;-8.11;-16.33;128.75;-1.49;-23.32;102.74;1.16;-21.15;79.70;9.57;-19.27;72.31;9.85;21.24;127.92;-6.65;26.80;99.95;-4.47;25.94;77.39;3.19;23.21;69.86;3.89;-5.94;77.43;2.02;-11.12;40.38;-1.92;-13.14;7.04;-5.62;-12.16;-1.49;3.16;11.39;76.85;-0.26;12.04;39.88;-4.03;11.66;6.35;-7.90;13.34;1.93;7.41
0,198;2.52;77.15;-3.04;2.57;109.69;-5.45;2.71;141.44;-6.60;3.80;155.63;-8.12;-16.33;128.75;-1.52;-23.32;102.73;1.16;-21.16;79.73;9.56;-19.25;72.31;9.83;21.23;127.92;-6.66;26.80;99.94;-4.47;25.95;77.42;3.18;23.23;69.80;3.85;-5.94;77.44;2.02;-11.12;40.40;-1.92;-13.14;7.05;-5.63;-12.32;-2.16;2.04;11.40;76.86;-0.26;12.04;39.87;-4.03;11.66;6.35;-7.91;13.35;1.93;7.40
0,232;2.52;77.15;-3.04;2.57;109.69;-5.45;2.73;141.42;-6.59;3.80;155.61;-8.14;-16.32;128.75;-1.54;-23.32;102.72;1.16;-21.15;79.70;9.57;-19.26;72.31;9.83;21.22;127.93;-6.67;26.79;99.93;-4.48;25.97;77.45;3.17;23.21;69.70;3.83;-5.94;77.44;2.02;-11.13;40.41;-1.92;-13.14;7.06;-5.64;-12.40;-2.50;1.48;11.40;76.86;-0.26;12.04;39.87;-4.03;11.66;6.35;-7.92;13.34;1.93;7.39
0,265;2.53;77.15;-3.05;2.58;109.69;-5.46;2.76;141.41;-6.58;3.79;155.59;-8.14;-16.32;128.75;-1.57;-23.32;102.71;1.15;-21.14;79.70;9.56;-19.25;72.28;9.81;21.21;127.94;-6.68;26.79;99.93;-4.48;25.98;77.47;3.16;23.19;69.63;3.81;-5.94;77.45;2.02;-11.13;40.42;-1.91;-13.14;7.06;-5.64;-12.41;-2.50;1.49;11.40;76.86;-0.27;12.04;39.87;-4.03;11.67;6.35;-7.93;13.34;1.93;7.39
0,299;2.53;77.15;-3.05;2.59;109.68;-5.46;2.78;141.39;-6.58;3.78;155.58;-8.15;-16.32;128.75;-1.60;-23.33;102.70;1.15;-21.13;79.69;9.56;-19.27;72.28;9.80;21.20;127.94;-6.69;26.79;99.94;-4.50;25.99;77.49;3.15;23.19;69.57;3.76;-5.93;77.45;2.02;-11.14;40.43;-1.92;-13.13;7.05;-5.63;-12.41;-2.52;1.46;11.40;76.86;-0.27;12.04;39.87;-4.04;11.67;6.35;-7.94;13.34;1.94;7.37
0,331;2.53;77.16;-3.05;2.60;109.68;-5.46;2.80;141.38;-6.59;3.77;155.57;-8.15;-16.32;128.75;-1.61;-23.34;102.69;1.14;-21.13;79.70;9.55;-19.27;72.29;9.81;21.20;127.94;-6.70;26.78;99.94;-4.51;25.99;77.50;3.15;23.19;69.59;3.78;-5.93;77.45;2.01;-11.14;40.44;-1.92;-13.12;7.07;-5.62;-12.24;-1.82;2.53;11.40;76.86;-0.28;12.04;39.87;-4.04;11.67;6.35;-7.95;13.34;1.94;7.36
0,366;2.53;77.16;-3.06;2.61;109.68;-5.47;2.82;141.39;-6.61;3.76;155.57;-8.16;-16.32;128.75;-1.63;-23.34;102.68;1.14;-21.13;79.71;9.54;-19.28;72.33;9.77;21.20;127.93;-6.71;26.78;99.95;-4.52;25.99;77.51;3.15;23.20;69.70;3.77;-5.93;77.45;2.01;-11.13;40.44;-1.91;-13.11;7.07;-5.60;-12.25;-1.83;2.53;11.40;76.86;-0.28;12.04;39.87;-4.04;11.67;6.35;-7.96;13.33;1.93;7.35
0,399;2.53;77.16;-3.06;2.61;109.68;-5.48;2.82;141.38;-6.62;3.74;155.56;-8.17;-16.32;128.74;-1.63;-23.35;102.67;1.14;-21.11;79.66;9.55;-19.28;72.37;9.79;21.19;127.93;-6.72;26.77;99.95;-4.53;26.00;77.52;3.15;23.22;69.76;3.75;-5.92;77.45;2.00;-11.13;40.45;-1.91;-13.10;7.07;-5.59;-12.26;-1.83;2.54;11.40;76.86;-0.28;12.04;39.87;-4.05;11.67;6.34;-7.96;13.33;1.92;7.35
0,433;2.53;77.16;-3.06;2.61;109.68;-5.48;2.81;141.38;-6.63;3.73;155.56;-8.17;-16.32;128.73;-1.63;-23.35;102.66;1.14;-21.09;79.60;9.56;-19.29;72.40;9.77;21.19;127.93;-6.73;26.77;99.97;-4.54;26.00;77.53;3.14;23.21;69.80;3.75;-5.92;77.45;2.00;-11.13;40.44;-1.92;-13.10;7.06;-5.58;-12.33;-1.82;2.60;11.40;76.86;-0.28;12.04;39.87;-4.05;11.66;6.33;-7.97;13.33;1.92;7.34
0,463;2.53;77.16;-3.06;2.61;109.68;-5.49;2.81;141.38;-6.64;3.72;155.58;-8.18;-16.32;128.72;-1.64;-23.35;102.66;1.13;-21.08;79.57;9.56;-19.27;72.42;9.74;21.18;127.93;-6.74;26.77;99.98;-4.55;26.00;77.55;3.14;23.22;69.86;3.72;-5.92;77.45;1.99;-11.13;40.43;-1.93;-13.10;7.06;-5.57;-12.38;-1.82;2.63;11.39;76.86;-0.28;12.04;39.87;-4.06;11.65;6.32;-7.97;13.33;1.91;7.34
